month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,80.5,18.5,15.093548387096769,0.741,0.276
Feb-1950,78.5,29,14.589285714285714,0.8300000000000001,0
Mar-1950,91.7,24.7,17.874193548387094,0.3950000000000001,0
Apr-1950,94.9,38.6,17.97666666666667,3.257,0
May-1950,92.7,52.2,15.248387096774195,4.749,0
Jun-1950,98.3,57.5,14.799999999999995,1.606,0
Jul-1950,99.2,68.4,13.58387096774193,1.5740000000000003,0
Aug-1950,99.1,64,11.89032258064516,1.0020000000000002,0
Sep-1950,95.5,58.6,11.46,2.5070000000000006,0
Oct-1950,91.9,52.4,12.651612903225805,0.14800000000000002,0
Nov-1950,87.8,24.2,16.31,0.016,0
Dec-1950,82.1,17.2,12.225806451612902,0.04,0.056
Jan-1951,78.8,14.2,16.109677419354835,0.28,0.194
Feb-1951,85.1,8.7,16.514285714285712,0.46299999999999997,0.222
Mar-1951,88.9,24.8,16.745161290322585,0.741,0
Apr-1951,90.9,36.8,17.716666666666665,0.972,0
May-1951,97.2,51.6,16.825806451612905,3.0340000000000003,0
Jun-1951,102.4,57.4,16.456666666666667,2.4530000000000003,0
Jul-1951,104,72.9,12.861290322580645,1.463,0
Aug-1951,104.3,74.5,12.970967741935484,0.573,0
Sep-1951,104.2,50.5,15.089999999999998,0.8119999999999999,0
Oct-1951,101.5,44.3,14.990322580645163,2.112,0
Nov-1951,78.5,23.6,14.966666666666667,0.211,0.305
Dec-1951,85,19.4,16.470967741935485,0.028,0
Jan-1952,80.9,27.3,15.59677419354839,0.5880000000000001,0.028
Feb-1952,79.1,26.9,16.362068965517242,1.097,0.582
Mar-1952,86.8,28.2,17.738709677419354,0.952,0
Apr-1952,89.1,36.2,15.956666666666669,2.7030000000000003,0
May-1952,99.3,49.6,15.970967741935484,1.676,0
Jun-1952,102.7,66.3,16.69333333333333,0.257,0
Jul-1952,102.7,63.9,13.683870967741935,0.255,0
Aug-1952,106.1,75.6,14.096774193548388,0.06,0
Sep-1952,104.6,56.9,10.566666666666666,3.198,0
Oct-1952,91.6,43.5,13.151612903225807,0.028,0
Nov-1952,86.6,24.8,13.833333333333332,1.59,0.056
Dec-1952,73.5,24.7,13.25806451612903,1.013,0
Jan-1953,82.6,21.8,16.899999999999995,0.096,1.627
Feb-1953,78,23.8,15.164285714285716,0.837,0.579
Mar-1953,86.3,31.1,15.800000000000004,1.6760000000000002,0
Apr-1953,93.6,38.4,17.936666666666667,1.337,0
May-1953,103.3,46.8,17.53548387096774,2.7620000000000005,0
Jun-1953,105.5,71.3,16.459999999999994,2.348,0
Jul-1953,99.5,66.7,13.387096774193544,1.42,0
Aug-1953,105.5,62,11.238709677419356,2.144,0
Sep-1953,105.4,57.2,13.253333333333334,0.758,0
Oct-1953,93.7,40.4,13.309677419354838,5.994,0
Nov-1953,76.2,32.1,13.33,0.75,0
Dec-1953,71.4,18.1,15.293548387096775,0.14600000000000002,0
Jan-1954,77.8,16.7,13.790322580645162,0.5730000000000001,0.497
Feb-1954,87.3,33.3,16.457142857142856,0.431,0
Mar-1954,90.7,26.8,14.98387096774193,0.127,0.195
Apr-1954,96.3,40.7,15.78,4.925,0
May-1954,92.8,40.3,14.000000000000004,3.7850000000000006,0
Jun-1954,98.3,58,15.67333333333333,0.24300000000000002,0
Jul-1954,106.3,71.6,12.941935483870969,0.335,0
Aug-1954,103.2,73.7,13.661290322580644,0.28200000000000003,0
Sep-1954,101,59.6,12.38,1.54,0
Oct-1954,96.5,38.8,13.690322580645166,1.9260000000000002,0
Nov-1954,80,34.2,13.06,1.2389999999999999,0
Dec-1954,86.6,19.7,15.48064516129032,1.1550000000000002,4.522
Jan-1955,73.9,25.1,14.929032258064517,0.623,0.028
Feb-1955,81.6,19.7,15.021428571428572,1.051,0
Mar-1955,92.4,21.4,16.222580645161287,1.04,0
Apr-1955,99,43.7,16.633333333333333,1.098,0
May-1955,100.2,57,14.983870967741936,4.164,0
Jun-1955,102.4,54.7,14.829999999999995,1.529,0
Jul-1955,99.6,70.6,11.535483870967742,2.7860000000000005,0
Aug-1955,102.6,68.7,11.235483870967743,0.314,0
Sep-1955,95.6,62.7,11.830000000000002,2.738,0
