month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,64.1,12.8,11.880645161290325,4.509,1.028
Feb-1950,42.1,-1.9,12.082142857142856,2.883,6.926
Mar-1950,59.5,-0.5,13.267741935483873,1.605,16.2
Apr-1950,70.9,16.3,11.17,3.2710000000000004,1.055
May-1950,76.3,31.5,8.1,5.938000000000001,0
Jun-1950,82.3,40.1,8.826666666666664,3.761,0
Jul-1950,80,48.8,8.303225806451614,4.515000000000001,0
Aug-1950,79.7,44.2,6.848387096774194,2.5390000000000006,0
Sep-1950,74.8,34.6,7.86,4.833,0
Oct-1950,73.1,31.5,8.635483870967741,4.252000000000001,0
Nov-1950,71.1,4.7,11.173333333333336,6.486000000000001,8.923
Dec-1950,45,-7.6,10.116129032258064,1.705,18.617
Jan-1951,57.3,2.3,10.925806451612903,2.185,11.434
Feb-1951,57.2,-18.2,11.010714285714284,1.935,6.122999999999999
Mar-1951,55.4,13.6,11.96774193548387,3.623,6.8500000000000005
Apr-1951,70.8,23,11.183333333333334,4.792000000000001,1.69
May-1951,74.6,36.5,9.674193548387096,3.0230000000000006,0
Jun-1951,82.9,46,9.136666666666667,7.216,0
Jul-1951,82.8,47.3,7.090322580645163,3.8490000000000006,0
Aug-1951,86.1,44.8,6.654838709677419,2.853,0
Sep-1951,78,34.7,8.936666666666664,3.2150000000000003,0
Oct-1951,82,31.9,8.932258064516128,1.49,0
Nov-1951,57.8,7,11.43,2.7,4.433
Dec-1951,60.3,-11,12.406451612903231,3.0370000000000004,12.674000000000001
Jan-1952,56.3,2.9,12.161290322580644,3.798000000000001,5.864
Feb-1952,47.9,-4.5,11.248275862068965,1.612,6.940999999999999
Mar-1952,61.6,3.7,11.596774193548386,3.983,14.239999999999998
Apr-1952,75,24,10.873333333333333,6.34,1.494
May-1952,71.2,32,10.548387096774194,7.100999999999998,0
Jun-1952,86.6,44,9.306666666666667,2.896,0
Jul-1952,87.9,51.5,7.780645161290321,2.8120000000000007,0
Aug-1952,84.2,43.9,7.880645161290323,2.905,0
Sep-1952,86,39.4,7.413333333333336,4.817,0
Oct-1952,75.9,23.7,9.93548387096774,1.221,0.8300000000000001
Nov-1952,65.3,15.6,10.636666666666667,5.129,0.858
Dec-1952,49.4,9.8,10.25483870967742,2.002,10.051999999999998
Jan-1953,50.2,5,10.993548387096773,2.5440000000000005,5.401
Feb-1953,50.8,4.1,12.557142857142855,1.6110000000000002,6.132000000000001
Mar-1953,56.3,6.9,12.577419354838709,4.239999999999999,6.86
Apr-1953,70,20,12.363333333333335,3.948000000000001,1.937
May-1953,76.6,39.6,9.029032258064513,8.426000000000002,0
Jun-1953,86,40.1,7.906666666666666,3.6250000000000004,0
Jul-1953,85.1,47.9,7.0677419354838715,2.8180000000000005,0
Aug-1953,88.8,45.5,7.33225806451613,2.952,0
Sep-1953,91.6,36.5,8.899999999999999,1.0650000000000002,0
Oct-1953,76.1,28.3,7.670967741935483,1.07,0
