month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,26,-19,4.596774193548387,0,12.686
Feb-1950,20.4,-26,6.039285714285713,0,1.1710000000000003
Mar-1950,29.1,0.8,3.9483870967741934,0.004,1.895
Apr-1950,32.6,-2.8,3.9433333333333334,0.036000000000000004,6.992
May-1950,44.7,20.2,3.874193548387096,0.7560000000000001,17.675000000000004
Jun-1950,64.7,28.5,4.21,5.813000000000001,6.058999999999999
Jul-1950,63.5,33.2,4.4806451612903215,6.871999999999999,0
Aug-1950,65,30,4.37741935483871,4.523,0.056
Sep-1950,50.7,16,4.943333333333333,2.6810000000000005,10.344
Oct-1950,40.9,-14.1,4.045161290322581,0.024,11.612
Nov-1950,25.3,-21,5.27,0,5.847999999999999
Dec-1950,19,-19.9,4.406451612903226,0,19.354999999999997
Jan-1951,19,-37.7,4.974193548387098,0,14.497
Feb-1951,24.3,-22.7,4.67142857142857,0.008,26.226
Mar-1951,25.7,-22.3,4.896774193548389,0.016,5.0089999999999995
Apr-1951,42.7,3.9,3.856666666666667,0.14,18.823999999999998
May-1951,49.4,20.3,3.190322580645162,1.1150000000000002,6.224
Jun-1951,59.1,30.7,4.776666666666667,4.549,7.653
Jul-1951,70.1,31.6,5.161290322580647,7.007000000000001,0
Aug-1951,61.8,34.3,5.232258064516128,7.665,0.443
Sep-1951,53.4,14.8,5.22,4.648000000000001,7.934
Oct-1951,29.8,-8,4.583870967741935,0.104,21.651999999999997
Nov-1951,31.4,-17.8,4.180000000000001,0.212,18.135999999999996
Dec-1951,19.8,-31,4.587096774193548,0.004,24.784999999999997
Jan-1952,20.2,-33.3,5.638709677419354,0.004,14.173000000000002
Feb-1952,23.5,-12.8,4.524137931034483,0,14.340999999999998
Mar-1952,24.6,-9.1,4.364516129032259,0.004,17.145
Apr-1952,30.4,-4.5,3.9533333333333336,0.052000000000000005,11.310000000000004
May-1952,40,10.9,3.967741935483872,0.31200000000000006,19.456999999999997
Jun-1952,60.1,23.7,3.48,2.596000000000001,4.225
Jul-1952,65,36.8,5.041935483870968,8.847,2.511
Aug-1952,57.4,17,5.396774193548387,5.587,4.441000000000001
Sep-1952,47.9,20.5,4.633333333333334,3.066000000000001,14.059000000000001
Oct-1952,41.7,-8.9,4.419354838709677,1.4510000000000003,27.094999999999995
Nov-1952,39,-6.6,5.393333333333333,0.26000000000000006,30.490000000000002
Dec-1952,24.1,-18.3,5.296774193548388,0.016,11.774
Jan-1953,17.8,-31.1,5.709677419354839,0,6.573999999999999
Feb-1953,24.4,-24.3,5.375000000000001,0.004,32.620000000000005
Mar-1953,23.1,-17.7,4.258064516129033,0,6.650000000000001
Apr-1953,44.6,3.2,3.8633333333333346,0.244,9.709999999999999
May-1953,49.2,19.4,3.3870967741935485,1.332,13.854999999999999
Jun-1953,72.2,30,5.126666666666667,3.6790000000000003,1.4649999999999999
Jul-1953,68.4,38.5,5.090322580645162,5.467,0.194
Aug-1953,56.3,34,4.990322580645161,9.630999999999998,0.167
Sep-1953,50.8,13.1,4.476666666666666,2.793000000000001,6.228
Oct-1953,37.1,-20.8,4.719354838709678,0.3350000000000001,13.755999999999998
Nov-1953,23.7,-11.8,4.733333333333334,0.04400000000000001,6.2
Dec-1953,25.7,-21.2,4.77741935483871,0.008,13.797999999999998
Jan-1954,22.9,-28.6,5.725806451612903,0.004,7.529
Feb-1954,19.7,-32.6,5.239285714285715,0.024,8.458999999999998
