month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,67.9,23.9,12.358064516129035,1.9290000000000003,0.8300000000000001
Feb-1950,54.8,10.8,12.410714285714286,2.338,0.44500000000000006
Mar-1950,66.7,14.8,15.399999999999999,3.3240000000000003,0.168
Apr-1950,72.5,28.4,11.969999999999997,3.0120000000000005,0.056
May-1950,83,42.5,10.193548387096772,3.329,0
Jun-1950,88.9,53.1,9.943333333333335,3.1340000000000003,0
Jul-1950,89.5,61.2,9.283870967741937,4.042,0
Aug-1950,87.2,59.4,8.419354838709678,4.691,0
Sep-1950,83.2,44.7,9.31333333333333,5.2719999999999985,0
Oct-1950,78,39.1,9.896774193548385,2.005,0
Nov-1950,78.8,27.6,12.48,4.793,0.305
Dec-1950,62.9,12,11.716129032258063,3.5029999999999997,0.28
Jan-1951,60.9,21.3,12.983870967741936,2.411,1.385
Feb-1951,62.9,13.5,12.060714285714285,3.01,1.9330000000000003
Mar-1951,60,27.4,13.783870967741935,4.019,0
Apr-1951,78.1,36.9,12.803333333333335,3.1210000000000004,0
May-1951,82.7,45.6,11.064516129032258,2.5580000000000003,0
Jun-1951,87,50.1,9.653333333333332,3.6460000000000004,0
Jul-1951,91.6,61.3,9.158064516129032,2.313,0
Aug-1951,89.6,58.7,8.241935483870966,1.969,0
Sep-1951,87.1,47.2,9.480000000000002,1.4010000000000002,0
Oct-1951,84.7,44.7,11.222580645161292,3.711,0
Nov-1951,68.8,25.6,12.143333333333336,6.229999999999997,0.193
Dec-1951,67.5,13.2,13.016129032258064,4.476999999999999,1.572
Jan-1952,60.8,12.7,13.203225806451613,4.166999999999999,4.933999999999999
Feb-1952,54.6,23.1,12.624137931034484,1.8730000000000002,1.544
Mar-1952,72,19.1,11.7,4.6259999999999994,7.365
Apr-1952,80.3,36.8,12.123333333333333,5.1099999999999985,0
May-1952,79.8,44.5,11.503225806451612,5.840000000000002,0
Jun-1952,96.2,57.5,10.063333333333333,3.1410000000000005,0
Jul-1952,95.2,58.8,8.683870967741935,3.762,0
Aug-1952,85.7,56,8.638709677419355,7.748999999999999,0
Sep-1952,93,50.2,8.593333333333334,1.662,0
Oct-1952,81.2,33,11.33225806451613,0.613,0
Nov-1952,68.8,28.5,10.993333333333334,4.254999999999999,0.607
Dec-1952,57.3,16.4,11.287096774193547,4.836,2.481
Jan-1953,61.8,26.2,12.312903225806451,3.6270000000000007,2.839
Feb-1953,63.5,22.6,12.710714285714285,2.828,0.47
Mar-1953,65.5,19.4,13.016129032258062,4.320999999999998,2.95
Apr-1953,75,36.4,13.316666666666668,5.811999999999997,0
May-1953,83.4,48,10.064516129032256,2.803,0
Jun-1953,88.8,52,9.446666666666664,1.9449999999999998,0
Jul-1953,96.6,60.7,8.874193548387098,2.271,0
Aug-1953,97.2,59.6,8.87741935483871,7.090999999999999,0
Sep-1953,95.7,49.8,9.813333333333333,2.371,0
Oct-1953,79.4,41.4,9.125806451612902,3.5840000000000005,0
Nov-1953,71,31.4,9.299999999999999,3.9120000000000004,6.506
Dec-1953,63.3,18.3,12.661290322580644,3.778,0
Jan-1954,59.4,-3.1,12.503225806451615,1.1119999999999999,10.778
Feb-1954,65.8,15.9,12.403571428571428,1.952,0.196
Mar-1954,68,25.4,13.435483870967742,2.9310000000000005,0.195
Apr-1954,76.4,27.3,12.096666666666666,2.4419999999999997,0.36000000000000004
May-1954,81.1,42.3,10.832258064516125,3.010000000000001,0
Jun-1954,95.6,51.4,10.583333333333334,0.889,0
Jul-1954,95.7,60.8,9.21290322580645,2.6680000000000006,0
Aug-1954,92.6,58.6,10.03225806451613,6.01,0
Sep-1954,86.4,50.7,10.283333333333333,3.23,0
Oct-1954,86.7,39.9,10.696774193548386,1.754,0
Nov-1954,65.5,31,10.83666666666667,4.589999999999998,0
Dec-1954,59.8,17.3,12.551612903225807,4.583,1.355
Jan-1955,55,15,12.106451612903225,0.20299999999999999,1.575
Feb-1955,56.2,0.3,11.214285714285714,2.4350000000000005,5.599
Mar-1955,68.7,23.9,13.938709677419354,3.206000000000001,1.876
Apr-1955,75.8,34.3,11.010000000000002,3.019,0
May-1955,85,44.4,10.267741935483869,1.002,0
Jun-1955,86.8,50.9,9.103333333333335,5.334,0
Jul-1955,97.2,64.7,8.622580645161289,2.428,0
Aug-1955,96.3,60.6,11.138709677419355,8.602,0
Sep-1955,83.2,49.8,9.616666666666667,3.2079999999999997,0
Oct-1955,77.7,41.8,11.093548387096773,4.287,0
Nov-1955,71.1,19.3,12.46,2.0340000000000003,2.481
Dec-1955,58,11.3,10.425806451612903,0.603,0.718
Jan-1956,56.6,16.4,12.374193548387094,1.616,6.095
Feb-1956,60,20.3,12.696551724137931,3.91,1.5990000000000002
Mar-1956,68.8,18,13,2.7489999999999997,10.418
Apr-1956,76.5,31.1,12.776666666666666,3.3740000000000006,0.249
May-1956,86.1,41.7,12.30967741935484,3.735,0
Jun-1956,93.7,54.8,8.873333333333333,3.2590000000000003,0
Jul-1956,93.6,60.4,9.322580645161292,5.448999999999999,0
Aug-1956,91.5,59.1,8.725806451612904,3.9260000000000006,0
Sep-1956,87.2,43.6,10.309999999999999,2.5480000000000005,0
Oct-1956,76,40.5,10.480645161290324,5.638999999999999,0
Nov-1956,70.7,23.9,11.56333333333333,2.6100000000000003,0.084
Dec-1956,67,23.5,10.970967741935484,2.7950000000000004,0.855
Jan-1957,58.8,-0.7,10.893548387096775,1.3470000000000002,3.951
Feb-1957,62.8,25,10.546428571428573,3.1470000000000002,2.3489999999999998
Mar-1957,69.7,27,10.577419354838709,3.023,0.498
Apr-1957,84.5,32.8,11.796666666666663,3.1799999999999997,0.91
May-1957,84.7,38.6,10.219354838709675,0.8290000000000002,0
Jun-1957,93,52.1,9.959999999999999,3.194000000000001,0
Jul-1957,99,58.2,9.745161290322581,1.6130000000000002,0
Aug-1957,92.8,57.3,8.683870967741935,2.912,0
Sep-1957,90.4,44.5,9.500000000000002,2.935,0
Oct-1957,75.3,34.4,10.66774193548387,2.1420000000000003,0
Nov-1957,67.7,29.6,12.156666666666666,5.391,0.084
Dec-1957,59.9,19,12.874193548387096,5.569000000000001,6.730999999999999
Jan-1958,53.4,10.5,12.522580645161288,3.348,7.172
Feb-1958,55.5,2.2,14.592857142857143,2.7830000000000004,15.385000000000003
Mar-1958,53.7,27.7,13.419354838709678,4.91,12.851999999999999
Apr-1958,73.5,32.5,12.600000000000001,4.969999999999999,0
May-1958,81.5,44.6,11.551612903225807,4.307,0
Jun-1958,88.1,50.8,10.246666666666666,3.7,0
Jul-1958,91.1,62.6,9.141935483870968,5.5630000000000015,0
Aug-1958,88.6,59.5,9.345161290322583,6.436999999999999,0
Sep-1958,86.3,48.8,9.760000000000002,4.337999999999999,0
Oct-1958,79.5,39.8,11.316129032258067,6.9,0
Nov-1958,66.1,20.8,12.386666666666667,2.546,0
Dec-1958,55.9,15.3,11.774193548387098,1.298,2.21
Jan-1959,59.4,11,14.061290322580644,1.9909999999999999,2.9219999999999997
Feb-1959,59.4,11.6,13.125000000000002,1.758,0.25
Mar-1959,67,26.1,13.309677419354838,4.2620000000000005,1.9580000000000002
Apr-1959,79.2,34.8,11.756666666666664,3.1750000000000003,0.855
May-1959,88.6,45.7,10.487096774193551,1.881,0
Jun-1959,97.6,51.5,10.086666666666666,2.682,0
Jul-1959,87.4,64.2,9.138709677419355,8.068999999999999,0
Aug-1959,89.9,60.5,8.706451612903225,3.8620000000000005,0
Sep-1959,86.7,46.2,8.826666666666664,0.8380000000000001,0
Oct-1959,86.3,36.7,10.83548387096774,3.6180000000000003,0
Nov-1959,71.8,26.1,12.4,3.831,0.166
Dec-1959,57.4,14.5,10.83548387096774,4.031000000000001,1.988
Jan-1960,54.6,23.8,12.309677419354841,2.967,0.8839999999999999
Feb-1960,61.8,21.7,15.110344827586205,3.4979999999999998,2.977
Mar-1960,72.4,7,13.07096774193548,2.0380000000000003,13.958
Apr-1960,87.2,32.8,12.363333333333335,3.1020000000000008,0
