month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,68.6,20.3,6.11935483870968,2.8570000000000007,0.056
Feb-1950,72.5,28.2,6.453571428571429,1.5660000000000003,0
Mar-1950,76.1,30.1,6.077419354838711,1.2360000000000002,0.028
Apr-1950,86.7,34.1,6.746666666666667,1.093,0
May-1950,94.6,39,7.316129032258063,0.36,0
Jun-1950,103.4,47.8,7.6566666666666645,0,0
Jul-1950,104.2,62.3,7.177419354838711,0,0
Aug-1950,100,57.4,5.8838709677419345,0.008,0
Sep-1950,99.4,43.5,6.186666666666667,0.028,0
Oct-1950,89.6,41.2,6.035483870967742,0.42400000000000004,0
Nov-1950,80.1,35.3,5.370000000000001,1.994,0
Dec-1950,73.9,33.3,5.5677419354838715,0.882,0
Jan-1951,68.1,27.2,5.903225806451612,2.1639999999999997,0.111
Feb-1951,74.8,26.2,6.1071428571428585,1.2639999999999998,0
Mar-1951,77.1,14.5,6.406451612903225,0.765,0.304
Apr-1951,86.4,34.2,6.613333333333332,3.297,0
May-1951,96.8,40.8,7.077419354838709,0.28,0
Jun-1951,90.6,50.4,7.453333333333333,0,0
Jul-1951,98.5,59.7,6.409677419354838,0,0
Aug-1951,96.6,56.8,6.190322580645162,0,0
Sep-1951,98.7,52.4,5.71,0,0
Oct-1951,91.8,39.5,6.196774193548386,0.46499999999999997,0
Nov-1951,79.7,30.3,5.830000000000002,0.874,0
Dec-1951,63.5,23,6.08709677419355,4.242,0
Jan-1952,62.2,19.3,6.435483870967741,3.6820000000000004,0.496
Feb-1952,67.5,30,6.375862068965517,1.52,0
Mar-1952,73.4,19,6.996774193548388,5.247999999999998,0.028
Apr-1952,82.1,39.8,7.279999999999999,1.172,0
May-1952,91,47.8,6.64516129032258,0.036000000000000004,0
Jun-1952,94.8,47.3,8.453333333333335,0.004,0
Jul-1952,99.2,56.9,6.561290322580645,0.004,0
Aug-1952,94.3,60,5.429032258064517,0,0
Sep-1952,94.8,47.2,6.433333333333333,0.028,0
Oct-1952,92.9,46.8,5.825806451612904,0.008,0
Nov-1952,78.4,28.3,5.793333333333333,1.6460000000000001,0
Dec-1952,66.3,29.6,6.06451612903226,4.155,0
Jan-1953,72.2,30,6.0290322580645155,1.8140000000000003,0
Feb-1953,67.9,25.8,6.05,0.516,0
Mar-1953,73.7,27.1,6.783870967741936,1.561,0
Apr-1953,78.3,31.3,7.776666666666668,1.2460000000000002,0
May-1953,85.5,38,8.396774193548387,0.639,0
Jun-1953,92.1,47,8.016666666666666,0.29200000000000004,0
Jul-1953,102,58.6,6.958064516129034,0.004,0
Aug-1953,98.5,54.1,6.2225806451612895,0.008,0
Sep-1953,102.8,51.7,7.203333333333335,0,0
Oct-1953,95.5,39.1,5.825806451612904,0.222,0
Nov-1953,81,32.7,6.953333333333334,1.366,0
Dec-1953,70.5,27.3,5.64516129032258,0.45,0
Jan-1954,70.1,28.7,5.848387096774194,3.921,0
Feb-1954,72.1,29.9,6.496428571428572,1.589,0
Mar-1954,75.6,26.2,7.183870967741935,3.2439999999999998,0
Apr-1954,85.8,34.8,7.126666666666667,0.056,0
May-1954,90.1,38.8,7.0516129032258075,0.02,0
Jun-1954,102,43.3,7.999999999999999,0.02,0
Jul-1954,100,60.3,6.964516129032259,0.004,0
Aug-1954,96.4,52.6,6.858064516129031,0,0
Sep-1954,92.4,50,5.733333333333335,0,0
Oct-1954,91.6,36.9,6.203225806451615,0,0
Nov-1954,76.1,31,6.2633333333333345,0.907,0
Dec-1954,67.1,25.9,5.783870967741934,1.436,0
Jan-1955,63.7,24,6.064516129032258,3.2230000000000003,0
Feb-1955,70.3,26.2,6.082142857142857,1.7040000000000002,0
Mar-1955,76.5,30.2,6.448387096774192,0.36900000000000005,0
Apr-1955,75.3,33.4,8.266666666666667,1.511,0
May-1955,93.8,40.7,8.174193548387098,0.9119999999999999,0
Jun-1955,94.9,44.8,7.129999999999999,0,0
Jul-1955,99.6,52.3,7.077419354838709,0,0
Aug-1955,100,57.4,6.364516129032259,0,0
Sep-1955,106.4,49.6,5.630000000000001,0,0
Oct-1955,88.1,42,6.567741935483871,0.004,0
Nov-1955,76.7,32.2,5.753333333333333,1.375,0
Dec-1955,65.2,28,5.993548387096773,3.36,0
Jan-1956,64.9,28.4,5.945161290322581,2.037,0
Feb-1956,61.6,27.1,5.672413793103449,1.429,0
Mar-1956,75.7,27.9,6.8,0.47400000000000003,0
Apr-1956,80.2,30.1,6.906666666666665,1.9210000000000003,0
May-1956,92.7,41.4,7.6645161290322585,0.491,0
Jun-1956,98.2,51.2,7.236666666666668,0,0
Jul-1956,99.1,57.7,6.670967741935484,0.032,0
Aug-1956,92.8,56.2,5.9064516129032265,0,0
Sep-1956,95,53.2,5.880000000000001,0,0
Oct-1956,85.3,37.6,6.2387096774193544,0.647,0
Nov-1956,81.6,35.2,5.723333333333333,0,0
Dec-1956,70.7,27.1,5.841935483870965,0.425,0
Jan-1957,65.9,22,6.532258064516129,1.9700000000000002,0.194
Feb-1957,71.6,26.5,6.4678571428571425,1.9600000000000002,0
Mar-1957,74.6,32.5,6.961290322580645,1.7320000000000002,0
