month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,34.6,-36.2,14.929032258064515,0,8.727000000000002
Feb-1950,37.1,-14.8,17.414285714285718,0,5.41
Mar-1950,42.9,-15.8,18.28387096774193,0.008,20.354000000000003
Apr-1950,64.9,6,18.43,0.658,10.515
May-1950,76.7,17.8,16.641935483870967,1.0440000000000003,23.512999999999995
Jun-1950,86.5,37,14.663333333333336,5.286999999999999,0
Jul-1950,90.3,46.4,12.158064516129036,2.7790000000000004,0
Aug-1950,91.1,44.7,11.59677419354839,2.1000000000000005,0
Sep-1950,90.5,36.4,12.969999999999999,3.462,0
Oct-1950,75.7,26.2,14.070967741935487,0.438,2.3449999999999998
Nov-1950,59.5,-7.1,14.596666666666668,0.20400000000000001,3.3729999999999998
Dec-1950,41.5,-27.4,12.461290322580643,0.024,8.044
Jan-1951,36.5,-30.2,16.609677419354842,0.008,5.416
Feb-1951,38.6,-19.7,16.575,0.126,9.275
Mar-1951,40.6,-22.2,20.64838709677419,0.016,4.502
Apr-1951,74.8,15.4,14.716666666666665,1.068,3.213
May-1951,81.6,31.6,12.88709677419355,1.3559999999999999,0
Jun-1951,82.1,36.4,12.58,4.548999999999999,0
Jul-1951,94.8,45.5,12.629032258064514,5.079,0
Aug-1951,92.2,47.8,11.987096774193551,4.561000000000001,0
Sep-1951,75.1,25.6,14.873333333333335,1.8530000000000002,0
Oct-1951,72.1,11.8,12.493548387096775,0.6709999999999999,4.361999999999999
Nov-1951,48,-4,12.513333333333334,0.052000000000000005,1.697
Dec-1951,43.5,-32.4,13.564516129032256,0.024,10.722000000000001
Jan-1952,39.3,-23.3,15.90645161290323,0.052,5.307
Feb-1952,38.4,-8.4,16.658620689655173,0.02,10.243
Mar-1952,37.2,-15.3,15.251612903225809,0.016,4.57
Apr-1952,83.4,12.5,12.690000000000001,0.084,0.303
May-1952,83.8,33,12.758064516129028,1.5690000000000004,0
Jun-1952,95.8,41.5,15.193333333333335,4.722,0
Jul-1952,94.9,47.4,12.929032258064517,3.1440000000000006,0
Aug-1952,98.2,47.3,13.387096774193548,2.093,0
Sep-1952,92.8,38.7,12.470000000000002,0.7000000000000001,0
Oct-1952,70.8,20.9,14.877419354838711,0.20600000000000002,0.224
Nov-1952,65.3,9.6,13.93,0.25900000000000006,0.30400000000000005
Dec-1952,41.8,-0.6,10.232258064516131,0.039999999999999994,2.7699999999999996
Jan-1953,40.2,-22.6,13.758064516129036,0.072,5.284999999999999
Feb-1953,44.2,-11.4,13.464285714285714,0.246,3.6630000000000007
Mar-1953,56,-24.6,15.49032258064516,0.446,14.133
Apr-1953,67.1,10.8,14.126666666666662,2.341,19.44
May-1953,75.8,14.9,13.664516129032258,2.952,10.666
Jun-1953,86,40.6,13.319999999999999,6.182999999999998,0
Jul-1953,86.8,43.5,13.019354838709676,2.182,0
Aug-1953,95.5,51.9,13.051612903225807,1.469,0
Sep-1953,88.3,31.6,15.363333333333335,0.7150000000000001,0
Oct-1953,87.4,24.7,12.929032258064515,1.8510000000000002,0.277
Nov-1953,65.3,17,14.479999999999999,0.172,3.516
Dec-1953,45,-15.5,15.206451612903225,0.056,6.605999999999999
Jan-1954,35.6,-37.7,14.203225806451616,0.012,4.26
Feb-1954,56.8,-6.2,14.421428571428573,0.21100000000000002,1.108
Mar-1954,45.1,-18.7,13.232258064516127,0.299,16.021999999999995
Apr-1954,71.6,-8.6,16.400000000000002,1.5090000000000001,1.714
May-1954,80,21.2,14.541935483870967,2.2680000000000002,0.363
Jun-1954,90.7,35,14.826666666666666,5.439,0.854
Jul-1954,96,46.8,12.909677419354837,2.596,0
Aug-1954,89.8,49.1,12.6258064516129,3.5770000000000004,0
Sep-1954,79.4,31.4,13.869999999999996,2.492,0
Oct-1954,72.1,22,14.812903225806453,0.40299999999999997,1.219
Nov-1954,64.9,12.5,14.566666666666666,0.519,1.144
Dec-1954,45.8,3,13.361290322580642,0.012,1.4360000000000002
Jan-1955,40.4,-21.1,13.006451612903223,0.004,3.9640000000000004
Feb-1955,33.6,-25.9,13.660714285714286,0,5.141999999999999
Mar-1955,64.9,-15.1,15.345161290322583,0.055999999999999994,3.8280000000000003
Apr-1955,77,22.1,16.09,3.225,1.77
May-1955,87.6,31.1,16.861290322580647,3.138,0
Jun-1955,87.4,41.8,13.716666666666665,3.5260000000000002,0
Jul-1955,95.5,50.5,13.1741935483871,1.731,0
Aug-1955,95.9,51.5,12.816129032258065,1.7730000000000001,0
Sep-1955,93.6,35.2,14.250000000000002,1.9090000000000003,0
Oct-1955,78.5,23.5,14.293548387096775,0.776,0.331
Nov-1955,62.3,-12.9,15.916666666666666,0.14,6.648000000000001
Dec-1955,39.8,-32.2,14.332258064516132,0.092,2.1980000000000004
Jan-1956,38.2,-26,12.354838709677422,0.016,3.0469999999999997
Feb-1956,38.4,-19.6,13.186206896551722,0.004,1.6350000000000005
Mar-1956,55.9,-13.9,14.73225806451613,0.264,11.674000000000001
Apr-1956,68.1,14.7,13.250000000000002,0.24,2.214
May-1956,83.1,24,14.122580645161289,3.7190000000000003,1.352
Jun-1956,92.1,43.2,13.966666666666665,4.295,0
Jul-1956,94.3,52.6,11.11290322580645,3.767,0
Aug-1956,89.1,43.9,11.738709677419354,3.227,0
Sep-1956,82.7,32.9,12.409999999999998,0.661,0
Oct-1956,79.3,27.9,14.861290322580647,0.7190000000000001,0.388
Nov-1956,52.3,9.6,16.56,0.836,6.5139999999999985
Dec-1956,52.7,-6.8,13.954838709677418,0.22,2.8300000000000005
Jan-1957,34.2,-31.8,13.5258064516129,0,4.1610000000000005
Feb-1957,50.3,-20.6,13.835714285714287,0.044,0.8660000000000001
Mar-1957,63.8,6.6,13.187096774193547,0.07600000000000001,4.425000000000001
Apr-1957,75,9.1,13.936666666666666,1.499,2.953
May-1957,75.8,32.7,13.658064516129032,2.4189999999999996,0
Jun-1957,81.2,43.4,12.476666666666665,3.724,0
Jul-1957,94.8,55.2,13.025806451612905,3.885,0
Aug-1957,95.6,47.8,12.670967741935485,3.098,0
Sep-1957,76.6,34.9,13.083333333333336,1.7240000000000002,0
Oct-1957,79.4,16.3,12.641935483870968,1.8830000000000002,0.6090000000000001
Nov-1957,48.7,13.8,12.9,0.268,3.4590000000000005
