month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,63.8,14.6,10.293548387096774,4.0790000000000015,1.9900000000000002
Feb-1950,43.8,-4.8,10.453571428571431,2.555,11.953
Mar-1950,63.8,-2,11.851612903225805,3.1040000000000005,10.541000000000002
Apr-1950,74.2,23.9,10.09,3.542,0.3360000000000001
May-1950,76.7,35.4,8.561290322580644,4.401000000000001,0
Jun-1950,85.5,44.8,8.303333333333333,4.345000000000001,0
Jul-1950,84.8,53.6,7.312903225806451,4.536999999999999,0
Aug-1950,83.8,50.9,6.638709677419355,3.0060000000000002,0
Sep-1950,77.9,38.7,6.803333333333333,3.4070000000000005,0
Oct-1950,79.6,30.6,8.229032258064517,2.556,0
Nov-1950,74.6,20,10.696666666666669,6.723000000000001,3.331
Dec-1950,52.4,-6.4,9.21290322580645,2.6260000000000003,14.232000000000001
Jan-1951,58.2,-1.7,9.83548387096774,3.153,9.463000000000001
Feb-1951,54.4,-9.8,9.367857142857144,2.6910000000000003,5.16
Mar-1951,57.9,20.4,11.200000000000001,4.182,6.655999999999999
Apr-1951,75.3,28.6,10.343333333333334,3.625,0
May-1951,80.8,36.7,8.374193548387098,2.833,0
Jun-1951,84.5,47.2,7.8833333333333355,6.898,0
Jul-1951,85.2,54.8,7.36774193548387,4.884999999999998,0
Aug-1951,88.5,49,6.53225806451613,1.496,0
Sep-1951,80.7,39.4,8.363333333333333,3.945,0
Oct-1951,83.4,35.2,8.19032258064516,2.71,0
Nov-1951,59.7,14.8,10.296666666666665,4.4239999999999995,3.8930000000000007
Dec-1951,61.3,-11.3,10.641935483870967,2.595,13.710999999999999
Jan-1952,56.3,-0.1,10.377419354838711,3.224,8.445
Feb-1952,49,9.8,10.45862068965517,1.1030000000000002,7.1209999999999996
Mar-1952,64.1,7.5,10.119354838709674,3.3680000000000003,11.284999999999998
Apr-1952,79.7,28.5,9.68666666666667,6.475999999999998,0
May-1952,77,37.3,10.09677419354839,6.026,0
Jun-1952,92.2,47.8,8.473333333333334,3.4250000000000003,0
Jul-1952,91.4,53.9,7.148387096774195,2.845,0
Aug-1952,85.6,48.5,7.290322580645162,3.71,0
Sep-1952,88.4,45.4,6.983333333333334,2.799,0
Oct-1952,72.7,27.8,9.193548387096772,0.923,0.689
Nov-1952,64.4,22.4,9.510000000000002,5.449999999999999,0.524
Dec-1952,53.7,9.5,8.716129032258062,3.126,10.008
Jan-1953,53.4,17.4,9.63225806451613,4.004,4.995
Feb-1953,56.6,6.1,10.567857142857141,2.034,6.734999999999999
Mar-1953,61.2,15.4,10.825806451612902,4.5889999999999995,2.1270000000000002
Apr-1953,75.5,28.6,10.809999999999999,5.511999999999999,0.167
May-1953,82.4,41.6,8.109677419354838,6.435999999999997,0
Jun-1953,89.8,46.9,7.626666666666667,2.455,0
Jul-1953,92.6,51.6,6.6645161290322585,3.3420000000000005,0
Aug-1953,93.7,50.9,6.670967741935484,1.9000000000000001,0
Sep-1953,97.5,40.5,8.72,3.877,0
Oct-1953,74.6,34,7.3903225806451625,2.421,0
Nov-1953,66,15.4,7.6466666666666665,1.2540000000000002,11.247
Dec-1953,54.8,11.7,10.56451612903226,3.78,0.6080000000000001
Jan-1954,53.4,-7.8,9.941935483870967,0.867,10.326
Feb-1954,65.6,8.6,10.23214285714286,1.858,1.7730000000000001
Mar-1954,64.8,15.7,11.60967741935484,4.077999999999999,2.5980000000000003
Apr-1954,77.3,18.8,10.193333333333333,4.349,0.388
May-1954,79.3,36.1,8.641935483870968,4.115,0.084
Jun-1954,88.6,48.4,8.636666666666667,1.4740000000000002,0
Jul-1954,95.8,53.9,7.725806451612904,1.227,0
Aug-1954,87,51.9,8.1,5.594,0
Sep-1954,87.5,43.4,8.6,2.636,0
Oct-1954,81.9,31.8,9.399999999999999,2.5800000000000005,0
Nov-1954,59.8,24.9,8.433333333333335,2.4570000000000003,6.7379999999999995
Dec-1954,50.2,4.3,9.948387096774194,3.4040000000000004,3.094
Jan-1955,45.1,-3.1,10.03225806451613,0.35200000000000004,2.8460000000000005
Feb-1955,55,-6,9.2,2.53,5.96
Mar-1955,62.2,14.6,12.109677419354838,3.9410000000000003,4.938
Apr-1955,73.6,28.2,10.3,3.083,0
May-1955,84.3,39.8,9.35483870967742,1.476,0
Jun-1955,82.3,48.3,8.146666666666667,2.45,0
Jul-1955,95.7,59.7,6.9,1.07,0
Aug-1955,95.1,55.1,8.335483870967742,12.099,0
Sep-1955,82.1,43.4,7.726666666666664,1.9210000000000003,0
Oct-1955,77,34.7,9.09032258064516,6.045999999999999,0
Nov-1955,64.4,12.1,10.553333333333333,2.14,3.697
Dec-1955,49.3,3.5,9.12258064516129,0.231,4.259000000000001
Jan-1956,45.8,1.7,10.206451612903225,1.0910000000000002,4.449
Feb-1956,53.7,6,10.41034482758621,3.7380000000000004,10.286
Mar-1956,60.7,6.1,10.574193548387095,1.9450000000000003,15.530999999999999
Apr-1956,80,17.2,10.459999999999999,3.239,7.033999999999999
May-1956,82.1,33.2,10.209677419354838,3.4010000000000002,0
Jun-1956,88.2,48.9,7.593333333333333,2.8680000000000003,0
Jul-1956,88.4,52.4,7.719354838709677,4.555999999999998,0
Aug-1956,85.6,49.4,7.116129032258065,4.2959999999999985,0
Sep-1956,83.9,36,7.983333333333336,4.234,0
Oct-1956,73.3,33.2,7.8741935483870975,3.401,0
Nov-1956,67.1,17.4,9.160000000000002,2.043,5.622
Dec-1956,57.8,9.4,9.154838709677419,4.035,4.532
