month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,44.4,14.1,10.370967741935482,3.452,22.560000000000002
Feb-1950,50.7,16.5,10.592857142857145,7.628999999999999,3.064
Mar-1950,51.7,29.2,10.590322580645163,7.910999999999999,0.6380000000000001
Apr-1950,65.5,31.2,8.82,4.343999999999999,0.056
May-1950,72.4,30.8,7.838709677419353,2.0200000000000005,0
Jun-1950,79.4,40.8,7.0566666666666675,2.0060000000000002,0
Jul-1950,82.8,49.4,7.193548387096774,0.9519999999999998,0
Aug-1950,83.8,49.1,7.364516129032257,1.57,0
Sep-1950,82.4,41.5,7.079999999999999,1.6329999999999998,0
Oct-1950,63.7,38.8,10.767741935483869,10.184999999999999,0
Nov-1950,61.1,27.2,10.643333333333334,8.462000000000002,2.9480000000000004
Dec-1950,52.8,32,10.003225806451612,8.011,0.056
Jan-1951,47.6,19.5,12.019354838709676,7.034999999999999,6.871
Feb-1951,49.9,25.7,9.271428571428572,6.290999999999997,0.913
Mar-1951,58.6,26.4,9.848387096774195,2.822,5.9159999999999995
Apr-1951,72.3,33.7,7.1066666666666665,1.349,0
May-1951,74.1,35.8,7.703225806451611,3.021,0
Jun-1951,87.5,45.6,6.7366666666666655,0.891,0
Jul-1951,92.2,49.8,7.1483870967741945,0.148,0
Aug-1951,84.1,49.9,6.36774193548387,1.4080000000000001,0
Sep-1951,82.2,47.4,8.129999999999999,2.591,0
Oct-1951,73.8,35.9,9.538709677419353,6.628000000000001,0
Nov-1951,53.4,29.7,9.723333333333331,8.460999999999999,0
Dec-1951,47,22.9,9.441935483870967,5.166999999999999,4.147
Jan-1952,46.4,22.8,9.87741935483871,4.742,12.712000000000002
Feb-1952,52.7,26,7.972413793103449,3.982,1.195
Mar-1952,58.8,25.5,9.951612903225804,3.5240000000000005,0.664
Apr-1952,66.9,29.8,8.116666666666667,2.7430000000000003,0
May-1952,75.9,36.6,7.551612903225807,1.544,0
Jun-1952,75,42,7.953333333333332,2.0540000000000003,0
Jul-1952,84.9,47.5,6.7193548387096795,0.5589999999999999,0
Aug-1952,90.1,49.7,7.661290322580646,0.8430000000000001,0
Sep-1952,82.7,46.7,7.4399999999999995,0.47200000000000003,0
Oct-1952,75.5,41.7,7.335483870967742,1.556,0
Nov-1952,58,27,7.623333333333332,2.459,0.056
Dec-1952,52.5,25.7,10.858064516129033,7.365999999999998,1.3
Jan-1953,52.8,32.7,14.306451612903224,15.694,1.9580000000000002
Feb-1953,49.3,28.4,9.37142857142857,5.640000000000001,1.382
Mar-1953,63.8,28,9.312903225806453,6.494999999999999,1.8780000000000001
Apr-1953,65.9,26.9,7.6066666666666665,3.838000000000001,0.056
May-1953,77.4,33.4,7.367741935483871,4.031000000000001,0
Jun-1953,72,41.3,6.583333333333333,2.9350000000000005,0
Jul-1953,88.5,50.1,6.409677419354838,0.93,0
Aug-1953,86.3,51.5,6.325806451612903,1.4389999999999998,0
Sep-1953,87.4,47.1,7.826666666666665,4.022,0
Oct-1953,72,37.3,7.638709677419354,4.773,0
Nov-1953,57.6,34.8,9.566666666666666,12.439000000000002,0
Dec-1953,50.7,31.8,11.648387096774194,9.429999999999998,1.021
Jan-1954,48.3,22.5,11.541935483870967,9.819999999999999,19.113
Feb-1954,52.5,27.9,11.085714285714287,7.902,1.8179999999999998
Mar-1954,55,27.2,9.264516129032257,3.6450000000000005,0.028
Apr-1954,63.7,30.7,9.096666666666666,4.891999999999999,0.028
May-1954,73.9,29.9,6.435483870967742,2.077,0
Jun-1954,75.1,38.5,7.086666666666668,3.4780000000000006,0
Jul-1954,78.1,46.5,6.074193548387096,1.683,0
Aug-1954,79,48.9,5.803225806451614,2.1430000000000002,0
Sep-1954,74.4,42.8,6.343333333333334,2.333,0
Oct-1954,69.3,34.5,8.006451612903225,4.676000000000001,0
Nov-1954,61.9,30.8,9.303333333333333,9.330999999999998,0
Dec-1954,48.3,27.3,10.667741935483873,7.153,0.8310000000000001
Jan-1955,50.4,27.3,8.222580645161292,3.862000000000001,3.064
Feb-1955,48,25.6,10.817857142857145,4.783,4.002
Mar-1955,56,16.7,10.44516129032258,4.499,3.7280000000000006
Apr-1955,66,25,9.639999999999999,4.5409999999999995,0.139
May-1955,67.4,33.9,7.63225806451613,2.6730000000000005,0
Jun-1955,85.2,43.1,7.5600000000000005,1.9420000000000002,0
Jul-1955,80.4,42.1,6.651612903225808,2.6050000000000004,0
Aug-1955,82.5,48.2,5.841935483870967,0.714,0
Sep-1955,84.1,43,7.163333333333333,2.3260000000000005,0
Oct-1955,67.3,39,10.083870967741936,6.893999999999998,0
Nov-1955,59.6,17.2,11.513333333333334,9.372999999999998,5.848000000000001
Dec-1955,51.2,23.6,9.648387096774195,9.18,8.576
Jan-1956,48.6,21,10.080645161290322,8.899999999999999,5.605
Feb-1956,45.9,16.8,10.255172413793103,3.3600000000000003,5.843
Mar-1956,60.3,26.3,10.845161290322583,7.957,5.273
Apr-1956,71.5,27.1,7.1466666666666665,1.0230000000000001,0
May-1956,84.2,38.9,7.809677419354839,1.27,0
Jun-1956,72.2,45.3,7.4266666666666685,4.157000000000001,0
Jul-1956,91.6,47.2,7.15483870967742,0.16300000000000003,0
Aug-1956,85.5,50.6,6.335483870967744,1.205,0
Sep-1956,80,46.6,7.826666666666667,2.9680000000000004,0
Oct-1956,67.2,35.5,10.600000000000001,8.276,0
Nov-1956,55.8,31.1,7.003333333333333,2.2910000000000004,0
Dec-1956,50.4,25.2,11.448387096774193,7.934,1.1340000000000001
Jan-1957,44.8,17.3,8.448387096774194,1.9200000000000004,9.498000000000001
Feb-1957,53.8,24.6,10.228571428571428,5.976,5.489
Mar-1957,55.7,30.6,9.358064516129033,7.719999999999998,0.883
Apr-1957,72.6,33.9,8.180000000000001,3.71,0.083
May-1957,77.9,43.3,6.674193548387097,1.6589999999999998,0
Jun-1957,77.6,47,6.62,2.1450000000000005,0
Jul-1957,79.6,49.3,7.35806451612903,1.54,0
Aug-1957,77.9,50.6,6.216129032258064,0.7140000000000001,0
Sep-1957,81,50.4,7.343333333333335,0.7449999999999999,0
Oct-1957,67.7,39,7.470967741935484,5.962,0
Nov-1957,55.4,28.9,7.943333333333333,3.4290000000000007,0
Dec-1957,54.4,29.1,12.861290322580645,7.565999999999999,0.526
Jan-1958,50.9,29.7,10.06451612903226,8.763,0
Feb-1958,58.5,32.9,8.364285714285716,7.266999999999999,0
Mar-1958,56.2,29.6,8.774193548387096,2.405,0.415
Apr-1958,69.1,34.8,8.970000000000002,4.844,0
May-1958,83.5,39.1,7.022580645161291,0.9390000000000001,0
Jun-1958,89,51,7.716666666666668,0.9700000000000001,0
Jul-1958,94.3,51.3,6.619354838709677,0.04,0
Aug-1958,88.1,54.1,6.983870967741935,0.6040000000000001,0
Sep-1958,81.4,39.8,8.963333333333335,2.626,0
Oct-1958,71.4,41.4,8.506451612903225,3.6100000000000003,0
Nov-1958,56.7,27,10.763333333333334,11.425,0.333
Dec-1958,54.5,33.6,10.058064516129033,9.078000000000001,0
Jan-1959,50.3,17.2,9.667741935483875,9.154999999999998,3.8329999999999997
