month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,70.8,11.7,12.583870967741937,13.849999999999998,1.023
Feb-1950,62.3,19.7,10.185714285714283,6.821,0.607
Mar-1950,74.4,23.2,12.180645161290323,4.415000000000001,0.028
Apr-1950,78.9,28.8,11.753333333333334,6.084999999999999,0
May-1950,86,49,9.180645161290323,4.643000000000001,0
Jun-1950,96.1,53.7,9.153333333333336,3.4210000000000003,0
Jul-1950,90.9,61,7.638709677419355,6.004,0
Aug-1950,87.6,54.4,6.870967741935482,6.493,0
Sep-1950,85.4,45.6,8.166666666666668,2.9560000000000004,0
Oct-1950,82.5,43.2,8.816129032258067,1.968,0
Nov-1950,77.5,11.3,11.163333333333336,5.234,0.579
Dec-1950,66.8,4.5,9.19354838709677,0.988,4.994
Jan-1951,64.9,4.9,11.69032258064516,4.223,6.563000000000001
Feb-1951,67.3,-15.4,11.164285714285713,4.572,0.5800000000000001
Mar-1951,74.1,25.8,11.98709677419355,3.415,2.463
Apr-1951,82.3,31.2,11.293333333333333,3.966,0
May-1951,89.1,45.9,9.406451612903227,1.61,0
Jun-1951,94.9,56.1,7.7633333333333345,5.236999999999999,0
Jul-1951,95.4,60.1,6.912903225806452,3.728,0
Aug-1951,102.6,62.1,6.670967741935484,1.2320000000000002,0
Sep-1951,94.7,46,8.549999999999999,5.082999999999999,0
Oct-1951,87.2,38.7,9.170967741935485,3.384,0
Nov-1951,66.4,14,10.610000000000001,5.96,4.609999999999999
Dec-1951,69.8,10.7,11.448387096774193,3.8660000000000005,1.989
Jan-1952,70.9,13.9,11.483870967741934,3.2140000000000004,0
Feb-1952,66.7,26.4,9.813793103448278,3.2540000000000004,3.7230000000000003
Mar-1952,73,22.5,11.583870967741934,4.372999999999999,1.297
Apr-1952,85.2,34.5,10.113333333333333,4.665000000000001,0
May-1952,89.8,47.1,9.741935483870968,3.122,0
Jun-1952,105.4,59.4,8.996666666666666,0.538,0
Jul-1952,105.1,65.1,8.316129032258065,2.078,0
Aug-1952,97.1,61.4,7.4225806451612915,1.1260000000000001,0
Sep-1952,93.8,52.3,7.173333333333333,2.451,0
Oct-1952,89.8,32.3,9.748387096774197,0.544,0
Nov-1952,76.6,22.7,10.196666666666669,4.9830000000000005,0.827
Dec-1952,63.9,23.4,9.145161290322578,2.617,2.07
Jan-1953,63.2,25.8,10.8,2.564,0.662
Feb-1953,59.6,22.9,10.099999999999998,1.653,0
Mar-1953,71.6,28.5,10.719354838709679,6.432,0.084
Apr-1953,80.9,30.2,12.506666666666668,4.34,1.626
May-1953,93.1,45.5,10.145161290322582,4.604999999999999,0
Jun-1953,102.4,62.2,8.37,0.321,0
Jul-1953,99.7,63.7,7.064516129032257,3.229,0
Aug-1953,98.6,63.8,7.467741935483872,0.18300000000000002,0
Sep-1953,100.7,52.1,9.090000000000002,0.502,0
Oct-1953,91.6,40,7.058064516129033,1.541,0
Nov-1953,73.1,25.5,9.246666666666666,1.371,0
Dec-1953,60.1,13.9,10.880645161290323,1.321,0
Jan-1954,62.5,12.7,10.983870967741934,2.891,4.441
Feb-1954,69.3,24.3,12.410714285714288,2.62,0.168
Mar-1954,73.4,21.4,10.861290322580643,2.3810000000000002,0.028
Apr-1954,81.9,28.3,11.459999999999999,2.666000000000001,0
May-1954,85.5,37.3,9.087096774193549,5.659999999999998,0
Jun-1954,102,51.4,8.033333333333335,2.309,0
Jul-1954,106.8,67.4,8.57741935483871,0.68,0
Aug-1954,101.5,64.3,8.658064516129032,1.7100000000000002,0
Sep-1954,103.1,52.9,8.336666666666668,3.467,0
Oct-1954,89.6,35.1,9.548387096774194,5.579999999999998,0
