month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,71.6,17.8,12.996774193548386,12.965,1.796
Feb-1950,61.6,17.2,11.260714285714288,6.99,0.774
Mar-1950,75.8,21.1,12.78709677419355,4.033,0
Apr-1950,78.4,28.5,12.12333333333333,5.483,0
May-1950,86.2,49.2,9.132258064516128,4.239,0
Jun-1950,94.6,55.2,9.43,3.9310000000000005,0
Jul-1950,89.3,59.3,8.074193548387097,5.442,0
Aug-1950,85.9,53.7,6.861290322580645,10.579999999999998,0
Sep-1950,85.5,45,8.476666666666667,2.8540000000000005,0
Oct-1950,83.3,42.5,9.496774193548388,1.221,0
Nov-1950,77.9,10.1,12.03,4.647,0.689
Dec-1950,65.8,6.6,9.658064516129032,0.7740000000000001,7.728999999999999
Jan-1951,65.5,3.8,12.406451612903227,3.9190000000000005,6.95
Feb-1951,67.4,-11.8,11.528571428571434,4.248,1.549
Mar-1951,72.8,23.1,12.483870967741936,3.4590000000000005,4.831
Apr-1951,83,31.4,11.900000000000002,3.2030000000000003,0
May-1951,87.6,45.4,9.925806451612901,2.075,0
Jun-1951,94.6,55.9,7.94,6.711,0
Jul-1951,95.2,60,7.145161290322582,3.111,0
Aug-1951,99.8,61.3,7.183870967741935,1.515,0
Sep-1951,91,45.7,8.756666666666664,4.666999999999999,0
Oct-1951,86,39.9,9.541935483870969,2.5580000000000003,0
Nov-1951,64.1,18.5,11.34333333333333,5.273000000000001,5.052
Dec-1951,69.2,8,12.19354838709677,3.46,2.4560000000000004
Jan-1952,68.3,12.4,12.574193548387097,3.193,0.028
Feb-1952,65.7,25.8,9.989655172413794,3.7899999999999996,2.568
Mar-1952,73.4,21.4,12.27741935483871,4.088,1.404
Apr-1952,84,34.5,10.29,3.682,0
May-1952,90.2,47.6,9.938709677419354,2.8880000000000003,0
Jun-1952,104.5,58.8,9.159999999999998,0.49000000000000005,0
Jul-1952,104.9,63.7,8.403225806451612,1.658,0
Aug-1952,96.5,60.9,7.548387096774195,2.0909999999999997,0
Sep-1952,92.3,51,7.6966666666666645,2.7490000000000006,0
Oct-1952,89.1,31.8,9.990322580645161,0.633,0
Nov-1952,75.9,22.9,10.73,3.911,0.773
Dec-1952,63.6,22.3,9.848387096774195,2.7230000000000003,3.1710000000000003
Jan-1953,62.8,25,11.480645161290324,2.138,0.526
Feb-1953,61,22.1,10.789285714285713,1.377,0.028
Mar-1953,71.8,28.4,11.703225806451613,5.717999999999999,1.048
Apr-1953,81.7,29.9,13.259999999999998,5.311999999999999,2.618
May-1953,93.4,47,10.193548387096778,4.411999999999999,0
Jun-1953,101.8,60.6,8.809999999999999,0.329,0
Jul-1953,100.5,63.5,7.499999999999999,1.4849999999999999,0
Aug-1953,98.8,62.9,7.732258064516128,0.24,0
Sep-1953,100.6,51,9.533333333333331,0.637,0
Oct-1953,91.5,39.3,7.303225806451614,2.045,0
Nov-1953,74.5,26.3,9.796666666666663,1.202,0
Dec-1953,61,14,11.832258064516129,1.102,0.14
Jan-1954,61.9,11.3,11.793548387096772,2.523,3.3390000000000004
Feb-1954,70.4,24.1,13.19285714285714,2.581,0.36
Mar-1954,75.1,21.1,11.474193548387099,1.6749999999999998,0.525
Apr-1954,82.4,28,11.813333333333334,3.521000000000001,0
May-1954,86.5,38,9.738709677419354,4.616,0
Jun-1954,101.1,51.1,8.526666666666666,2.111,0
Jul-1954,106.6,66.3,9.151612903225804,0.7290000000000001,0
Aug-1954,99.7,61.6,9.19032258064516,2.241,0
Sep-1954,103.2,52.2,8.616666666666667,2.996,0
Oct-1954,89.8,35.6,10.235483870967743,4.075,0
Nov-1954,70.4,27.2,9.05,1.22,0.194
Dec-1954,58.2,24.1,10.877419354838707,4.801,1.496
Jan-1955,64.3,11.4,11.19677419354839,0.6970000000000002,2.5400000000000005
Feb-1955,68.3,2,11.1,2.7969999999999997,0.804
Mar-1955,73.6,11.8,12.525806451612898,5.587999999999999,1.326
Apr-1955,81.5,35.9,10.796666666666665,5.2989999999999995,0
May-1955,88.1,51.9,9.754838709677417,4.529999999999999,0
Jun-1955,90.6,52.4,8.023333333333333,4.306,0
Jul-1955,94.7,71.3,6.37741935483871,3.6170000000000004,0
Aug-1955,95.3,62.8,7.596774193548388,1.869,0
Sep-1955,96.3,53.5,8.359999999999998,1.944,0
Oct-1955,82.2,37.5,10.758064516129034,3.7720000000000002,0
Nov-1955,75.4,18.4,11.809999999999999,4.231,0.056
Dec-1955,61.9,13.9,9.641935483870967,0.507,0.9690000000000001
Jan-1956,56.8,11.9,9.932258064516128,1.101,5.957000000000001
Feb-1956,67.3,25.6,10.617241379310345,6.915,3.6450000000000005
Mar-1956,74.5,25.9,13.090322580645159,2.479,1.764
Apr-1956,79.6,34.9,12.923333333333334,5.093999999999999,0
