month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,49.1,2.3,6.748387096774192,0.522,16.253
Feb-1950,59.4,5.6,4.842857142857143,0.30600000000000005,5.434
Mar-1950,64.1,18.3,8.816129032258063,0.37799999999999995,7.862000000000001
Apr-1950,73.3,18.2,8.799999999999999,0.263,3.424
May-1950,88.4,23.9,8.72258064516129,0.42100000000000004,4.002000000000001
Jun-1950,99.4,37.4,9.249999999999998,0.9469999999999998,0
Jul-1950,96.9,55.9,9.3741935483871,0.044,0
Aug-1950,97,50.2,8.135483870967741,0.12399999999999999,0
Sep-1950,98.5,38.7,7.726666666666666,1.156,0
Oct-1950,81.8,36,8.59032258064516,1.436,0.083
Nov-1950,67,28.5,5.73,2.341,3.282
Dec-1950,58.3,22.1,4.861290322580645,2.699,0.641
Jan-1951,47.4,3.6,6.003225806451613,0.718,16
Feb-1951,61.1,12.4,6.221428571428572,0.384,4.632000000000001
Mar-1951,61.8,5.8,7.90967741935484,0.07200000000000001,3.3549999999999995
Apr-1951,73.9,27.8,8.413333333333334,1.79,2.206
May-1951,88.8,31,9.841935483870973,0.893,0
Jun-1951,93.6,42.8,8.73,0.277,0
Jul-1951,96.7,51.2,9.283870967741937,0.079,0
Aug-1951,95.6,46.7,8.964516129032257,0.482,0
Sep-1951,91.4,45.8,8.076666666666668,0.063,0
Oct-1951,80.3,30.6,7.706451612903227,1.0550000000000002,0.303
Nov-1951,66.4,14.3,6.096666666666667,0.679,4.221
Dec-1951,42.8,6.1,6.425806451612906,1.017,15.206999999999999
Jan-1952,43.9,-0.2,5.554838709677419,0.096,27.084999999999997
Feb-1952,44.9,16.9,5.1482758620689655,0.758,5.74
Mar-1952,52.3,15.7,6.116129032258065,0.004,22.808999999999997
Apr-1952,68,28.4,6.916666666666666,1.4290000000000003,2.84
May-1952,83.7,35.7,9.861290322580645,0.268,0
Jun-1952,87.4,35.1,9.740000000000002,0.9710000000000001,0
Jul-1952,94.3,50.7,8.864516129032259,0.964,0
Aug-1952,91,54.8,9.358064516129032,0.126,0
Sep-1952,91.9,41.1,8.229999999999999,1.012,0.661
Oct-1952,84.4,41.8,5.506451612903226,0.012,0
Nov-1952,64.8,14.2,5.483333333333333,0.329,3.862
Dec-1952,45.9,13.6,5.006451612903225,0.29500000000000004,22.840000000000003
Jan-1953,51.8,11.5,5.716129032258064,1.325,4.115
Feb-1953,55.6,19.6,7.4750000000000005,0.05600000000000001,2.651
Mar-1953,61.4,14.8,8.13225806451613,0.33499999999999996,5.39
Apr-1953,75.1,22.4,9.963333333333335,0.593,1.107
May-1953,72,29.9,9.877419354838707,2.3680000000000003,1.326
Jun-1953,86.9,40.3,10.04,0.8660000000000001,0
Jul-1953,96.8,52.1,9.329032258064515,0.05500000000000001,0
