month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,67,-3.9,14.45483870967742,7.834999999999998,7.225
Feb-1950,51.7,-5.5,13.239285714285714,3.931,5.14
Mar-1950,70.4,3.9,15.587096774193546,2.3470000000000004,4.086
Apr-1950,76.6,21.9,15.183333333333337,5.569,0
May-1950,86.5,41.8,11.619354838709677,2.5850000000000004,0
Jun-1950,90.3,48.5,12.116666666666665,3.8480000000000008,0
Jul-1950,88,51.5,9.283870967741938,4.419999999999998,0
Aug-1950,86.2,46.3,9.167741935483871,3.287,0
Sep-1950,82.7,41.1,10,4.23,0
Oct-1950,81,35.4,11.609677419354838,1.1989999999999998,0
Nov-1950,78,3.3,14.95,3.0090000000000003,2.9590000000000005
Dec-1950,63,-10.2,11.709677419354838,0.681,8.894999999999998
Jan-1951,61,-8,13.683870967741937,1.2759999999999998,5.412000000000001
Feb-1951,61.6,-16.3,14.082142857142856,4.848,5.332999999999999
Mar-1951,70.7,11.8,14.858064516129033,2.305,9.273
Apr-1951,81.6,26.6,13.953333333333335,3.601,0.937
May-1951,84.2,41.2,11.883870967741933,3.0250000000000004,0
Jun-1951,91,46.4,9.896666666666667,3.6819999999999995,0
Jul-1951,90.4,52.2,9.838709677419354,2.392000000000001,0
Aug-1951,93.5,53.3,9.464516129032258,2.008,0
Sep-1951,87.3,39.6,11.933333333333334,3.618,0
Oct-1951,85,34.8,12.306451612903228,4.385999999999999,0
Nov-1951,61.3,8.7,14.530000000000001,2.261,11.992
Dec-1951,65,-16.6,14.551612903225804,2.488,10.309000000000001
Jan-1952,63.4,2.8,14.306451612903224,2.356,4.686999999999999
Feb-1952,58,19.8,13.037931034482757,1.802,3.5349999999999997
Mar-1952,69.3,10.2,14.206451612903225,4.33,1.685
Apr-1952,80.5,29.2,12.766666666666664,4.416,0.937
May-1952,85,41.3,12.122580645161289,3.92,0
Jun-1952,96.6,49.9,10.863333333333335,1.62,0
Jul-1952,95.1,56.2,10.658064516129036,2.01,0
Aug-1952,89.9,53.4,8.841935483870968,2.418,0
Sep-1952,91.8,44.3,9.610000000000001,2.221,0
Oct-1952,83.5,25.7,12.44838709677419,0.8410000000000001,0
Nov-1952,71.5,17.4,13.606666666666666,3.4570000000000003,0.497
Dec-1952,60.3,16.6,12.187096774193547,2.009,3.979
Jan-1953,59.1,12.6,13.661290322580648,2.099,2.488
Feb-1953,59,9.1,14.624999999999998,1.274,0.5820000000000001
Mar-1953,72.2,7.9,13.974193548387097,5.349,6.314
Apr-1953,79.3,25.5,15.646666666666667,3.1690000000000005,1.823
May-1953,87.6,42.6,12.451612903225806,3.532,0
Jun-1953,98,50.8,11.213333333333333,1.635,0
Jul-1953,95,54.9,8.800000000000002,1.4540000000000002,0
Aug-1953,96.2,55.6,8.9,0.7929999999999999,0
Sep-1953,98.4,43.6,12.276666666666669,0.8220000000000001,0
Oct-1953,89,35.9,9.783870967741937,1.289,0
Nov-1953,71.4,20.6,12.886666666666663,1.03,1.2469999999999999
Dec-1953,56.2,4.9,15.022580645161288,0.976,1.382
Jan-1954,54.7,1.1,13.670967741935486,1.772,1.826
Feb-1954,67.4,12.5,14.885714285714286,2.421,1.851
Mar-1954,68.8,6.8,14.12258064516129,3.062,3.6170000000000004
Apr-1954,81.3,19.5,13.980000000000002,3.9619999999999997,0.084
May-1954,85.6,32.6,12.74516129032258,2.0010000000000003,0
Jun-1954,97.6,49.7,11.143333333333333,1.4070000000000003,0
Jul-1954,104.2,57,10.100000000000001,1.677,0
Aug-1954,91.4,55.9,9.729032258064517,3.136,0
Sep-1954,99.2,46.6,11.51,2.101,0
Oct-1954,87.3,24.1,12.383870967741935,2.375,0
Nov-1954,67.2,21.8,11.289999999999997,0.776,2.595
Dec-1954,55,12.9,12.903225806451612,1.377,3.931
Jan-1955,58.9,-6.8,13.422580645161288,1.7300000000000002,3.4380000000000006
Feb-1955,56.5,-11.5,12.567857142857141,2.9240000000000004,3.3930000000000002
Mar-1955,70.6,4.9,14.261290322580644,2.637,5.711
Apr-1955,79.5,30.5,13.466666666666667,3.498,0
May-1955,84.4,43.2,12.887096774193548,4.813,0
Jun-1955,86.6,49.4,9.586666666666666,4.01,0
Jul-1955,93.2,63,7.300000000000002,3.665000000000001,0
Aug-1955,94,58,9.196774193548386,1.7570000000000001,0
Sep-1955,94.3,46.7,10.846666666666666,1.7479999999999998,0
Oct-1955,78.9,35.5,13.435483870967744,4.277000000000001,0
Nov-1955,73.1,11.8,14.620000000000003,2.699,2.232
Dec-1955,57.4,6.3,11.803225806451612,0.21100000000000002,2.484
Jan-1956,49.6,3.7,11.206451612903223,0.176,5.413
Feb-1956,60.6,8.2,12.065517241379307,1.806,10.122999999999998
Mar-1956,74.3,15.8,15.241935483870968,1.6280000000000001,4.523
Apr-1956,79.7,28.7,15.123333333333333,3.0450000000000004,0.028
May-1956,86.9,38.9,15.151612903225805,4.099,0
Jun-1956,88.2,44.6,9.42333333333333,4.102,0
Jul-1956,91.7,56.7,10.035483870967742,4.748,0
Aug-1956,90.9,52.2,10.516129032258062,3.164,0
Sep-1956,92.4,41.9,11.396666666666665,1.174,0
Oct-1956,80.8,37.5,11.622580645161294,0.8340000000000001,0
Nov-1956,72.4,16.6,14.520000000000005,2.2790000000000004,1.332
Dec-1956,64.3,15.8,12.303225806451612,1.9040000000000001,4.444
Jan-1957,55.5,-13.1,11.990322580645165,1.85,7.656000000000001
Feb-1957,63.6,15,12.028571428571425,2.569,1.104
Mar-1957,68.8,17.2,13.51290322580645,2.375,3.117
Apr-1957,79.7,22.7,13.723333333333333,8.841000000000001,3.089
May-1957,80.5,34.7,12.883870967741933,6.773,0
Jun-1957,88.3,48.1,11.180000000000001,6.430999999999999,0
Jul-1957,88.1,59.2,9.419354838709678,2.8300000000000005,0
Aug-1957,89.8,50.4,8.609677419354838,1.4800000000000002,0
Sep-1957,88.6,42,10.319999999999999,1.3559999999999999,0
Oct-1957,76.2,29.8,11.093548387096776,4.059,0
Nov-1957,63.4,17.5,14.543333333333333,3.9490000000000003,0.139
Dec-1957,56.9,6.7,15.151612903225807,5.1819999999999995,5.274
Jan-1958,44.8,5.4,11.061290322580643,0.819,3.6810000000000005
Feb-1958,62.3,-6.6,13.114285714285716,0.42200000000000004,0.6719999999999999
Mar-1958,56.5,22.9,11.512903225806452,1.2550000000000001,0.4710000000000001
Apr-1958,77.8,30.9,12.82,3.0600000000000005,0.331
May-1958,83.8,36.8,11.899999999999997,2.7929999999999997,0
Jun-1958,88.9,49.7,11.376666666666667,4.036,0
Jul-1958,87.8,59.3,9.761290322580644,7.240000000000001,0
Aug-1958,90.4,54.7,9.587096774193549,1.9670000000000003,0
Sep-1958,87.2,45.8,11.203333333333335,3.9450000000000003,0
Oct-1958,80.7,36.6,11.729032258064517,1.642,0
Nov-1958,73.3,7,14.073333333333332,6.004,1.544
Dec-1958,50.2,-0.3,11.725806451612904,0.641,1.9920000000000002
Jan-1959,53.7,-11.9,13.24193548387097,2.005,5.194
Feb-1959,60.7,0.8,13.728571428571428,2.7510000000000003,3.8890000000000002
Mar-1959,68.4,17.8,15.64838709677419,3.451,4.146
Apr-1959,78.3,26.4,14.583333333333332,2.7960000000000007,0
May-1959,85.8,38.9,12.061290322580646,6.435,0
Jun-1959,90.7,48.4,9.77,0.7190000000000001,0
Jul-1959,88.9,56.5,8.935483870967744,2.094,0
Aug-1959,90.6,60.3,9.538709677419355,2.33,0
Sep-1959,87.7,45.5,12.300000000000002,5.282,0
Oct-1959,79.5,30.1,12.235483870967746,4.027,0
Nov-1959,67.2,2.8,13.686666666666667,3.209,2.7369999999999997
Dec-1959,60.3,21.5,11.383870967741935,2.0780000000000003,1.254
Jan-1960,62.1,1.6,12.241935483870966,1.2439999999999998,2.1300000000000003
Feb-1960,49,-0.8,14.041379310344825,2.646,9.081
Mar-1960,67.3,-12.3,16.309677419354838,2.183,12.642
Apr-1960,81.5,23.4,15.05666666666667,2.4930000000000003,0
May-1960,80.3,33.1,13.264516129032259,4.024000000000001,0
Jun-1960,87.8,51.8,11.210000000000003,3.223,0
Jul-1960,86.9,54.4,8.14516129032258,5.374999999999999,0
Aug-1960,89.3,56.2,9.235483870967741,3.3380000000000005,0
Sep-1960,93.1,48.7,9.076666666666666,1.4460000000000002,0
Oct-1960,78,31.2,10.8741935483871,2,0
Nov-1960,67.8,21.3,14.203333333333337,1.868,0.305
Dec-1960,59.5,-16.3,13.161290322580646,0.9220000000000002,9.677999999999999
Jan-1961,50.8,-2,11.851612903225808,0.14400000000000002,3.569
Feb-1961,59.9,7,12.457142857142856,1.198,7.091
Mar-1961,68.8,22,15.00322580645161,5.062999999999999,0.6920000000000001
Apr-1961,75.7,22,15.333333333333334,4.817999999999999,6.0969999999999995
May-1961,84.1,32.8,13.251612903225803,3.6680000000000006,0
Jun-1961,88.7,47.6,9.74,1.3840000000000001,0
Jul-1961,90.7,53,9.677419354838708,3.6550000000000002,0
Aug-1961,89.1,55.5,7.8322580645161315,2.678,0
Sep-1961,88.7,41.1,11.319999999999999,2.543,0
Oct-1961,79.2,32.3,13.52258064516129,1.863,0
Nov-1961,76.3,22.2,12.363333333333335,3.1069999999999998,1.132
Dec-1961,61.5,-0.5,13.01290322580645,1.6440000000000001,5.9399999999999995
Jan-1962,48.5,-11.9,13.648387096774194,1.6630000000000003,11.526999999999997
Feb-1962,63.2,-1.1,13.585714285714284,1.102,8.44
Mar-1962,69.3,-1.8,13.403225806451609,2.906,2.873
Apr-1962,80,21.8,13.639999999999999,2.221,2.179
May-1962,89.2,42.3,12.422580645161293,1.588,0
Jun-1962,88.6,50.8,9.79333333333333,2.804,0
Jul-1962,89.5,53.3,9.825806451612902,2.0180000000000002,0
Aug-1962,95.8,54.8,9.774193548387094,1.9280000000000004,0
Sep-1962,90.6,40.9,10.63,2.136,0
Oct-1962,81.7,22.9,12.7,2.462,0.248
Nov-1962,60.3,26.2,11.806666666666668,1.0270000000000001,0
Dec-1962,60.7,-0.3,12.732258064516131,0.23600000000000002,5.3580000000000005
Jan-1963,48.3,-26.5,11.812903225806451,0.116,5.3340000000000005
Feb-1963,51.7,-11.1,12.792857142857141,0.024,4.420000000000001
Mar-1963,77,11.9,15.322580645161286,4.943,1.4909999999999999
Apr-1963,80.2,29.2,14.419999999999998,2.955,0
May-1963,85,30.7,12.464516129032255,3.7199999999999993,0
Jun-1963,92.7,49,8.990000000000002,0.8100000000000002,0
Jul-1963,90.8,49.7,10.106451612903227,4.582000000000001,0
Aug-1963,92.7,51.5,9.122580645161289,3.576,0
Sep-1963,86.3,44.1,10.203333333333335,0.535,0
Oct-1963,86.8,35.8,11.109677419354837,1.0330000000000001,0
Nov-1963,70.1,25.8,13.719999999999999,3.604,0.14
Dec-1963,57.4,-17,11.503225806451614,0.14600000000000002,5.192
Jan-1964,59.8,-1.4,15.251612903225805,1.362,5.762
Feb-1964,52.3,-3.5,11.934482758620687,0.17300000000000004,8.203999999999999
Mar-1964,65,15.8,16.270967741935486,3.5610000000000004,10.616999999999999
Apr-1964,76.9,22.3,15.45,6.898,0
May-1964,86.3,43.1,13.432258064516128,0.9410000000000001,0
Jun-1964,91.1,47.7,11.216666666666663,2.6270000000000007,0
Jul-1964,91.1,53.6,8.72903225806452,2.746,0
Aug-1964,96.4,52.5,11.477419354838709,0.826,0
Sep-1964,91.4,43.6,11.390000000000002,1.8970000000000002,0
Oct-1964,77.5,30.9,11.077419354838709,0.5050000000000001,0
Nov-1964,73.7,9.9,12.54,2.429,1.9889999999999999
Dec-1964,53.5,1.2,13.283870967741937,1.4320000000000004,5.418999999999999
Jan-1965,63.5,-1.5,14.012903225806449,3.57,5.162
Feb-1965,58.7,-9.1,14.87857142857143,1.4660000000000002,8.023
Mar-1965,55.5,1.1,13.8,1.791,8.838999999999999
Apr-1965,77.9,28.8,13.213333333333335,3.5270000000000006,0
May-1965,84.4,40,12.164516129032256,1.72,0
Jun-1965,88.7,51.4,11.106666666666667,3.458,0
Jul-1965,91.4,54.4,9.348387096774195,2.132,0
Aug-1965,90.5,47,10.677419354838714,2.507,0
Sep-1965,88,42.4,12.430000000000001,5.108,0
Oct-1965,78.6,29.3,12.283870967741937,1.0650000000000002,0
Nov-1965,69.8,21.5,12.78,1.135,0
Dec-1965,60.7,17.2,13.683870967741933,3.3180000000000005,1.548
Jan-1966,53.5,-13.1,12.187096774193549,0.8440000000000001,1.109
Feb-1966,58.6,-5.6,11.75357142857143,1.661,5.792999999999999
Mar-1966,73.6,17.4,14.43870967741935,1.6510000000000002,0.6120000000000001
Apr-1966,73.5,27,13.773333333333332,4.485,0.248
May-1966,83.2,27.2,13.138709677419353,2.298,0
Jun-1966,90.3,44.7,10.516666666666664,1.036,0
Jul-1966,98.7,57.1,9.103225806451613,0.5840000000000001,0
Aug-1966,88.6,53.2,8.912903225806453,2.873,0
Sep-1966,87.6,44.4,10.693333333333332,4.162,0
Oct-1966,75.5,32.3,12.922580645161288,1.024,0
Nov-1966,69.5,22.1,13.923333333333328,3.8359999999999994,2.125
Dec-1966,63.6,10,12.461290322580641,2.05,3.975
Jan-1967,63.6,-4.9,15.577419354838709,2.355,6.867999999999999
Feb-1967,59.6,-3.2,15.60357142857143,1.2040000000000002,3.125
Mar-1967,76,8.7,12.719354838709673,2.12,4.247000000000001
Apr-1967,79.6,29.5,15.429999999999998,4.685,0
May-1967,85.3,32.8,13.251612903225805,4.236000000000001,0
Jun-1967,88.5,49.3,10.119999999999997,2.407,0
Jul-1967,89.9,50.9,9.164516129032261,2.379,0
Aug-1967,87.1,49.9,9.787096774193548,1.978,0
Sep-1967,83.9,41.2,11.036666666666667,1.577,0
Oct-1967,82.9,32.9,13.906451612903224,5.059999999999999,0
Nov-1967,58.4,21.1,12.950000000000001,1.7940000000000003,7.391
Dec-1967,62.5,-1.3,12.651612903225805,4.816999999999999,4.997
Jan-1968,54.1,-13.4,12.203225806451613,0.8,10.405999999999999
Feb-1968,57.6,5.3,12.555172413793104,2.087,2.0740000000000003
Mar-1968,72.5,14.2,14.448387096774194,1.3279999999999998,2.572
Apr-1968,74.3,33.4,15.333333333333332,3.1980000000000004,0
May-1968,85.8,34.6,12.635483870967743,6.185,0
Jun-1968,89.9,49.5,11.24,2.539,0
Jul-1968,88.8,50.6,9.62258064516129,2.884,0
Aug-1968,90.2,51.8,9.241935483870964,3.202,0
Sep-1968,84.1,46.6,11.12,2.982,0
Oct-1968,81,33.4,12.364516129032257,0.6920000000000002,0
Nov-1968,73.3,21.7,13.003333333333329,4.63,0.138
Dec-1968,53.9,-1.4,15.893548387096775,3.263,3.012
Jan-1969,53.3,-6.1,12.919354838709676,3.3280000000000003,3.149
Feb-1969,45.2,11.8,11.532142857142853,0.987,3.448
Mar-1969,66.6,7.2,13.03225806451613,1.4749999999999999,5.683000000000001
Apr-1969,76,30.9,13.776666666666664,4.724,0.332
May-1969,86.3,38.6,10.829032258064515,2.3420000000000005,0
Jun-1969,89.4,44,12.716666666666667,4.359,0
Jul-1969,92.8,58,8.635483870967741,2.377,0
Aug-1969,89.5,56.4,8.261290322580642,0.927,0
Sep-1969,86.6,46.1,9.713333333333335,6.6819999999999995,0
Oct-1969,80.7,28.5,12.196774193548391,4.0920000000000005,0
Nov-1969,60.9,18.6,12.110000000000001,1.142,2.3449999999999998
Dec-1969,48.5,4.4,12.167741935483871,0.508,10.379
Jan-1970,64.5,-20.5,13.348387096774195,0.07200000000000001,4.539
Feb-1970,55.9,-3,13.15357142857143,0.42700000000000005,4.887999999999999
Mar-1970,59.7,17.3,13.229032258064514,1.883,6.482000000000001
Apr-1970,82.9,22.1,14.643333333333334,6.358999999999999,2.3710000000000004
May-1970,84.1,35.2,12.54516129032258,2.209,0
Jun-1970,91.6,52.4,11.66,2.7169999999999996,0
Jul-1970,93.9,50.3,11.087096774193549,1.9490000000000003,0
Aug-1970,89.9,56.1,9.429032258064517,2.752,0
Sep-1970,88.7,44.2,11.756666666666664,4.329000000000001,0
Oct-1970,75.8,32.5,11.638709677419353,5.686000000000002,0
Nov-1970,60.4,11.9,13.72,2.5020000000000007,0.222
Dec-1970,67.7,11.9,13.500000000000002,1.1059999999999999,2.072
Jan-1971,48.1,-0.5,13.822580645161288,0.668,1.2440000000000002
Feb-1971,60.2,-1.8,16.07857142857143,2.858,2.599
Mar-1971,68.4,17.6,16.05483870967742,1.689,2.6860000000000004
Apr-1971,78.5,25.9,13.419999999999998,1.1780000000000002,0.555
May-1971,83.7,33.8,12.35806451612903,1.981,0
Jun-1971,95.5,55,9.696666666666667,0.6260000000000001,0
Jul-1971,94,51.9,9.509677419354835,2.6270000000000002,0
Aug-1971,90.9,54.5,8.977419354838709,0.683,0
Sep-1971,91.1,46.3,10.66333333333333,3.621,0
Oct-1971,85.2,40.1,11.361290322580645,0.625,0
Nov-1971,73.3,20.2,13.446666666666667,1.545,2.788
Dec-1971,63,14.5,13.880645161290323,4.554,0.028
Jan-1972,56.2,-22.6,14.63225806451613,0.332,7.146
Feb-1972,68.6,-11.9,13.258620689655169,0.29800000000000004,5.8870000000000005
Mar-1972,70.4,12.4,14.545161290322582,2.1380000000000003,3.534
Apr-1972,78.1,18.2,13.54,6.116999999999998,0.28
May-1972,86.6,38.2,10.909677419354834,2.644,0
Jun-1972,88,44.5,11.356666666666666,1.7050000000000003,0
Jul-1972,91.3,48.1,9.829032258064517,2.697,0
Aug-1972,90.4,50,9.622580645161287,4.154999999999999,0
Sep-1972,86.9,41.3,11.913333333333334,5.279,0
Oct-1972,73.7,29,11.641935483870967,2.0890000000000004,0
Nov-1972,65.6,13.4,11.226666666666667,3.7070000000000003,5.828
Dec-1972,54.4,-14.6,13.161290322580646,2.9739999999999998,4.390999999999999
Jan-1973,57,7.3,13.283870967741938,1.439,1.9889999999999999
Feb-1973,55.3,6.3,11.682142857142859,0.8450000000000001,2.0500000000000003
Mar-1973,70.9,21.7,15.116129032258062,6.115,3.309
Apr-1973,77.4,23.9,15.040000000000001,4.414,0.826
May-1973,76.9,37.9,13.558064516129033,4.445,0
Jun-1973,87.8,54,10.806666666666667,5.147,0
Jul-1973,87.5,54.4,8.751612903225809,6.031,0
Aug-1973,91.1,58,8.632258064516131,2.045,0
Sep-1973,87.5,44.4,10.323333333333332,2.988,0
Oct-1973,79.8,36.7,11.319354838709677,3.49,0
Nov-1973,67.9,20.6,13.52,2.2809999999999997,0.14
Dec-1973,61.1,-6.2,14.358064516129033,2.2340000000000004,20.329000000000004
Jan-1974,54.6,-8,12.738709677419354,3.007,6.375
Feb-1974,58.6,7.9,14.5,2.093,4.221
Mar-1974,75,13,14.922580645161291,3.2779999999999996,1.8760000000000001
Apr-1974,77.3,24.3,15.636666666666667,3.4520000000000004,0.967
May-1974,83.2,35.5,12.716129032258062,5.304,0
Jun-1974,87.2,49.4,13.753333333333336,6.687999999999998,0
Jul-1974,91.8,58.6,8.883870967741935,0.6270000000000001,0
Aug-1974,87.5,57.1,8.741935483870968,4.923000000000001,0
Sep-1974,81.6,34.9,10.829999999999997,2.1470000000000002,0
Oct-1974,75.4,31,10.990322580645161,1.9180000000000001,0
Nov-1974,71.5,20.8,13.309999999999999,3.253,6.317
Dec-1974,44.8,15.1,11.548387096774196,1.456,6.1000000000000005
Jan-1975,60.6,5.4,14.77741935483871,3.336,7.6080000000000005
Feb-1975,55,-9.2,13.935714285714285,2.2909999999999995,7.755
Mar-1975,69.7,14.5,14.922580645161291,1.8860000000000001,4.441
Apr-1975,77.4,20.2,13.45,3.563,0.526
May-1975,88.6,41.3,10.654838709677417,2.086,0
Jun-1975,89.6,49.8,12.030000000000001,2.207,0
Jul-1975,88.6,49.9,8.32258064516129,4.193,0
Aug-1975,90.4,56.3,9.206451612903228,3.8419999999999996,0
Sep-1975,88.4,42.1,10.393333333333334,2.875,0
Oct-1975,81.5,35.1,11.993548387096773,2.345,0
Nov-1975,73,15.4,14.403333333333332,2.6210000000000004,5.682
Dec-1975,65.6,5.6,12.05483870967742,1.2860000000000003,4.667999999999999
Jan-1976,49.2,-6.6,14.383870967741933,0.878,5.075999999999999
