month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,72.8,28.6,11.190322580645159,5.2139999999999995,0
Feb-1950,66.6,27.1,9.782142857142857,4.8950000000000005,0
Mar-1950,76.7,26,10.093548387096773,4.603999999999999,0
Apr-1950,79.4,29.6,9.500000000000002,1.69,0
May-1950,86.8,56.5,6.9548387096774205,4.919,0
Jun-1950,94.2,55.7,7.7633333333333345,3.0020000000000002,0
Jul-1950,90.3,61.7,6.7774193548387105,5.005,0
Aug-1950,87.3,59.7,6.767741935483872,2.5150000000000006,0
Sep-1950,86.9,49.6,6.1966666666666645,3.2660000000000005,0
Oct-1950,80.7,46.9,6.564516129032256,2.9989999999999997,0
Nov-1950,78.6,7,8.99,1.728,2.123
Dec-1950,63.5,20.3,7.738709677419355,2.8860000000000006,1.854
Jan-1951,64.9,22,10.393548387096772,5.5040000000000004,0.084
Feb-1951,68.9,7.9,8.796428571428573,3.894,1.492
Mar-1951,76.3,28,9.612903225806454,8.501999999999999,1.436
Apr-1951,82.5,36.3,9.696666666666667,4.333999999999999,0
May-1951,91.9,46.9,8.206451612903225,1.179,0
Jun-1951,95.8,59.4,6.946666666666666,2.938,0
Jul-1951,94.9,60.4,5.529032258064516,3.5450000000000013,0
Aug-1951,96.4,65.1,6.074193548387095,0.93,0
Sep-1951,98.9,49.6,7.233333333333333,3.483,0
Oct-1951,89.2,45.1,7.232258064516128,2.7970000000000006,0
Nov-1951,70.3,24.9,9.43,3.229,0.221
Dec-1951,70.3,12.4,10.609677419354842,8.559999999999999,0.111
Jan-1952,71,18.3,9.619354838709677,5.537000000000001,0
Feb-1952,69,29.3,8.293103448275861,4.133,0
Mar-1952,75.4,29,10.16774193548387,6.062,0
Apr-1952,81.1,33,8.903333333333332,3.68,0
May-1952,88.3,45.3,7.780645161290324,4.133,0
Jun-1952,101.8,62.3,5.75,0.993,0
Jul-1952,104.5,61.1,6.32258064516129,0.863,0
Aug-1952,94.6,60.4,5.5677419354838715,4.981,0
Sep-1952,87.8,52.7,6.086666666666668,1.617,0
Oct-1952,84.8,29.5,7.280645161290324,0.923,0
Nov-1952,74.2,29,8.323333333333334,3.201,1.407
Dec-1952,64.9,25.3,7.535483870967741,3.4059999999999997,0
Jan-1953,63.4,26.9,10.05161290322581,6.723,0.391
Feb-1953,63.6,20.5,8.964285714285714,5.263,4.053
Mar-1953,74.8,32.2,9.361290322580645,4.361999999999999,0
Apr-1953,80.3,33.8,10.473333333333333,3.1430000000000002,0
May-1953,91.6,50.1,8.151612903225807,4.286999999999999,0
Jun-1953,95.7,58.2,6.8599999999999985,1.547,0
Jul-1953,97.1,61.7,6.064516129032258,3.12,0
Aug-1953,96.9,63,5.690322580645159,0.913,0
Sep-1953,99.1,50.5,7.133333333333335,3.532,0
Oct-1953,83.8,38.8,6.583870967741936,0.8699999999999999,0
Nov-1953,74.1,28.9,6.903333333333332,0.8360000000000001,0
Dec-1953,67.4,15.2,8.483870967741936,6.438999999999999,0
Jan-1954,62.3,18.5,9.222580645161292,7.379999999999999,2.84
Feb-1954,69,25.9,10.185714285714285,3.402,0.111
Mar-1954,75.5,25.3,9.40967741935484,4.84,0.138
Apr-1954,82,36.1,8.536666666666667,1.981,0
May-1954,89.2,40.5,7.470967741935483,3.281,0
Jun-1954,99.2,51.3,5.543333333333334,1.506,0
Jul-1954,101.4,66.5,6.203225806451614,2.3629999999999995,0
Aug-1954,98.8,64.9,6.64193548387097,1.359,0
Sep-1954,101.7,54.4,6.579999999999999,0.639,0
Oct-1954,90.6,34.3,7.52258064516129,1.327,0
Nov-1954,70.7,25,7.336666666666667,3.9760000000000004,0.44100000000000006
Dec-1954,63.4,25.3,8.745161290322581,5.858,0.279
Jan-1955,64.7,20,8.490322580645163,2.7300000000000004,2.375
Feb-1955,70.3,13,9.382142857142856,4.393999999999998,1.903
Mar-1955,79.1,19.4,10.206451612903225,5.09,0
Apr-1955,86,37.7,9.439999999999998,6.226999999999999,0
May-1955,88.2,50.5,7.541935483870967,4.4209999999999985,0
Jun-1955,88.5,52.9,6.8599999999999985,4.073999999999999,0
Jul-1955,94.2,62.2,5.6258064516129025,2.471,0
Aug-1955,93.8,67,5.699999999999999,1.528,0
Sep-1955,95.5,59.2,6.696666666666668,1.361,0
Oct-1955,80.7,39.1,7.677419354838709,1.6890000000000003,0
Nov-1955,72.9,20.6,8.57,2.9160000000000004,0
Dec-1955,65.6,20.2,8.035483870967742,2.6590000000000007,0
Jan-1956,61.5,23.2,8.929032258064515,1.588,1.8480000000000003
Feb-1956,65.8,30.9,9.555172413793104,8.450000000000001,0
Mar-1956,77.1,27.9,10.193548387096776,4.677,0.028
