month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,60.8,-5.9,9.483870967741936,0.016,4.364999999999999
Feb-1950,59.4,-6.6,8.47857142857143,0.163,2.51
Mar-1950,64,-4.1,10.841935483870968,0.128,3.255
Apr-1950,73.5,17.1,10.436666666666666,1.1960000000000002,8.417000000000002
May-1950,80.4,22.6,10.380645161290323,1.9420000000000004,3.0359999999999996
Jun-1950,89.5,34.4,10.286666666666667,1.663,0
Jul-1950,89.1,46.5,7.609677419354839,3.8030000000000004,0
Aug-1950,85.8,42,7.238709677419355,1.3870000000000002,0
Sep-1950,84.4,35.3,8.813333333333334,3.29,0
Oct-1950,80.6,29.8,9.896774193548385,0.032,0
Nov-1950,65.5,-13.8,7.946666666666667,0.115,2.8689999999999998
Dec-1950,57.5,10.5,7.332258064516129,0.124,1.081
Jan-1951,57.6,-27.3,8.058064516129031,0.008,4.676
Feb-1951,61.8,-37.1,8.52142857142857,0.02,2.6260000000000003
Mar-1951,62.9,-0.5,10.132258064516131,0.152,7.271999999999999
Apr-1951,69,14.3,10.626666666666665,1.8180000000000003,8.285
May-1951,84.8,25,9.52258064516129,2.636000000000001,0.055
Jun-1951,85,32.3,8.696666666666667,2.8340000000000005,0.112
Jul-1951,94.3,44.6,8.580645161290324,2.7180000000000004,0
Aug-1951,91.1,49.1,8.661290322580648,2.2640000000000007,0
Sep-1951,85.5,31.2,10.076666666666666,0.9890000000000001,0.223
Oct-1951,80.1,20.4,8.419354838709676,1.22,2.6220000000000003
Nov-1951,53.7,-20,7.423333333333334,0.186,12.626
Dec-1951,52.9,-10.3,8.48709677419355,0.11599999999999999,3.1510000000000002
Jan-1952,51.2,8.8,8.693548387096774,0.05600000000000001,0.334
Feb-1952,56.6,6.9,9.434482758620689,0.10800000000000001,2.388
Mar-1952,57.2,-17.8,9.764516129032259,0.164,10.277000000000001
Apr-1952,70.8,19.1,8.876666666666665,2.551,6.349
May-1952,77.3,29.6,9.161290322580648,2.992,1.468
Jun-1952,94.9,42.8,10.803333333333335,0.111,0
Jul-1952,93.9,48.3,8.929032258064517,1.5000000000000002,0
Aug-1952,90.8,44.7,7.170967741935482,4.0040000000000004,0
Sep-1952,85.9,37.5,8.98,0.644,0
Oct-1952,76.4,24.6,7.870967741935483,0.032,1.246
Nov-1952,66.2,-20.2,8.286666666666667,0.088,6.081000000000001
Dec-1952,57,-12.1,7.870967741935485,0.032,3.09
Jan-1953,57.2,3.8,9.167741935483873,0.092,1.991
Feb-1953,57,-12.1,9.589285714285714,0.044,2.847
Mar-1953,70.1,8.6,10.23225806451613,0.40800000000000003,3.619
Apr-1953,73.6,-1.2,10.039999999999997,0.977,6.020999999999999
May-1953,81.1,22,11.654838709677419,2.2470000000000003,6.136000000000001
Jun-1953,92.3,43.5,11.003333333333332,0.8700000000000001,0
Jul-1953,94.4,50.2,8.11290322580645,2.68,0
Aug-1953,89,46.8,7.764516129032256,2.275000000000001,0
Sep-1953,85.5,39.3,9.086666666666668,0.04000000000000001,0
Oct-1953,78.7,25.1,8.916129032258063,0.354,0.856
Nov-1953,67.2,-4.8,7.980000000000001,0.279,4.502000000000001
Dec-1953,48.6,-8.3,8.90645161290323,0.024,5.166
Jan-1954,58.1,-3.1,7.970967741935483,0.04,2.375
Feb-1954,65,14.7,10.846428571428573,0.024,1.2229999999999999
Mar-1954,62.7,0.9,11.345161290322583,0.17600000000000002,5.856
Apr-1954,75.3,22.2,10.943333333333333,1.0570000000000002,0.75
May-1954,83.5,12.8,9.02258064516129,1.6550000000000002,4.025
