month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,77.2,41.3,9.719354838709679,1.4500000000000002,0
Feb-1950,76,32.3,10.103571428571428,1.298,0
Mar-1950,79.4,34.9,11.070967741935485,4.69,0
Apr-1950,81.2,36.5,9.526666666666669,4.194,0
May-1950,90.1,59.7,8.709677419354838,1.542,0
Jun-1950,100.6,63.9,8.236666666666668,2.392,0
Jul-1950,93.3,68.2,7.983870967741934,6.311999999999998,0
Aug-1950,93.7,64.3,7.941935483870967,3.903,0
Sep-1950,88.9,59.6,9.63,2.064,0
Oct-1950,84.9,51.3,9.48064516129032,2.076,0
Nov-1950,85.3,21.8,9.633333333333331,1.0530000000000002,0
Dec-1950,72.9,24.5,9.1,4.611999999999999,0
Jan-1951,71.1,25.1,10.687096774193549,1.548,0
Feb-1951,75.7,17.8,9.221428571428572,2.107,0
Mar-1951,80.8,33.9,10.858064516129033,3.516,0
Apr-1951,83.1,39.4,10.15,4.27,0
May-1951,92.5,53.8,9.329032258064515,2.006,0
Jun-1951,96.6,65.5,8.136666666666667,2.539,0
Jul-1951,99.6,68.6,7.161290322580645,3.234,0
Aug-1951,98.8,67.7,6.4419354838709655,3.101,0
Sep-1951,99.7,62.9,7.600000000000002,4.378,0
Oct-1951,91.3,51.1,8.961290322580645,0.8430000000000002,0
Nov-1951,75.4,29.9,9.633333333333333,2.516,0
Dec-1951,77.2,25.6,11.46774193548387,2.935,0
Jan-1952,73.2,29,9.719354838709675,2.069,0
Feb-1952,73.5,33.6,11.3,6.805,0
Mar-1952,79.7,35.7,10.596774193548386,5.257,0
Apr-1952,83.8,38.9,9.656666666666666,2.7310000000000003,0
May-1952,90.8,48.2,8.43225806451613,2.152,0
Jun-1952,102.6,66.4,7.390000000000003,0.8960000000000001,0
Jul-1952,103.7,70,8.25483870967742,1.872,0
Aug-1952,96.8,65.4,7.332258064516131,5.241,0
Sep-1952,90.8,59.9,9.25,2.7920000000000003,0
Oct-1952,90.1,38.9,8.516129032258062,0.8150000000000001,0
Nov-1952,82.7,37.3,8.843333333333335,2.328,0
Dec-1952,73.3,27.5,8.677419354838712,4.272,0
Jan-1953,72.6,29.9,11.161290322580646,3.22,0
Feb-1953,70.6,30.7,10.435714285714289,5.430000000000001,0
Mar-1953,78.3,40.5,9.541935483870969,2.771,0
Apr-1953,81.7,39.8,10.833333333333332,6.675999999999997,0
May-1953,94.5,53,8.232258064516127,2.999,0
Jun-1953,96.1,67.3,8.360000000000001,3.1530000000000005,0
Jul-1953,97,68.1,7.890322580645159,4.584999999999999,0
Aug-1953,98.4,64.7,7.874193548387097,3.245,0
Sep-1953,92.9,62.4,10.51333333333333,9.504,0
Oct-1953,85.1,44.6,8.274193548387096,0.498,0
Nov-1953,77.3,37.8,8.193333333333335,4.266,0
Dec-1953,74.6,23.4,10.693548387096772,8.860999999999997,0
Jan-1954,72.1,28.7,9.529032258064513,2.03,0
Feb-1954,74.8,31.1,11.496428571428572,2.278,0
Mar-1954,81.5,28.9,10.638709677419357,3.0850000000000004,0.386
Apr-1954,87.5,47.4,8.240000000000002,1.7969999999999997,0
May-1954,91.5,49.1,8.35483870967742,1.723,0
Jun-1954,104.2,59.2,7.8066666666666675,1.09,0
Jul-1954,97.6,70.2,7.6580645161290315,3.8489999999999998,0
Aug-1954,100.9,69.6,7.532258064516128,0.623,0
Sep-1954,97.6,66.5,7.836666666666667,1.197,0
Oct-1954,95.1,39.8,8.906451612903227,0.601,0
Nov-1954,76,30.8,10.156666666666668,2.768,0
Dec-1954,70.6,27.3,10.387096774193548,3.06,0
Jan-1955,72.9,27.4,9.64516129032258,2.568,0.939
Feb-1955,74.5,23.4,10.864285714285712,2.9850000000000008,0
Mar-1955,83.3,27.3,11.235483870967743,0.471,0.249
Apr-1955,85.1,45.1,10.280000000000003,4.786,0
May-1955,93.2,55.7,9.00322580645161,3.496000000000001,0
Jun-1955,93.7,59.4,9.389999999999999,1.6760000000000002,0
Jul-1955,94.4,69.7,6.854838709677418,5.925000000000001,0
Aug-1955,96.5,69.7,6.596774193548388,1.919,0
Sep-1955,93.4,65.3,8.23,1.7690000000000001,0
Oct-1955,86.4,40.5,9.138709677419355,2,0
Nov-1955,81,27.1,9.326666666666664,1.6680000000000004,0
Dec-1955,77.1,26.8,9.54516129032258,1.0959999999999999,0
Jan-1956,70.5,28,11.13225806451613,3.7220000000000004,0
Feb-1956,77.5,36.4,10.744827586206895,6.047000000000001,0
Mar-1956,78.6,31.6,10.93225806451613,4.920999999999999,0
Apr-1956,84.4,46.1,10.963333333333333,1.429,0
May-1956,94.5,53,8.241935483870968,3.036,0
Jun-1956,94.2,56.3,7.8533333333333335,3.77,0
Jul-1956,94.7,66.1,7.4419354838709655,6.846999999999998,0
Aug-1956,98.6,66.9,6.903225806451613,1.862,0
Sep-1956,94.7,54.3,8.576666666666664,8.601999999999999,0
Oct-1956,83.6,54.2,8.183870967741933,3.2,0
Nov-1956,78.5,30.3,9.423333333333334,0.466,0
Dec-1956,75,32.2,9.112903225806454,3.0940000000000003,0
Jan-1957,77.1,23.3,9.961290322580645,0.9510000000000001,0
Feb-1957,78.1,37.5,9.492857142857144,2.343,0
Mar-1957,75.6,32.8,10.516129032258064,4.826999999999999,0
Apr-1957,83.1,42.1,9.520000000000001,5.007000000000001,0
May-1957,87.3,51.3,7.6806451612903235,4.422999999999998,0
Jun-1957,90.1,65.9,8.076666666666666,5.59,0
Jul-1957,95.1,68.7,7.29032258064516,4.1450000000000005,0
Aug-1957,95.3,64.7,8.35483870967742,2.518,0
Sep-1957,95.2,60,8.510000000000002,10.163,0
Oct-1957,77.9,38.1,9.064516129032256,2.0010000000000003,0
Nov-1957,78.3,34.3,10.486666666666666,6.933,0
Dec-1957,71.4,22.7,9.78064516129032,1.532,0
Jan-1958,67.8,24.6,11.36774193548387,4.1819999999999995,0
Feb-1958,69.1,20.3,11.442857142857141,3.064,0.223
Mar-1958,74.4,36,10.25483870967742,6.103999999999997,0
Apr-1958,85.6,43.5,10.566666666666665,4.492999999999999,0
May-1958,88.7,48.1,8.53225806451613,2.831000000000001,0
Jun-1958,94.6,64.5,8.026666666666666,4.28,0
Jul-1958,93.7,65.6,7.27741935483871,4.893999999999999,0
Aug-1958,94.5,66.4,6.854838709677419,2.6120000000000005,0
Sep-1958,97.2,61.8,8.606666666666666,2.21,0
Oct-1958,89.8,47.8,7.970967741935482,1.3780000000000001,0
Nov-1958,80.5,35.2,8.676666666666668,1.3460000000000003,0
Dec-1958,73.8,28.2,9.241935483870968,3.126,0
Jan-1959,72.6,23.5,9.435483870967742,5.0120000000000005,0
Feb-1959,76.3,30.1,10.096428571428566,5.340999999999999,0
Mar-1959,75.1,35.5,11.383870967741938,9.783999999999999,0
Apr-1959,80.6,41.5,9.393333333333336,3.314,0
May-1959,89.1,55.7,7.880645161290323,6.715999999999999,0
Jun-1959,94.7,66.1,7.000000000000001,3.9090000000000007,0
Jul-1959,94.3,69.3,6.435483870967741,5.744999999999999,0
Aug-1959,96.6,68.2,6.493548387096774,4.082999999999999,0
Sep-1959,91.3,64.8,8.320000000000002,3.7990000000000004,0
Oct-1959,90.8,46.8,9.583870967741936,11.29,0
Nov-1959,79,25.2,9.833333333333336,1.0310000000000001,0
Dec-1959,71.8,28.7,9.999999999999996,2.197,0
Jan-1960,74.6,24.2,9.651612903225804,4.694999999999999,0
Feb-1960,68.5,26,11.524137931034486,6.112,0
Mar-1960,76.8,25.5,10.667741935483873,4.437,0
Apr-1960,84.5,37.6,9.356666666666664,4.09,0
May-1960,92.8,47.8,8.770967741935484,2.92,0
Jun-1960,94.8,62.5,8.003333333333332,1.617,0
Jul-1960,96,71.9,6.464516129032259,4.611000000000001,0
Aug-1960,94.6,69.4,7.474193548387099,2.8740000000000006,0
Sep-1960,95.2,62.2,8.696666666666665,6.561,0
Oct-1960,84.7,49.3,6.761290322580645,1.7930000000000001,0
Nov-1960,79.4,38.4,7.793333333333332,0.6070000000000001,0
Dec-1960,71.9,24.4,9.083870967741937,3.7830000000000004,0
Jan-1961,66.4,21.7,9.53225806451613,2.3840000000000003,0
Feb-1961,76.1,32.3,10.349999999999998,6.766,0
Mar-1961,78.9,37.1,10.551612903225807,5.565,0
Apr-1961,80,41.1,12.143333333333336,3.7899999999999996,0
May-1961,87.2,50.9,8.261290322580644,3.625,0
Jun-1961,91.6,60.3,7.686666666666666,4.559999999999999,0
Jul-1961,94.9,69.1,6.903225806451613,1.7080000000000004,0
Aug-1961,95.5,67.3,7.574193548387096,5.331999999999999,0
Sep-1961,91.4,58.3,7.783333333333331,1.935,0
Oct-1961,85.6,48.6,9.058064516129031,0.012,0
Nov-1961,84.4,35.8,9.486666666666663,2.2960000000000003,0
Dec-1961,76.2,24.3,10.287096774193548,3.8289999999999997,0
Jan-1962,72.8,19.3,10.203225806451611,2.568,0
Feb-1962,78.6,31.5,10.35357142857143,2.044,0
Mar-1962,79.9,28.9,11.593548387096776,4.5040000000000004,0
Apr-1962,89.9,39.5,9.683333333333334,3.049,0
May-1962,98.3,57.6,8.448387096774194,0.955,0
Jun-1962,94.7,67.9,7.323333333333334,3.7200000000000006,0
Jul-1962,97,69.8,6.809677419354839,3.4370000000000003,0
Aug-1962,97,72,6.874193548387096,1.8709999999999998,0
Sep-1962,97.9,53.8,7.290000000000001,4.082000000000001,0
Oct-1962,86.8,42.3,7.445161290322581,1.4109999999999998,0
Nov-1962,76.4,38.9,9.826666666666666,4.390000000000001,0
Dec-1962,71,13.5,8.990322580645161,2.867,0
Jan-1963,68.2,16.4,10.25806451612903,7.248999999999999,0
Feb-1963,74.4,24.4,11.457142857142857,3.5050000000000003,0
Mar-1963,81.3,35.9,10.41935483870968,2.564000000000001,0
Apr-1963,87.5,47.3,10.52,2.228,0
May-1963,91.6,52.1,8.138709677419353,1.9040000000000001,0
Jun-1963,100.4,60.8,8.123333333333333,4.518,0
Jul-1963,94.3,63.5,7.574193548387096,4.393999999999998,0
Aug-1963,96.1,67.4,6.270967741935486,2.9330000000000003,0
Sep-1963,95.6,59.5,9.580000000000002,6.894,0
Oct-1963,85.3,44.8,8.106451612903225,0.196,0
Nov-1963,77.3,33,9.896666666666667,3.436,0
Dec-1963,71.8,23.8,10.038709677419355,6.0760000000000005,0.497
Jan-1964,68.9,21.2,9.9,5.518,0
Feb-1964,66.2,27.5,11.86551724137931,5.062,0
Mar-1964,80.4,32.1,11.541935483870972,4.814999999999999,0
Apr-1964,87.5,42.8,10.676666666666668,2,0
May-1964,95.2,55.7,8.638709677419355,1.9880000000000002,0
Jun-1964,98.2,64.2,7.106666666666666,3.2190000000000007,0
Jul-1964,90,66,7.832258064516128,7.719999999999999,0
Aug-1964,93.2,63.1,6.67741935483871,5.329999999999998,0
Sep-1964,94.5,60.9,9.693333333333332,4.793,0
Oct-1964,84.7,41.7,9.854838709677423,2.447,0
Nov-1964,80,31.9,8.620000000000001,1.6989999999999998,0
