month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,70.3,24.4,14.303225806451612,2.546,1.819
Feb-1950,54.2,15.1,14.428571428571429,2.6510000000000002,0.139
Mar-1950,72.1,17.4,17.212903225806453,3.729000000000001,0.638
Apr-1950,75.7,28.6,13.450000000000006,3.3140000000000005,0
May-1950,86.3,45.8,11.42258064516129,3.8810000000000007,0
Jun-1950,90.1,55.6,10.889999999999999,3.3240000000000003,0
Jul-1950,89.6,63.4,9.996774193548386,5.438999999999997,0
Aug-1950,89,60.5,9.58064516129032,3.3000000000000007,0
Sep-1950,84.7,46.9,10.983333333333333,6.187999999999998,0
Oct-1950,78.6,41.3,10.638709677419357,1.678,0
Nov-1950,79.7,25.3,14.1,4.13,0
Dec-1950,65.2,13.3,13.799999999999999,3.269,0.22400000000000003
Jan-1951,63.4,22.9,15.016129032258062,2.4730000000000003,1.4909999999999999
Feb-1951,64.1,15,13.50357142857143,2.496,1.875
Mar-1951,64.4,28.9,15.1,3.358,0
Apr-1951,80.9,37.4,13.873333333333333,2.852,0
May-1951,84.7,48.2,11.670967741935481,2.409,0
Jun-1951,87.9,52.3,10.29,5.012,0
Jul-1951,90.6,62.6,9.512903225806449,2.4200000000000004,0
Aug-1951,89.8,59.6,8.474193548387099,1.516,0
Sep-1951,88.8,49.7,10.133333333333333,1.008,0
Oct-1951,87.3,45.8,12.877419354838707,2.7740000000000005,0
Nov-1951,70.9,27.2,14.183333333333335,6.192999999999999,0.028
Dec-1951,68.9,15.8,14.816129032258065,4.464,0.91
Jan-1952,64.9,15.6,14.941935483870964,3.914,3.8059999999999996
Feb-1952,58.1,25.9,14.289655172413795,1.5430000000000001,1.653
Mar-1952,74.5,25.7,13.151612903225809,5.273999999999999,5.43
Apr-1952,81.4,36.8,13.183333333333335,6.506,0
May-1952,81.4,46.9,12.64838709677419,5.468,0
Jun-1952,96.4,57.4,11.266666666666667,3.238,0
Jul-1952,95.6,57.3,9.335483870967742,3.3480000000000008,0
Aug-1952,86.9,58.1,9.512903225806449,6.306999999999999,0
Sep-1952,91.4,53.4,9.923333333333334,2.3200000000000003,0
Oct-1952,83.4,34.9,12.796774193548389,0.739,0
Nov-1952,70.6,29,12.783333333333333,5.438999999999999,0.606
Dec-1952,59.9,19.8,12.448387096774194,4.649000000000001,1.625
Jan-1953,62.1,28.1,13.706451612903223,3.7790000000000004,2.1530000000000005
Feb-1953,65,24.3,13.753571428571432,2.6980000000000004,0.359
Mar-1953,66.7,23.6,14.529032258064516,4.4079999999999995,3.503
Apr-1953,80.4,36.5,14.696666666666665,5.374999999999999,0
May-1953,83.8,50.2,11,3.2390000000000003,0
Jun-1953,90.1,52.9,10.119999999999997,1.757,0
Jul-1953,96,62.5,9.687096774193547,2.345,0
Aug-1953,97.4,61.6,10.209677419354838,6.634,0
Sep-1953,95.3,51.1,10.919999999999998,2.1050000000000004,0
Oct-1953,79.7,43.4,10.664516129032256,2.9240000000000004,0
Nov-1953,72.8,30.9,10.58,2.2159999999999997,10.693
Dec-1953,65.3,21.2,14.33548387096774,3.88,0.084
Jan-1954,62.6,7,14.870967741935484,2.1370000000000005,10.617999999999999
Feb-1954,68.7,18.1,14.114285714285712,1.5280000000000002,0.276
Mar-1954,69.4,25.9,14.677419354838714,3.718,0.9119999999999999
Apr-1954,79.9,29.2,13.143333333333333,2.439,0.276
May-1954,82.1,44.6,12.106451612903225,2.3380000000000005,0
Jun-1954,95.2,53.4,11.493333333333332,0.593,0
Jul-1954,98.9,62.1,10.087096774193544,1.7960000000000003,0
Aug-1954,92,61.5,11.161290322580648,4.436000000000001,0
Sep-1954,91.8,53,11.68,3.2760000000000002,0
Oct-1954,88,40.6,12.622580645161289,2.6610000000000005,0
Nov-1954,67.5,32.8,12.229999999999999,3.3460000000000005,0
Dec-1954,61.6,19.4,14.593548387096769,4.475,1.794
Jan-1955,56.2,15.8,13.987096774193548,0.263,2.567
Feb-1955,62,3.6,12.917857142857143,2.87,3.805
Mar-1955,72.6,24.9,15.558064516129033,3.964,1.185
Apr-1955,76.6,34.7,11.613333333333333,3.4650000000000007,0
May-1955,88.7,46.6,11.28709677419355,1.883,0
Jun-1955,88,50.8,10.67,5.509999999999999,0
Jul-1955,95.3,65.5,9.158064516129034,2.1790000000000003,0
Aug-1955,95.8,62.4,12.348387096774195,10.267999999999995,0
Sep-1955,85,52.7,11.523333333333333,3.1540000000000004,0
Oct-1955,80.2,43.4,12.006451612903225,3.696,0
Nov-1955,72.5,20.6,14.256666666666666,2.21,2.425
Dec-1955,61.5,15.5,12.116129032258065,0.665,0.499
Jan-1956,59,13,14.454838709677421,2.448,5.653
Feb-1956,62.7,21.6,14.272413793103448,4.117,0.746
Mar-1956,73,20.1,14.37096774193548,3.298,6.286999999999999
Apr-1956,80.2,32.2,14.799999999999999,3.6860000000000004,0.276
May-1956,87.8,42.4,13.777419354838706,4.059999999999999,0
Jun-1956,92.7,55,9.409999999999998,2.157,0
Jul-1956,93.9,62.4,10.006451612903225,4.521999999999999,0
