month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,64.4,11.7,10.58064516129032,3.253000000000001,2.6239999999999997
Feb-1950,43.9,-5,10.875,2.2199999999999998,15.755000000000004
Mar-1950,63.5,-6.4,12.870967741935486,3.5380000000000007,8.774000000000001
Apr-1950,71.8,23.6,10.76666666666667,2.857,0.552
May-1950,77.4,34.3,9.04516129032258,3.9939999999999998,0
Jun-1950,84.8,44.2,9.163333333333334,3.8280000000000003,0
Jul-1950,84.1,54.3,7.84516129032258,4.395,0
Aug-1950,82.3,52.6,7.422580645161291,2.903,0
Sep-1950,78.9,38.9,7.279999999999999,2.027,0
Oct-1950,79,30.2,8.738709677419354,3.2020000000000004,0
Nov-1950,74.6,21.5,10.756666666666666,6.236000000000001,3.3760000000000003
Dec-1950,51.5,-5.3,10.529032258064515,4.6259999999999994,9.854999999999999
Jan-1951,54.2,4.9,10.822580645161294,3.0170000000000003,10.259
Feb-1951,55.7,-8,10.435714285714287,3.0490000000000004,4.912
Mar-1951,55.2,17.2,11.874193548387096,5.069000000000001,9.545000000000002
Apr-1951,73.8,30.2,10.66333333333333,3.298000000000001,0.14
May-1951,81.6,37.7,9.129032258064512,4.03,0
Jun-1951,81.8,45.2,8.123333333333333,4.900000000000001,0
Jul-1951,84.7,53.2,7.7064516129032254,3.661,0
Aug-1951,86,49.9,7.061290322580645,2.524,0
Sep-1951,79.3,39.1,8.436666666666667,3.381,0
Oct-1951,82.5,35.4,9.225806451612902,3.431,0
Nov-1951,59.7,14.9,10.493333333333334,7.216999999999998,3.809
Dec-1951,58.8,-7,10.774193548387096,3.0780000000000007,13.043
Jan-1952,51.1,2.9,11.13225806451613,3.898999999999999,9.649999999999999
Feb-1952,49.2,4.7,11.206896551724139,1.3450000000000002,6.623999999999999
Mar-1952,63.4,13.7,10.503225806451612,3.6160000000000005,12.805
Apr-1952,77.8,26.7,10.116666666666665,7.439000000000001,0
May-1952,76.4,37.5,10.380645161290323,7.613,0
Jun-1952,91.9,49.8,9,4.534999999999999,0
Jul-1952,91.1,54.4,7.861290322580646,3.1150000000000007,0
Aug-1952,83.2,50.5,7.758064516129031,5.392999999999999,0
Sep-1952,87.5,44.2,7.403333333333332,3.97,0
Oct-1952,70.9,28.1,9.93225806451613,0.9020000000000001,0.607
Nov-1952,63.1,24.2,9.476666666666668,4.515000000000001,0.47000000000000003
Dec-1952,52.5,3.8,9.745161290322583,4.486,10.865
Jan-1953,52.5,6,10.261290322580646,4.0329999999999995,6.649000000000001
Feb-1953,57,10.3,11.185714285714285,2.295,5.022999999999999
Mar-1953,62.6,13.9,10.806451612903228,5.962,2.0180000000000002
Apr-1953,72.8,29.6,11.40666666666667,6.395999999999997,0.278
May-1953,82.2,42,8.345161290322583,5.519999999999998,0
Jun-1953,89.3,45.1,8.406666666666668,1.861,0
Jul-1953,94,51,7.832258064516128,3.0050000000000003,0
Aug-1953,92.6,52.3,7.145161290322582,2.41,0
Sep-1953,95.2,40.8,9.22,2.383,0
Oct-1953,75.2,34.7,8.261290322580646,2.608,0
Nov-1953,65.3,22,8.419999999999998,2.3930000000000002,9.735
Dec-1953,55.9,10.2,11.345161290322585,5.052,0.609
Jan-1954,50.2,-9.6,10.648387096774194,0.626,10.932
Feb-1954,64,2.8,11.15,2.0820000000000003,2.71
Mar-1954,64.2,16.3,12.025806451612903,4.036,1.355
Apr-1954,75.7,16.4,10.516666666666667,4.305,0.992
May-1954,76.2,35.9,9.08064516129032,4.065,0
Jun-1954,87.8,49.1,8.883333333333333,1.0870000000000002,0
Jul-1954,95.4,51.7,8.164516129032258,1.233,0
Aug-1954,85.1,52.3,8.538709677419357,6.224,0
Sep-1954,84.4,43.1,9.113333333333333,2.9440000000000004,0
Oct-1954,80.3,31.3,9.770967741935484,3.077000000000001,0
Nov-1954,59.9,25.6,9.339999999999998,4.577,2.487
Dec-1954,50.6,7.9,10.861290322580645,3.9540000000000006,1.248
Jan-1955,44.4,2.9,11.522580645161291,0.265,1.965
Feb-1955,56,-7.3,9.85,2.808,6.624999999999999
Mar-1955,63,13,12.067741935483872,3.777,6.729
Apr-1955,73.2,27.2,10.150000000000002,3.6350000000000002,0.167
May-1955,83,36.8,9.448387096774193,1.415,0
Jun-1955,82.3,46.7,8.666666666666666,3.5799999999999996,0
Jul-1955,96.1,59.9,7.0258064516129055,1.48,0
Aug-1955,93.8,54.2,9.187096774193547,11.895999999999999,0
Sep-1955,80.6,43.1,7.9833333333333325,2.203,0
Oct-1955,75.2,32.7,10.264516129032257,9.244999999999997,0
Nov-1955,64.6,10.9,11.659999999999998,1.7030000000000003,3.339
Dec-1955,48.1,0.9,10.051612903225807,0.17600000000000005,4.227
Jan-1956,42.8,6.5,12.17741935483871,1.216,3.841
Feb-1956,51.8,3.9,10.913793103448276,3.297,13.234000000000002
Mar-1956,56.7,1.5,11.316129032258065,2.0900000000000003,18.263999999999996
Apr-1956,78,21.1,10.169999999999998,3.0199999999999996,10.14
May-1956,81.7,32,10.590322580645163,2.528,0
Jun-1956,88.3,48.8,7.8966666666666665,3.864,0
Jul-1956,86.4,52.3,8.164516129032256,4.996999999999999,0
Aug-1956,84.8,50.3,7.5354838709677425,3.838,0
Sep-1956,80,35.7,8.520000000000001,3.871000000000001,0
Oct-1956,75.3,33,8.361290322580645,4.234,0
Nov-1956,65.2,16.7,10.103333333333333,3.126,4.219
Dec-1956,59.6,8.2,9.816129032258061,4.507,4.23
Jan-1957,54.6,-15.9,10.545161290322582,1.101,9.495
Feb-1957,55.9,12.8,9.407142857142857,1.328,4.837
Mar-1957,67.6,16,9.303225806451614,1.5050000000000003,6.710000000000001
Apr-1957,81.1,27.2,10.12,4.6160000000000005,7.387
May-1957,78.9,32.4,9.516129032258064,1.53,0
Jun-1957,91.4,46.8,8.750000000000002,3.1770000000000005,0
Jul-1957,90.7,50.8,7.96774193548387,2.623,0
Aug-1957,88.8,49.9,7.738709677419355,1.9800000000000004,0
Sep-1957,82.9,37,8.360000000000001,4.093,0
Oct-1957,69.4,29.6,9.319354838709677,3.527,0.168
Nov-1957,61.4,22.9,10.770000000000001,4.948999999999999,0.196
Dec-1957,56.7,12,10.67741935483871,5.796999999999999,5.186
Jan-1958,42,4.6,11.638709677419357,3.1439999999999997,10.819
Feb-1958,43.3,-8.5,12.421428571428573,1.7810000000000001,18.175
Mar-1958,47.8,18.1,11.21290322580645,1.473,26.720000000000002
Apr-1958,74.9,20.8,10.373333333333335,4.579,3.947
May-1958,78.4,35.7,10.025806451612905,4.832000000000001,0
Jun-1958,82.8,42.8,9.466666666666667,3.393,0
Jul-1958,86.5,53.7,8.016129032258066,3.8440000000000003,0
Aug-1958,84.1,52.8,7.932258064516129,2.624,0
Sep-1958,81.8,42.5,8.866666666666667,3.6930000000000005,0
Oct-1958,74.6,32.5,9.290322580645162,5.380999999999999,3.64
Nov-1958,63.4,9.2,10.29,2.946,0.8310000000000001
