month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,24.3,-31.6,11.987096774193548,0,11.239
Feb-1950,35,-27.6,11.09642857142857,0.032,1.9370000000000003
Mar-1950,45,-19.6,11.596774193548386,0.475,12.969
Apr-1950,52.5,3.4,12.87,0.331,20.639999999999997
May-1950,79.7,21.3,12.451612903225802,5.449,5.019
Jun-1950,91.2,40.2,13.060000000000004,4.7090000000000005,0
Jul-1950,88.5,47.3,10.232258064516131,1.981,0
Aug-1950,86.3,43.7,10.735483870967741,1.891,0
Sep-1950,85.1,42.5,10.913333333333334,3.9190000000000005,0
Oct-1950,67.8,25.8,12.090322580645159,2.349,0.856
Nov-1950,56,-7.7,12.95,0.32300000000000006,7.043000000000001
Dec-1950,35.3,-26.9,10.216129032258062,0,4.907
Jan-1951,36.7,-35.6,10.287096774193552,0.008,4.183
Feb-1951,40.9,-25.5,10.378571428571428,0.132,7.1819999999999995
Mar-1951,42.5,-18.4,12.606451612903227,0.028,10.447000000000001
Apr-1951,71.7,16.3,12.173333333333334,1.2510000000000001,7.730999999999999
May-1951,78.7,34.4,11.474193548387097,2.3890000000000007,0
Jun-1951,81.3,42.4,10.743333333333334,2.749,0
Jul-1951,90.3,48.6,10.274193548387094,3.3990000000000005,0
Aug-1951,90.5,46.5,10.051612903225806,5.680000000000001,0
Sep-1951,74.9,29.8,11.186666666666666,2.3010000000000006,0
Oct-1951,72.5,17.4,11.441935483870965,1.091,2.5460000000000003
Nov-1951,46.5,-13,10.919999999999998,0.108,5.986
Dec-1951,42.4,-29.3,10.925806451612901,0.306,9.671999999999999
Jan-1952,42.7,-26.7,10.103225806451613,0.02,8.249
Feb-1952,36.6,-11.8,10.334482758620693,0.012,2.52
Mar-1952,44.6,-13.9,9.683870967741935,0,3.499
Apr-1952,84.1,18.7,11.093333333333332,0.651,1.605
May-1952,85.1,35.7,11.438709677419357,1.288,0
Jun-1952,90.1,43,12.353333333333333,7.290999999999999,0
Jul-1952,88.7,50.7,12.125806451612904,7.111999999999999,0
Aug-1952,89.1,48.4,10.870967741935482,2.365,0
Sep-1952,88.8,36.1,12.823333333333334,0.898,0
Oct-1952,64.7,20.3,12.793548387096774,0.35900000000000004,0.056
Nov-1952,55.4,-0.7,13.396666666666667,0.9889999999999999,2.1239999999999997
Dec-1952,37.2,-8,9.774193548387096,0.064,2.633
Jan-1953,35.1,-23.1,12.203225806451613,0.075,8.314
Feb-1953,40.4,-23.2,11.44642857142857,0.06,6.0760000000000005
Mar-1953,53.3,-16.9,12.538709677419357,0.802,4.377000000000001
Apr-1953,65.9,14.9,12.98333333333333,2.8310000000000004,6.659999999999999
May-1953,79.5,26.7,12.938709677419356,4.026999999999999,0.553
