month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,45.5,9.8,6.364516129032258,4.486,58.34400000000001
Feb-1950,55.2,10,4.457142857142857,4.368,4.803999999999999
Mar-1950,65.8,25.4,5.893548387096776,5.421000000000001,6.1370000000000005
Apr-1950,79.6,29.1,6.6033333333333335,1.83,1.298
May-1950,84.6,32,7.351612903225807,1.2790000000000001,0.6110000000000001
Jun-1950,92.2,41.1,6.6466666666666665,2.85,0
Jul-1950,95.7,45.8,8.261290322580647,0.048,0
Aug-1950,99.5,46,7.65161290322581,0.11499999999999999,0
Sep-1950,96.3,37.6,6.583333333333332,0.778,0
Oct-1950,79.8,32.2,5.835483870967742,13.278999999999998,0
Nov-1950,66.9,32.7,4.909999999999999,7.108,8.546
Dec-1950,61.6,30.8,4.532258064516129,4.628000000000001,2.569
Jan-1951,51.1,20.1,5.348387096774192,9.851,17.483999999999998
Feb-1951,58.8,26.4,4.917857142857144,5.235999999999997,3.237
Mar-1951,69.2,15.5,6.193548387096774,1.926,17.682999999999996
Apr-1951,79.6,34,6.936666666666667,1.518,0
May-1951,81.6,36.9,6.925806451612907,3.64,0
Jun-1951,96.6,42,8.273333333333332,0,0
Jul-1951,98.1,48.1,8.158064516129032,0.044,0
Aug-1951,96.1,46.7,7.658064516129032,0.14300000000000002,0
Sep-1951,93.1,45.2,6.763333333333334,0.7290000000000001,0
Oct-1951,79.8,32.2,5.090322580645161,5.816,0
Nov-1951,65.1,29.2,5.533333333333333,7.755000000000002,0
Dec-1951,48,13.4,5.154838709677418,9.734,20.055999999999997
Jan-1952,47.9,7.2,5.351612903225806,3.2880000000000003,39.046
Feb-1952,59.6,19.2,4.272413793103448,3.7950000000000004,9.110999999999999
Mar-1952,65.8,26.3,6.499999999999999,3.109000000000001,9.559
Apr-1952,75.8,29.6,6.126666666666668,1.8150000000000004,0.028
May-1952,84.9,35.4,7.061290322580645,1.141,0
Jun-1952,84.9,36.2,6.743333333333334,3.665,0
Jul-1952,99.8,45,7.496774193548387,0,0
Aug-1952,98.3,46.4,7.212903225806452,0.028,0
Sep-1952,97.9,40.7,6.749999999999999,0.567,0
Oct-1952,92.3,42.9,4.9225806451612915,0.526,0
Nov-1952,68.7,25.3,3.8800000000000003,2.6310000000000002,0.138
Dec-1952,54,25.1,5.348387096774193,8.167999999999997,18.171999999999997
Jan-1953,56.1,22.5,5.829032258064516,13.383,1.601
Feb-1953,58.8,18.4,6.042857142857144,4.21,4.942
Mar-1953,69.6,26.2,6.070967741935485,4.6209999999999996,10.454
Apr-1953,74.7,29.8,6.236666666666666,3.079,1.245
May-1953,81,32.6,6.64516129032258,5.465,1.157
Jun-1953,73.3,41.4,6.856666666666668,2.391,0
Jul-1953,97.3,48.3,7.516129032258063,0,0
Aug-1953,100.5,46.8,6.919354838709676,1.9209999999999998,0
Sep-1953,97.4,45.7,5.926666666666667,1.19,0
Oct-1953,81.4,32.6,4.606451612903226,2.396,0
Nov-1953,63,31.3,6.246666666666667,9.602000000000002,1.189
Dec-1953,57.6,27,4.425806451612903,6.430000000000001,4.220999999999999
Jan-1954,52.4,12,6.109677419354841,10.318,34.717
Feb-1954,61.6,26.9,5.0392857142857155,5.245,3.037
Mar-1954,62.7,21.7,6.329032258064518,3.5690000000000004,3.237
Apr-1954,78.6,30.9,6.556666666666668,3.3680000000000003,0
May-1954,90.5,30,6.941935483870966,0.45899999999999996,0
Jun-1954,87.2,39.5,6.483333333333334,1.9570000000000003,0
Jul-1954,93.2,47.1,8.109677419354837,0.285,0
Aug-1954,88.2,47.7,6.941935483870967,0.899,0
Sep-1954,90.1,40.5,6.183333333333331,1.3940000000000001,0
Oct-1954,77.2,28.8,5.551612903225807,2.184,0
Nov-1954,66.5,28.6,4.866666666666668,3.994,0
Dec-1954,53.6,16.4,5,6.666,3.846
Jan-1955,52.5,8.9,4.312903225806451,1.373,14.711000000000002
Feb-1955,58.5,17.4,5.167857142857144,1.275,6.98
Mar-1955,65.3,18,6.274193548387098,2.5730000000000004,3.4270000000000005
Apr-1955,69,21.6,5.726666666666668,4.5409999999999995,10.935
May-1955,80.2,34.3,7.396774193548389,0.7280000000000001,0.028
