month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,61.6,-6.9,10.945161290322584,0.063,4.282
Feb-1950,66,-7.8,10.653571428571428,0.19,1.077
Mar-1950,68.5,-10.4,15.222580645161289,0.299,3.704
Apr-1950,80.2,12.1,14.646666666666667,2.226,4.828
May-1950,84.4,22.4,12.103225806451613,3.157,4.550999999999999
Jun-1950,92,36.9,12.106666666666662,0.36600000000000005,0
Jul-1950,93.9,51.9,10.490322580645161,1.336,0
Aug-1950,93.6,48.4,10.129032258064514,0.30900000000000005,0
Sep-1950,92.8,42.8,11.783333333333331,2.864,0
Oct-1950,81.6,33.4,10.812903225806453,0.264,0
Nov-1950,69.5,-9.8,10.073333333333334,0.345,3.064
Dec-1950,59.3,5.5,10.245161290322581,0.196,0.8580000000000001
Jan-1951,61.8,-26.2,10.780645161290321,0.036000000000000004,4.404
Feb-1951,63.3,-29.7,9.778571428571427,0.303,4.274
Mar-1951,66.9,14.5,14.17741935483871,0.132,3.791
Apr-1951,73.9,21.1,14.456666666666669,1.7170000000000003,3.648
May-1951,88.7,29.6,12.629032258064518,1.8910000000000002,0.056
Jun-1951,86.4,30.8,11.46,3.616,0
Jul-1951,96,49.7,10.841935483870968,2.072,0
Aug-1951,93.4,51.3,10.441935483870965,2.436,0
Sep-1951,86.5,35.9,12.546666666666665,1.427,0.028
Oct-1951,79.6,16.9,10.574193548387095,1.8190000000000002,3.835
Nov-1951,58,-1.8,9.493333333333334,0.20800000000000002,2.8750000000000004
Dec-1951,55.8,-8,11.89354838709677,0.263,5.493
Jan-1952,54,3.1,9.454838709677418,0.1,0.223
Feb-1952,58.2,10.5,12.086206896551726,0.1,3.9870000000000005
Mar-1952,59.7,-5.4,11.880645161290325,0.23000000000000004,10.786
Apr-1952,76.8,23.7,11.513333333333334,1.92,2.704
May-1952,81.3,34.6,11.074193548387099,4.245,0.028
Jun-1952,97.5,49.6,13.649999999999999,1.2770000000000001,0
Jul-1952,97.9,47.4,11.561290322580643,1.4860000000000002,0
Aug-1952,95.5,51.4,11.425806451612905,1.6030000000000002,0
Sep-1952,90.8,44.3,10.473333333333334,0.258,0
Oct-1952,78,25.9,9.599999999999996,0.06,1.6
Nov-1952,65.9,-12.2,9.183333333333334,0.20800000000000002,6.22
Dec-1952,45.2,-0.2,8.970967741935485,0.10400000000000001,1.3840000000000003
Jan-1953,63.7,9.1,13.103225806451615,0.07600000000000001,2.183
Feb-1953,62.1,-8.4,11.778571428571428,0.23300000000000004,8.498
Mar-1953,72.2,4.5,12.52903225806452,0.493,2.677
Apr-1953,77.4,4.2,11.673333333333328,1.141,10.285000000000002
May-1953,85,22.8,13.964516129032257,1.7580000000000005,0.5830000000000001
Jun-1953,99.3,45.3,13.046666666666669,1.9010000000000002,0
Jul-1953,97.3,56.1,11.770967741935483,1.771,0
Aug-1953,92.1,55,9.309677419354838,1.9689999999999999,0
Sep-1953,91.5,44.2,11.963333333333335,0.203,0
Oct-1953,85.9,26.5,10.809677419354841,0.068,0
Nov-1953,71.4,2.2,10.79,0.25100000000000006,3.6990000000000003
Dec-1953,54.8,4.2,12.399999999999999,0.004,2.573
Jan-1954,59.7,3.5,9.829032258064517,0,1.995
Feb-1954,72.4,18.5,15.482142857142856,0.036000000000000004,0.442
Mar-1954,66.2,-1.5,14.319354838709678,0.37900000000000006,6.931
Apr-1954,78.6,6.4,14.503333333333334,1.1820000000000002,0.223
May-1954,90.5,19.2,13.45806451612903,1.133,1.661
Jun-1954,103.7,36.7,14.903333333333332,1.014,0
Jul-1954,105.1,59.2,11.509677419354839,1.192,0
Aug-1954,100.8,53,11.483870967741938,1.0750000000000002,0
Sep-1954,92.3,39.5,11.196666666666667,0.788,0
Oct-1954,81.9,21,11.787096774193545,0.551,2.6470000000000002
Nov-1954,68.6,17.4,11.239999999999998,0.389,1.876
Dec-1954,60.4,10.8,11.038709677419353,0.229,1.5499999999999998
Jan-1955,50.2,4.9,8.461290322580645,0.016,4.471
Feb-1955,54.9,-10.5,11.046428571428569,0.036000000000000004,6.433999999999999
Mar-1955,66.4,-0.1,14.448387096774194,0.07200000000000001,5.829
Apr-1955,82,14.3,14.756666666666668,0.222,5.515
May-1955,84.8,36.7,14.880645161290326,3.389,0
Jun-1955,94.4,40,12.463333333333336,1.5060000000000002,0
Jul-1955,98.4,58.3,12.648387096774194,1.315,0
Aug-1955,95.7,54.6,10.441935483870967,1.519,0
Sep-1955,95.9,35.2,12.069999999999999,1.536,0.222
Oct-1955,78.9,26.5,11.670967741935485,0.5919999999999999,0.333
Nov-1955,66.9,-9,9.853333333333333,0.21300000000000002,9.500999999999998
Dec-1955,60.8,-11.2,8.441935483870967,0.052000000000000005,2.71
Jan-1956,59,-2.8,8.470967741935484,0.024,4.975
Feb-1956,49.7,-11.1,10.141379310344828,0.028,4.178
Mar-1956,72.7,-6.1,13.40322580645161,0.048,3.868
Apr-1956,75.1,19.5,12.886666666666665,1.363,2.127
May-1956,84.8,35,12.651612903225805,1.6340000000000001,0
Jun-1956,96.6,51.5,13.756666666666668,0.327,0
Jul-1956,95.5,54.8,11.396774193548387,3.314,0
Aug-1956,91,46.7,9.283870967741937,2.16,0
Sep-1956,91.5,44.2,10.376666666666667,0.07200000000000001,0
Oct-1956,84.5,33.6,11.425806451612907,0.136,0
Nov-1956,63.5,7.5,11.446666666666667,0.176,10.069
Dec-1956,60.4,11.2,9.961290322580645,0.108,2.3240000000000003
Jan-1957,52,-13,9.216129032258063,0.004,6.332
Feb-1957,61.7,5.2,9.264285714285716,0.444,0.665
Mar-1957,60.2,16.1,13.593548387096773,0.23900000000000002,3.4010000000000002
Apr-1957,70,1.9,12.040000000000001,1.409,15.341
May-1957,76,19.5,11.912903225806453,5.825999999999997,4.436
Jun-1957,93.5,42.5,9.580000000000004,2.007,0
Jul-1957,94.6,57.5,9.158064516129032,1.81,0
Aug-1957,93,54.3,10.506451612903225,0.902,0
Sep-1957,87.6,37.4,9.566666666666666,0.913,0
Oct-1957,84.1,22.7,10.035483870967742,1.9460000000000004,0.194
Nov-1957,59.6,7.4,11.54,0.3980000000000001,3.2180000000000004
Dec-1957,63.2,17.2,14.022580645161291,0.08400000000000002,0.055
Jan-1958,54.2,12.8,10.261290322580646,0.008,2.106
Feb-1958,66.9,14.8,9.89642857142857,0.16699999999999998,5.531000000000001
Mar-1958,59.7,-0.3,8.935483870967744,0.11599999999999999,11.972
Apr-1958,76.2,24.3,14.423333333333334,1.4680000000000002,5.247000000000001
May-1958,87.9,34.3,10.032258064516132,3.242000000000001,0
Jun-1958,95.6,44.7,11.156666666666666,1.2730000000000001,0
Jul-1958,95.7,51.2,11.429032258064515,1.7680000000000002,0
