month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,62.5,5.8,13.067741935483873,4.382000000000001,10.023
Feb-1950,42.3,-7.8,12.007142857142854,1.1980000000000002,23.760999999999996
Mar-1950,50.1,-3,12.196774193548388,1.3820000000000001,22.080000000000002
Apr-1950,73.2,22,10.323333333333334,3.6740000000000004,3.382
May-1950,76.5,32.4,9.338709677419354,4.745,0
Jun-1950,87.1,44.1,9.313333333333334,3.6550000000000007,0
Jul-1950,82.7,51.9,8.2,5.045,0
Aug-1950,84.4,51.4,7.651612903225806,3.528,0
Sep-1950,78.9,38.5,7.78,3.0980000000000008,0
Oct-1950,79.8,29.3,10.012903225806449,2.734,0
Nov-1950,75.8,22,11.659999999999998,4.85,9.398
Dec-1950,51.4,7.5,9.829032258064517,1.1300000000000001,20.294
Jan-1951,51.1,-1.2,10.677419354838712,1.9420000000000002,15.746
Feb-1951,43.2,-8.8,10.521428571428572,2.6619999999999995,10.387000000000002
Mar-1951,58.9,16.7,11.545161290322584,2.874,9.761
Apr-1951,70,30.5,11.16333333333333,3.584000000000001,0.5840000000000001
May-1951,81.6,35.9,9.296774193548387,2.285,0
Jun-1951,82.6,44.8,8.973333333333334,4.871,0
Jul-1951,85.2,54.2,8.083870967741936,4.471,0
Aug-1951,90.4,48.4,7.703225806451614,1.7700000000000002,0
Sep-1951,82.5,40.1,9.873333333333335,3.7740000000000005,0
Oct-1951,83.8,34.7,10.119354838709675,1.691,0
Nov-1951,59.1,12.7,11.890000000000004,2.5930000000000004,15.971
Dec-1951,58,2.3,12.258064516129032,2.8160000000000003,16.408
Jan-1952,47.4,0.9,11.79032258064516,1.861,9.791
Feb-1952,47.1,3.7,10.74137931034483,1.104,12.270000000000003
Mar-1952,62.7,10.2,11.025806451612905,2.718,11.929
Apr-1952,78.2,26.3,9.9,3.79,0.252
May-1952,76.2,34.3,10.458064516129033,6.898999999999999,0
Jun-1952,94.6,49.2,9.696666666666665,1.437,0
Jul-1952,93.3,55.2,8.52258064516129,3.536000000000001,0
Aug-1952,87.5,52,8.383870967741936,2.4540000000000006,0
Sep-1952,89.5,44.4,8.256666666666668,2.8330000000000006,0
Oct-1952,73.8,28.5,10.093548387096773,2.5460000000000003,2.181
Nov-1952,65.9,24,11.043333333333331,3.8209999999999997,1.8050000000000002
Dec-1952,52.5,9.1,9.651612903225804,2.2700000000000005,11.558999999999996
Jan-1953,48.8,9.6,11.261290322580644,1.73,12.488000000000001
Feb-1953,55.3,5.8,11.550000000000006,0.9070000000000003,8.987
Mar-1953,60.8,7.5,11.645161290322582,4.217999999999999,2.857
Apr-1953,74,28.5,10.936666666666667,4.604,1.8280000000000003
May-1953,83.4,35.6,8.66451612903226,5.606,0
Jun-1953,91.3,44.9,8.766666666666667,2.5810000000000004,0
Jul-1953,91.5,49.8,7.751612903225808,4.393999999999999,0
Aug-1953,91.8,50.8,7.5290322580645155,2.3259999999999996,0
Sep-1953,94.7,40.1,10.16333333333333,3.0340000000000003,0
Oct-1953,76,34.6,7.896774193548388,2.1100000000000003,0
Nov-1953,64.1,23.3,8.993333333333336,1.115,7.669999999999999
Dec-1953,53.3,11.5,11.700000000000001,1.4930000000000003,7.773999999999999
Jan-1954,50,-5.1,11.45483870967742,1.131,10.904000000000002
Feb-1954,59.1,-4.3,11.103571428571428,2.1729999999999996,7.069
Mar-1954,52.7,15.6,12.283870967741937,3.494,10.091999999999999
Apr-1954,79.7,11.4,11.073333333333334,4.565,1.961
May-1954,79.1,34,8.832258064516129,4.468000000000001,0
Jun-1954,89.5,46.8,9.180000000000001,1.8510000000000002,0
Jul-1954,93.3,51,8.72903225806452,2.467,0
Aug-1954,87.2,48.7,8.37741935483871,5.422,0
