month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,77,32.4,11.845161290322581,4.484,0
Feb-1950,75.2,31.7,10.389285714285716,7.265000000000001,0
Mar-1950,80,31.7,11.774193548387094,7.598999999999998,0.248
Apr-1950,80.3,36.5,10.423333333333336,3.711,0
May-1950,87.5,59.2,8.029032258064516,4.4,0
Jun-1950,92.5,57.3,8.26,4.389,0
Jul-1950,92.2,62.8,7.274193548387098,5.377,0
Aug-1950,92.4,65.4,6.238709677419355,3.07,0
Sep-1950,90.1,57.8,7.683333333333335,1.774,0
Oct-1950,86.8,49.9,7.525806451612903,1.141,0
Nov-1950,83.1,23.2,10.466666666666665,2.275,0.084
Dec-1950,74.9,22.4,8.380645161290323,3.6510000000000002,0.028
Jan-1951,71.5,23.1,11.609677419354838,9.29,0.111
Feb-1951,76.3,12.6,9.957142857142857,2.6180000000000003,0.194
Mar-1951,78.9,31.7,11.648387096774192,7.728,0
Apr-1951,82.8,38.5,10.933333333333335,3.5600000000000005,0
May-1951,96.5,51.6,8.154838709677419,1.4829999999999999,0
Jun-1951,97.9,65,7.8533333333333335,3.3020000000000005,0
Jul-1951,98.9,70.9,6.499999999999999,3.5050000000000003,0
Aug-1951,103.8,71.3,7.325806451612904,0.373,0
Sep-1951,100.7,58.5,8.000000000000002,3.345,0
Oct-1951,90.9,46.2,7.887096774193547,1.8120000000000003,0
Nov-1951,78.4,24,9.779999999999998,2.7830000000000004,0
Dec-1951,78.5,22.8,12.490322580645158,5.602,0
Jan-1952,76.3,27.3,10.8,2.732,0
Feb-1952,76.3,32.4,10.56551724137931,4.6259999999999994,0.194
Mar-1952,80.4,33.1,10.370967741935486,4.041,0
Apr-1952,83.8,38,10.173333333333334,3.5690000000000004,0
May-1952,88.1,48.1,8.435483870967742,3.4380000000000006,0
Jun-1952,100.5,62.5,6.5666666666666655,0.195,0
Jul-1952,100.4,70.1,7.387096774193548,1.5210000000000001,0
Aug-1952,100.1,65.6,7.090322580645162,1.1509999999999998,0
Sep-1952,95.3,57.5,7.940000000000001,0.864,0
Oct-1952,90.8,38.9,8.790322580645162,0.07200000000000001,0
Nov-1952,80.8,31.2,9.44,2.475,0
Dec-1952,71.9,25.1,8.825806451612904,4.428,0
Jan-1953,70.9,29.8,12.329032258064515,5.486999999999999,0
Feb-1953,71.5,28.6,9.542857142857143,7.235999999999999,0
Mar-1953,80.1,38.5,9.825806451612905,6.36,0
Apr-1953,82.7,38.1,11.389999999999997,7.287,0
May-1953,91.8,50.4,9.006451612903225,4.265999999999999,0
