month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,74.6,34.4,10.170967741935486,1.8170000000000002,0
Feb-1950,74.9,28.1,10.525,1.1110000000000002,0
Mar-1950,75.7,27,12.058064516129031,3.9430000000000005,0
Apr-1950,83.6,35.4,10.576666666666664,1.794,0
May-1950,88.2,50.7,8.654838709677419,3.5970000000000004,0
Jun-1950,96.1,59.3,8.426666666666668,3.2960000000000003,0
Jul-1950,91.1,65.4,8.461290322580643,12.847,0
Aug-1950,91.4,62.6,6.590322580645162,2.8940000000000006,0
Sep-1950,90.6,50.5,8.553333333333333,2.34,0
Oct-1950,82.6,50.5,8.564516129032258,2.022,0
Nov-1950,83.2,23.7,9.483333333333336,1.77,0.166
Dec-1950,70.2,23.6,8.925806451612901,2.454,0.028
Jan-1951,70.4,25.3,10.493548387096775,0.883,0
Feb-1951,74.8,23,9.842857142857143,2.0850000000000004,1.162
Mar-1951,73.2,34.4,10.461290322580647,3.363,0
Apr-1951,85.1,43.2,10.846666666666666,3.87,0
May-1951,89.3,52.8,9.406451612903224,1.999,0
Jun-1951,93.7,61.5,8.343333333333332,5.1370000000000005,0
Jul-1951,95.7,61.9,6.738709677419356,8.205,0
Aug-1951,93.8,61.5,7.354838709677419,6.522999999999999,0
Sep-1951,86.7,55,7.123333333333333,5.083,0
Oct-1951,88.6,47.2,10.729032258064516,2.861,0
Nov-1951,78.1,27.5,9.843333333333334,2.5210000000000004,0
Dec-1951,75,23.6,10.406451612903227,3.2150000000000003,0
Jan-1952,73.9,21.6,10.687096774193549,1.9770000000000003,0
Feb-1952,69.4,31,11.168965517241382,5.3950000000000005,0
Mar-1952,76.3,31.7,10.870967741935486,4.359,0.166
Apr-1952,84.8,43.2,9.74666666666667,2.862,0
May-1952,90,52.5,9.225806451612904,4.431,0
Jun-1952,101.9,64.6,7.8533333333333335,2.8529999999999998,0
Jul-1952,100.9,68.1,7.358064516129031,2.721,0
Aug-1952,93.1,61.9,8.990322580645163,7.489999999999999,0
Sep-1952,91.7,56.9,9.013333333333334,5.182999999999999,0
Oct-1952,84.1,37.4,8.135483870967741,2.2760000000000002,0
Nov-1952,75.1,36,8.74,5.357,0
Dec-1952,69.5,23.8,8.2,2.942,0
Jan-1953,69,29.7,10.454838709677418,4.383,0
Feb-1953,73.1,32.5,10.635714285714283,4.3999999999999995,0
Mar-1953,75.5,32.9,10.967741935483874,3.515,0
Apr-1953,79.6,39.4,11.550000000000002,3.457,0
May-1953,97.4,57.2,9.25806451612903,1.495,0
Jun-1953,94.6,58.9,8.226666666666668,4.349,0
Jul-1953,93.9,66,8.29032258064516,4.715,0
Aug-1953,91,62.4,8.14516129032258,6.397999999999998,0
Sep-1953,87.9,58,8.82,4.9879999999999995,0
