month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,70,24.5,9.12258064516129,5.7799999999999985,0
Feb-1950,64.6,20.1,8.660714285714286,4.327000000000001,0.42000000000000004
Mar-1950,74,16.9,9.938709677419357,4.6339999999999995,1
Apr-1950,78.5,24.4,8.726666666666665,2.2680000000000002,0.224
May-1950,83.6,48.1,6.3677419354838705,5.419,0
Jun-1950,85.2,45.6,6.77,4.879,0
Jul-1950,81.9,54.9,6.0935483870967735,6.118,0
Aug-1950,83.4,51.4,5.145161290322581,2.41,0
Sep-1950,79.6,41.2,6.443333333333333,2.596,0
Oct-1950,77.5,40.4,6.448387096774192,1.9460000000000004,0
Nov-1950,73.4,1.9,8.116666666666667,1.8340000000000005,7.905
Dec-1950,57.9,11.4,7.141935483870967,3.3930000000000002,3.625
Jan-1951,62.6,18.3,9.238709677419356,3.9180000000000006,1.468
Feb-1951,65.5,2.3,7.9750000000000005,3.2760000000000002,1.991
Mar-1951,69.6,22.6,9.077419354838707,5.064000000000001,4.319999999999999
Apr-1951,76.2,27.8,9.329999999999997,4.8839999999999995,0.056
May-1951,79.9,40.6,7.29032258064516,3.895000000000001,0
Jun-1951,88.2,51.5,5.969999999999999,4.927000000000001,0
Jul-1951,87.8,52.6,4.796774193548386,2.7799999999999994,0
Aug-1951,87.3,56.5,5.554838709677419,1.3050000000000002,0
Sep-1951,89.8,42.4,6.146666666666665,2.8260000000000005,0
Oct-1951,84.5,38.1,6.403225806451612,2.7920000000000003,0
Nov-1951,65.8,17.7,7.943333333333332,3.6439999999999997,1.576
Dec-1951,69.8,6.3,9.196774193548388,6.210999999999999,1.443
Jan-1952,64.4,11.8,8.970967741935487,6.317,2.0740000000000003
Feb-1952,60.5,25.5,8.231034482758618,2.9490000000000007,0.554
Mar-1952,74,24.3,10.49032258064516,4.854,0.9380000000000001
Apr-1952,77.6,31.3,8.696666666666665,4.787,0
May-1952,79.3,39.1,7.525806451612904,5.313,0
Jun-1952,94.2,54,5.85,1.5019999999999998,0
Jul-1952,99.7,53.2,5.570967741935484,1.076,0
Aug-1952,87.5,52.4,5.474193548387097,4.059,0
Sep-1952,82.9,46,5.543333333333334,2.124,0
Oct-1952,79.7,26.7,6.483870967741934,0.27899999999999997,0
Nov-1952,68.6,18,7.123333333333334,3.52,10.83
Dec-1952,63.1,21,6.793548387096774,2.8970000000000002,1.0230000000000001
Jan-1953,58.2,22.3,9.170967741935485,5.205,3.0740000000000003
Feb-1953,59,22.5,8.071428571428573,4.500999999999999,5.542000000000001
Mar-1953,71.8,25.9,9.69032258064516,3.706000000000001,0.056
Apr-1953,79.1,29.1,9.483333333333333,3.528,0.112
May-1953,83.8,43.6,7.4548387096774205,5.02,0
Jun-1953,86.5,51.4,5.503333333333333,4.258,0
Jul-1953,88.3,54.1,5.054838709677417,3.7840000000000007,0
Aug-1953,93.6,56.8,4.661290322580646,1.139,0
Sep-1953,96,46.6,6.736666666666666,1.6500000000000004,0
Oct-1953,86.1,35.4,6.087096774193549,0.69,0
Nov-1953,69.3,23.8,6.5600000000000005,1.039,0.7240000000000001
Dec-1953,63.5,9.9,8.312903225806453,4.558999999999999,1.081
Jan-1954,56.6,9.2,7.516129032258065,7.523999999999999,3.0940000000000003
Feb-1954,66.6,18.7,9.321428571428573,2.619,4.141
Mar-1954,78.3,7.3,8.877419354838707,3.9659999999999997,2.344
Apr-1954,78.4,30.3,7.8533333333333335,2.1630000000000003,0
May-1954,81.5,33.9,7.190322580645161,4.9289999999999985,0
Jun-1954,91,45.1,5.406666666666666,1.2700000000000002,0
Jul-1954,95,58.6,6.348387096774195,4.401,0
Aug-1954,90.5,51.4,6.119354838709677,2.6490000000000005,0
Sep-1954,94.2,46.7,5.843333333333333,0.9109999999999999,0
Oct-1954,84.8,25,7.083870967741936,1.7599999999999998,0.028
Nov-1954,66.6,16.4,6.416666666666667,2.527,3.729
Dec-1954,62.9,15.2,8.225806451612902,4.381,4.2379999999999995
Jan-1955,59.7,1.1,8.174193548387096,1.8710000000000004,7.594
Feb-1955,64.8,5.4,8.10357142857143,4.628,2.2980000000000005
Mar-1955,70.9,13.4,9.622580645161293,7.232000000000001,0.084
Apr-1955,79.1,30.3,8.296666666666665,4.305,0
May-1955,84.4,43.3,7.006451612903225,2.8329999999999997,0
Jun-1955,83.2,45.7,6.506666666666669,4.083,0
Jul-1955,88.3,60,5.261290322580645,2.8260000000000014,0
Aug-1955,91.5,60.2,5.56774193548387,1.7420000000000002,0
Sep-1955,89.8,54.3,6.4799999999999995,1.912,0
Oct-1955,79,32.5,7.006451612903227,2.4200000000000004,0
Nov-1955,71.7,13.8,7.34,2.0980000000000003,0.827
Dec-1955,59.6,9.8,6.4870967741935495,2.266,3.2279999999999998
Jan-1956,53.5,7,7.032258064516127,1.4979999999999998,8.544
Feb-1956,63.4,23.6,9.696551724137931,6.620999999999999,0.584
Mar-1956,75.3,23,9.851612903225808,4.942,0.83
Apr-1956,78.1,27.1,10.066666666666666,6.262999999999998,0
May-1956,83.2,42.3,8.03225806451613,3.367,0
Jun-1956,85.9,41.7,5.286666666666667,2.8220000000000005,0
Jul-1956,87.3,54.5,6.038709677419355,4.928999999999999,0
Aug-1956,87.4,51.2,5.94516129032258,2.192,0
Sep-1956,83.7,41.4,6.553333333333333,3.494,0
Oct-1956,77.7,41.4,6.767741935483871,2.4930000000000003,0
Nov-1956,69.3,23.1,7.246666666666667,1.649,2.188
Dec-1956,66.4,25.4,8.003225806451615,5.194,1.135
Jan-1957,59.5,1.1,7.764516129032258,7.273,1.966
Feb-1957,66.9,19.7,7.814285714285715,6.7799999999999985,0.635
Mar-1957,67.5,26,8.180645161290322,2.6790000000000007,1.9049999999999998
Apr-1957,80.9,27.6,8.086666666666668,5.366999999999997,0.305
May-1957,84.7,38.2,6.858064516129032,2.365,0
Jun-1957,88.8,56.4,6.149999999999998,4.999999999999999,0
Jul-1957,88.1,56.1,5.096774193548388,1.691,0
Aug-1957,88.7,53.3,5.216129032258064,2.377,0
Sep-1957,88.4,46.9,6.33,4.899000000000001,0
Oct-1957,72,28.9,6.6967741935483875,2.5310000000000006,0.112
Nov-1957,71.4,23.6,8.356666666666667,4.944999999999999,0.637
Dec-1957,60.1,4.6,8.512903225806449,4.4590000000000005,1.9089999999999998
Jan-1958,54.8,10.5,8.109677419354838,2.4580000000000006,2.999
Feb-1958,60.4,-6.6,9.200000000000001,2.631,5.369000000000001
Mar-1958,57.3,25.6,7.777419354838709,3.8860000000000006,0.7529999999999999
Apr-1958,75.1,30.7,9.163333333333332,5.5969999999999995,0
May-1958,80.9,39.1,6.2451612903225815,5.637999999999997,0
Jun-1958,88.4,53.1,7.066666666666667,2.282,0
Jul-1958,86.2,57.8,5.8903225806451625,6.176,0
Aug-1958,84.6,55,5.229032258064515,3.9290000000000003,0
Sep-1958,83.5,46.7,5.959999999999998,2.233,0
Oct-1958,73.6,32.5,5.732258064516128,1.2950000000000002,0
Nov-1958,73.4,19.4,7.1499999999999995,3.1710000000000003,0.636
Dec-1958,53.8,18.5,6.84516129032258,2.8760000000000003,1.297
Jan-1959,60,4.3,8.351612903225806,3.575,3.197
Feb-1959,67.9,16,8.45,3.6400000000000006,0.249
Mar-1959,70.7,23.2,9.764516129032257,3.589,0.9980000000000001
Apr-1959,76.6,30.3,8.523333333333333,5.840999999999999,0.112
May-1959,81.1,39,6.396774193548389,3.5130000000000003,0
Jun-1959,88.1,49.3,5.986666666666666,2.177,0
Jul-1959,90.6,59.1,5.038709677419354,2.209,0
Aug-1959,88.6,59.4,4.322580645161288,2.952,0
Sep-1959,84,49.6,6.249999999999999,2.308,0
Oct-1959,81.5,35.2,6.2129032258064525,4.162,0
Nov-1959,68.6,17.5,7.96,4.105,0.974
Dec-1959,62,16.3,7.4387096774193555,3.1820000000000004,4.963000000000001
Jan-1960,63.5,12.8,7.916129032258064,3.099,5.907
Feb-1960,58.3,-1.9,9.100000000000001,2.9370000000000003,12.113999999999999
Mar-1960,68.1,-7.5,9.103225806451615,2.1140000000000003,17.457000000000004
Apr-1960,79.5,27.4,8.37,2.7110000000000003,0.028
May-1960,83.1,37,9.070967741935483,2.8489999999999998,0
Jun-1960,85.9,50.3,6.593333333333334,3.3990000000000005,0
Jul-1960,85.3,58.3,5.322580645161289,3.435000000000001,0
Aug-1960,86.2,58.2,4.912903225806451,5.9319999999999995,0
Sep-1960,86.2,50.2,5.566666666666667,1.9430000000000005,0
Oct-1960,77.9,31,5.845161290322581,2.7960000000000003,0
Nov-1960,67.4,25.2,6.833333333333331,1.8990000000000005,0.112
Dec-1960,57,7.3,7.532258064516129,3.115,1.944
Jan-1961,53,-4.9,8.048387096774192,2.441,6.212
Feb-1961,66.5,9.8,8.642857142857142,6.2059999999999995,4.9719999999999995
Mar-1961,71.4,25.6,9.590322580645159,4.047,0.749
Apr-1961,73.9,29.1,11.380000000000003,4.939,0.7190000000000001
May-1961,78.7,35.6,7.674193548387096,2.5890000000000004,0
Jun-1961,84.3,49.1,5.939999999999999,5.433,0
Jul-1961,83.2,50,6.016129032258067,2.9100000000000006,0
Aug-1961,85.1,55.8,4.725806451612903,2.669,0
Sep-1961,85.7,44.1,5.353333333333334,0.9830000000000001,0
Oct-1961,77.5,32.9,6.283870967741936,3.547,0
Nov-1961,73.8,23.1,7.129999999999999,3.1830000000000003,0.056
Dec-1961,62.3,9,8.129032258064516,6.302,3.59
Jan-1962,64.4,-6.4,8.451612903225806,4.858,5.691000000000001
Feb-1962,66.5,12.3,8.771428571428572,4.716,0.5
