month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,61.1,7.9,9.183870967741939,3.590000000000001,6.012
Feb-1950,42.7,-10.7,9.210714285714285,1.3889999999999998,28.074000000000005
Mar-1950,58.6,-8.9,10.45806451612903,2.503,13.353
Apr-1950,71.1,16.9,8.996666666666666,2.7030000000000003,2.019
May-1950,79.1,32.2,7.8741935483870975,4.457000000000001,0
Jun-1950,87.1,44.5,8.216666666666667,2.1300000000000003,0
Jul-1950,84.7,52,7.151612903225805,3.1239999999999997,0
Aug-1950,84.1,50.4,6.932258064516131,2.97,0
Sep-1950,79.5,39.1,6.6433333333333335,1.803,0
Oct-1950,81.1,29.4,7.541935483870968,2.8410000000000006,0
Nov-1950,76.4,25.5,9.379999999999999,5.654999999999999,2.244
Dec-1950,52,-3.5,8.112903225806454,4.412999999999999,11.175
Jan-1951,52.7,-1.1,9.074193548387095,2.55,13.594999999999999
Feb-1951,54.1,-11.2,8.578571428571427,3.279,6.046
Mar-1951,59,12.3,10.161290322580646,5.363,12.412
Apr-1951,71.1,31.4,9.716666666666667,3.3730000000000007,0.139
May-1951,83.3,36.4,8.135483870967743,4.238999999999999,0
Jun-1951,82,44.1,7.006666666666667,4.146,0
Jul-1951,86.2,54.1,7.041935483870967,3.786,0
Aug-1951,87,49.5,6.264516129032257,4.198999999999999,0
Sep-1951,80.1,37.1,7.259999999999999,3.4810000000000008,0
Oct-1951,81.5,35.5,8.006451612903227,4.012,0
Nov-1951,60.5,2.7,8.516666666666666,7.079999999999999,5.624
Dec-1951,57.1,-5.1,9.48709677419355,3.6149999999999998,15.855
Jan-1952,44.5,-10.4,8.990322580645161,3.6609999999999996,12.874
Feb-1952,48,5.5,9.36551724137931,1.059,11.418
Mar-1952,55.5,10.5,8.570967741935483,3.193000000000001,11.916
Apr-1952,78,27.5,8.893333333333334,6.741000000000001,0
May-1952,76.7,35.5,9.13225806451613,7.462999999999999,0
Jun-1952,94,47.8,8.016666666666667,4.256,0
Jul-1952,90.9,53.7,7.129032258064515,4.273,0
Aug-1952,83.9,50.1,6.77741935483871,5.008999999999998,0
Sep-1952,86.8,43.1,6.783333333333336,4.6370000000000005,0
Oct-1952,70.7,28,8.964516129032258,1.232,0.25
Nov-1952,65.7,24.2,8.013333333333334,4.099999999999999,0.525
Dec-1952,53,0.8,8.251612903225803,5.174999999999999,10.536
Jan-1953,49.3,-0.7,8.52258064516129,3.5090000000000003,16.412
Feb-1953,57.9,2.4,9.796428571428573,1.867,7.506000000000001
Mar-1953,64,9.4,9.180645161290323,6.512999999999999,2.7100000000000004
Apr-1953,71.8,29.6,10.036666666666665,6.652999999999999,0.7220000000000001
May-1953,82.7,39,7.093548387096774,7.715,0
Jun-1953,91.6,44.8,7.886666666666667,1.242,0
Jul-1953,97.4,51.3,7.296774193548388,4.095000000000001,0
Aug-1953,94.9,51.8,6.348387096774193,1.5450000000000002,0
Sep-1953,97.6,42.1,8.646666666666667,2.699,0
Oct-1953,78.6,35.4,7.093548387096774,4.334,0
Nov-1953,66.3,19.4,7.876666666666668,2.541,6.893
Dec-1953,54.5,10.1,10.187096774193547,4.779999999999999,2.732
Jan-1954,47.4,-12.2,8.551612903225807,1.0979999999999999,12.58
Feb-1954,65.2,-6.8,9.067857142857145,2.273,5.387999999999999
Mar-1954,58.7,16.8,10.938709677419356,3.9370000000000007,2.485
Apr-1954,78,15.5,9.543333333333333,4.677,0.25
May-1954,76.4,35.8,7.9322580645161285,4.907,0
Jun-1954,89.6,47.4,7.923333333333333,2.031,0
Jul-1954,94.9,50.8,7.038709677419355,1.9489999999999998,0
Aug-1954,88.7,52.4,7.635483870967743,5.802,0
Sep-1954,83.9,42.4,8.006666666666668,4.92,0
Oct-1954,81.3,31.1,8.403225806451612,2.427,0
Nov-1954,60.2,24.7,7.849999999999999,7.127999999999999,3.6220000000000003
Dec-1954,49.2,8.2,9.267741935483869,3.9160000000000004,3.3450000000000006
Jan-1955,42.3,-3,9.429032258064517,0.315,2.353
Feb-1955,53.8,-10.4,8.04642857142857,2.576,10.894000000000002
Mar-1955,61.6,4.9,10.764516129032257,3.9639999999999995,14.868
Apr-1955,73.6,27.7,9.12,3.9740000000000006,2.2359999999999998
May-1955,83.6,35,8.37741935483871,1.29,0
Jun-1955,84,48.4,7.126666666666666,4.806,0
Jul-1955,96.9,56.7,6.309677419354839,2.16,0
Aug-1955,95.1,51,7.806451612903226,13.882999999999997,0
Sep-1955,82.6,44.2,6.936666666666666,2.883,0
Oct-1955,76,33.9,8.870967741935486,13.152000000000001,0.056
Nov-1955,61.5,13,9.849999999999998,3.5440000000000005,2.291
Dec-1955,46.2,-5.4,8.996774193548388,0.487,4.287
Jan-1956,41.9,2.5,9.551612903225806,1.209,4.8309999999999995
