month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,72,19.6,11.241935483870968,2.5370000000000004,0.388
Feb-1950,50.3,9.1,11.89642857142857,2.6430000000000007,3.865
Mar-1950,69.5,12.1,14.087096774193547,3.906,1.326
Apr-1950,75.2,25.9,11.453333333333331,2.3090000000000006,0
May-1950,83.5,41.2,9.62258064516129,4.997000000000001,0
Jun-1950,89.6,50.2,9.376666666666665,3.583,0
Jul-1950,88.7,60,8.500000000000002,4.384999999999999,0
Aug-1950,89.1,57.2,7.84516129032258,1.9740000000000002,0
Sep-1950,82.9,42.3,7.863333333333333,4.509999999999999,0
Oct-1950,82.1,34.6,8.98709677419355,1.454,0
Nov-1950,78.7,22.1,11.82333333333333,5.503,0.919
Dec-1950,58.5,3.5,10.990322580645161,3.331,6.456999999999998
Jan-1951,61.3,16.6,11.945161290322583,2.8600000000000003,4.112
Feb-1951,62.7,9.4,10.632142857142856,2.672,2.896
Mar-1951,63.8,26.3,12.558064516129031,3.296,1.383
Apr-1951,80.2,32.7,11.769999999999994,2.665,0
May-1951,86.8,42,9.816129032258065,3.491,0
Jun-1951,87.4,48.6,8.913333333333332,6.042,0
Jul-1951,91.1,58.7,7.922580645161291,3.7390000000000003,0
Aug-1951,89.6,54.1,7.2290322580645165,2.1010000000000004,0
Sep-1951,85,42.7,9.139999999999997,2.3300000000000005,0
Oct-1951,86.4,39.6,9.383870967741938,3.085,0
Nov-1951,65.2,23.5,11.296666666666665,5.991999999999999,1.13
Dec-1951,66.1,-2,11.645161290322584,2.6970000000000005,8.850999999999999
Jan-1952,63.4,11.9,11.861290322580645,3.2680000000000002,8.295
Feb-1952,51.5,20.5,11.844827586206899,1.5150000000000001,1.737
Mar-1952,71.1,16.8,11.306451612903228,4.281999999999999,6.261999999999999
Apr-1952,82,34.4,10.826666666666666,7.5569999999999995,0
May-1952,81.9,42.2,10.722580645161294,6.036999999999999,0
Jun-1952,95.9,53.7,9.573333333333332,3.9330000000000003,0
Jul-1952,94.9,56.4,7.958064516129031,3.723,0
Aug-1952,85.8,53,8.051612903225804,6.365999999999999,0
Sep-1952,91.3,49,7.5166666666666675,2.6950000000000003,0
Oct-1952,78.7,31.1,10.4,0.526,0
Nov-1952,67.8,25.6,10.51333333333333,6.442,0.8260000000000001
Dec-1952,56,14.8,10,3.562,7.498
Jan-1953,58.4,24.1,11.209677419354838,3.6690000000000005,2.592
Feb-1953,62,20.2,12.064285714285713,2.708,0.496
Mar-1953,64.6,17.9,12.138709677419357,5.121,2.126
Apr-1953,78.7,32.4,12.069999999999999,4.872,0
May-1953,86,45.9,9.40967741935484,5.0920000000000005,0
Jun-1953,92.7,49.7,8.446666666666667,2.871,0
Jul-1953,98.6,57.6,7.970967741935484,2.079,0
Aug-1953,97.9,57.1,7.793548387096773,1.3840000000000003,0
Sep-1953,100,45.9,9.433333333333332,2.318,0
Oct-1953,79,38.3,8.33548387096774,2.189,0
Nov-1953,70.7,20.4,8.756666666666666,1.3320000000000003,12.241
Dec-1953,61,17.3,11.838709677419356,4.435,0.056
Jan-1954,61.1,-8.8,11.23225806451613,0.7670000000000001,9.817999999999998
Feb-1954,67.9,14.4,11.632142857142858,1.407,1.077
Mar-1954,69.4,22.5,12.558064516129033,3.075,0.11
Apr-1954,77.5,25.5,10.983333333333333,3.943,0.469
May-1954,82.3,39.7,9.806451612903226,3.7890000000000006,0
Jun-1954,93.2,52.6,10.03,0.42900000000000005,0
Jul-1954,100.2,57.8,8.33548387096774,1.972,0
Aug-1954,89.1,56,8.906451612903227,6.661999999999999,0
Sep-1954,92,47.7,9.060000000000002,2.192,0
Oct-1954,84.4,34.6,9.996774193548388,2.5060000000000007,0
Nov-1954,63.2,27.4,9.156666666666666,3.1550000000000002,0
Dec-1954,56.4,12.8,11.53548387096774,3.622,0.9430000000000001
Jan-1955,52.2,11.4,11.480645161290324,0.19600000000000004,1.081
Feb-1955,64.4,-4.3,10.457142857142854,2.899,5.847000000000001
Mar-1955,68.6,21.3,13.035483870967743,4.077999999999999,1.766
Apr-1955,78.4,31.2,10.4,4.101999999999999,0
May-1955,87,44.6,10.132258064516128,1.179,0
Jun-1955,87.3,50.3,9.063333333333333,4.877,0
Jul-1955,99,63,7.55483870967742,0.897,0
Aug-1955,97.5,59.2,9.638709677419353,9.362999999999998,0
Sep-1955,83.5,48.1,8.556666666666667,1.8519999999999999,0
Oct-1955,78.9,38.3,9.738709677419356,3.8029999999999995,0
Nov-1955,68.3,16.4,11.726666666666667,1.8639999999999999,3.033
Dec-1955,56.4,11.2,10.361290322580643,0.32099999999999995,2.125
Jan-1956,54.3,15.4,11.82258064516129,1.63,3.698
Feb-1956,60.9,16.1,11.848275862068967,3.5449999999999995,4.936
Mar-1956,64.2,8.1,11.812903225806451,2.911,13.038
Apr-1956,80.8,28.5,12.193333333333332,3.5400000000000005,3.007
May-1956,86.6,37.9,11.458064516129031,3.369,0
Jun-1956,93.3,53.4,8.316666666666668,3.482,0
Jul-1956,94.9,57.1,8.37741935483871,5.688,0
Aug-1956,90.8,54.4,7.64516129032258,3.8710000000000004,0
Sep-1956,87.2,40.3,9.093333333333332,3.6770000000000005,0
Oct-1956,75.1,36.8,8.754838709677419,3.064,0
Nov-1956,68,20.5,10.580000000000002,4.039000000000001,0.167
Dec-1956,67.8,20.4,10.238709677419353,5.015999999999999,1.048
Jan-1957,58.8,-5.8,10.448387096774193,0.891,6.182
Feb-1957,57.2,15.2,9.539285714285715,1.649,8.440999999999999
Mar-1957,69.9,23.8,9.790322580645162,2.241,2.457
Apr-1957,86.3,29.4,10.873333333333335,4.169999999999999,0.8310000000000001
May-1957,85.2,36.1,9.825806451612904,1.9320000000000002,0
Jun-1957,95.3,45.9,9.376666666666667,3.2920000000000003,0
Jul-1957,97,57.4,8.619354838709679,2.005,0
Aug-1957,93.3,55.6,8.306451612903228,1.7200000000000002,0
Sep-1957,87.9,41.2,8.483333333333334,3.233,0
Oct-1957,72.7,31.6,9.719354838709679,2.669,0
Nov-1957,64.5,27.2,11.553333333333335,4.172000000000001,0.664
Dec-1957,59.6,14.9,11.758064516129032,4.600999999999999,7.859999999999999
Jan-1958,48.7,13.3,12.193548387096776,3.563,2.547
Feb-1958,52.7,-1.6,13.367857142857144,2.12,15.167000000000002
Mar-1958,52.7,21.9,11.216129032258063,2.1020000000000003,29.163
Apr-1958,79.1,27.8,11.360000000000001,4.17,0.083
May-1958,83.7,41.3,10.548387096774196,4.135000000000001,0
Jun-1958,87.8,48.3,9.959999999999999,3.9050000000000002,0
Jul-1958,91.5,61.2,8.43548387096774,4.658999999999999,0
Aug-1958,89.1,56.6,7.816129032258064,3.688,0
Sep-1958,86.7,46.1,9.363333333333333,2.7079999999999997,0
Oct-1958,81.5,38.1,9.748387096774195,2.7680000000000002,0
Nov-1958,67.9,17.6,11.386666666666665,2.857,0.36100000000000004
Dec-1958,51.5,12.6,10.480645161290324,1.1030000000000002,1.052
Jan-1959,59.9,9.3,12.97096774193548,2.233,4.4510000000000005
Feb-1959,55.9,8.5,11.789285714285713,2.24,1.077
Mar-1959,71.8,21,12.435483870967738,2.482,6.119999999999999
Apr-1959,79.6,30.6,10.726666666666668,3.532000000000001,2.012
May-1959,88.3,41.8,9.745161290322581,1.4820000000000002,0
Jun-1959,95.6,50.9,9.506666666666666,2.3990000000000005,0
Jul-1959,90.4,60.6,7.764516129032256,5.201,0
Aug-1959,92.9,57.4,7.548387096774193,4.4879999999999995,0
Sep-1959,91,43.6,8.34,0.9320000000000002,0
Oct-1959,87.7,32.8,9.738709677419354,4.373,0
Nov-1959,70.9,22.9,11.486666666666663,3.604,0.937
Dec-1959,53.6,11.5,9.719354838709679,3.226,5.075
Jan-1960,48.8,21.9,11.161290322580646,2.5,1.2449999999999999
Feb-1960,59.9,11.2,13.882758620689655,2.804,8.796999999999999
Mar-1960,66.9,1.3,11.699999999999998,1.292,14.567
Apr-1960,86.6,28.8,11.793333333333331,2.3,0
May-1960,82.8,40.9,9.925806451612903,3.568,0
Jun-1960,87.4,52.6,9.01,3.5300000000000007,0
Jul-1960,89,58,8.329032258064515,6.151000000000001,0
Aug-1960,90.2,56.9,7.309677419354838,3.8320000000000003,0
Sep-1960,88.2,52.1,7.703333333333336,6.340999999999998,0
Oct-1960,78.4,33.8,9.209677419354838,2.124,0
Nov-1960,63.4,26.9,9.88,1.658,0
Dec-1960,58.8,-6.8,10.161290322580646,0.528,13.484
Jan-1961,50.5,-6.4,10.590322580645166,1.444,15.413999999999998
Feb-1961,65.2,-9.4,10.421428571428573,2.139,14.033000000000003
Mar-1961,73.9,19.1,11.158064516129034,3.7539999999999996,0.885
Apr-1961,80.7,29.8,13.903333333333334,3.3320000000000003,1.903
