month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,41.6,-18.5,7.635483870967741,0.937,20.740000000000002
Feb-1950,49.2,-18.3,7.375000000000002,1.8810000000000002,3.068
Mar-1950,53.3,-1.1,8.396774193548387,3.315,5.632
Apr-1950,67.9,23.9,10.226666666666668,2.0500000000000003,0.11
May-1950,79.2,31.2,9.135483870967741,1.109,0.056
Jun-1950,85,39.7,7.336666666666665,4.032,0
Jul-1950,92.2,48.4,7.683870967741936,0.275,0
Aug-1950,93.2,48.2,7.616129032258065,0.18300000000000002,0
Sep-1950,96.4,39.1,8.350000000000001,0.111,0
Oct-1950,75.6,32.1,8.448387096774194,4.017,0
Nov-1950,63.4,8.3,8.166666666666666,2.455,1.7710000000000001
Dec-1950,51.8,17.9,6.8096774193548395,1.9580000000000004,7.117999999999999
Jan-1951,40.8,-21.3,8.790322580645162,1.132,12.178000000000003
Feb-1951,45.6,-3.8,7.157142857142856,1.696,2.684
Mar-1951,54.6,4.3,9.758064516129034,1.042,7.791
Apr-1951,70.4,25.3,9.003333333333334,1.2169999999999999,0
May-1951,83.2,34.3,9.125806451612902,1.5359999999999998,0
Jun-1951,85.6,39.7,8.400000000000002,1.639,0
Jul-1951,99.1,51.1,9.296774193548385,0.217,0
Aug-1951,95.4,45.4,8.267741935483873,0.515,0
Sep-1951,87.9,41.8,8.063333333333334,0.8280000000000001,0
Oct-1951,78.7,27.8,8.235483870967743,4.353,0.249
Nov-1951,56.4,17.5,7.49,2.624,0.25000000000000006
Dec-1951,45.7,-7.7,7.996774193548386,1.111,19.885999999999996
Jan-1952,39,-10.7,6.741935483870966,0.461,10.095999999999998
Feb-1952,41.8,7.6,7.127586206896553,0.9710000000000001,3.8740000000000006
Mar-1952,51.5,16,8.235483870967741,1.033,4.481999999999999
Apr-1952,77.8,19.8,9.05,2.0359999999999996,0
May-1952,76.4,33.6,8.04516129032258,2.246,0
Jun-1952,83.1,40.3,8.99,3.1790000000000007,0
Jul-1952,95.2,45.3,8.587096774193546,0.036000000000000004,0
Aug-1952,93.1,50.8,8.683870967741935,0.15500000000000003,0
Sep-1952,90.6,40.5,7.623333333333334,0.7519999999999999,0
Oct-1952,80.9,33.9,6.825806451612903,0.136,0
Nov-1952,60.5,15.3,5.806666666666666,0.8510000000000001,0.635
Dec-1952,39.1,-4.9,6.693548387096774,1.471,11.57
Jan-1953,48.7,17.7,8.377419354838711,6.11,8.306
Feb-1953,49.6,7.2,9.214285714285717,1.994,4.251
Mar-1953,63.6,18.1,9.403225806451612,1.9980000000000004,5.848
Apr-1953,72.4,24.9,9.579999999999997,2.3120000000000003,1.605
May-1953,79.6,31.9,9.290322580645164,2.6719999999999997,0
Jun-1953,76,40.1,8.093333333333332,1.478,0
Jul-1953,96,52.4,7.874193548387096,0,0
Aug-1953,98.2,49.5,7.732258064516128,1.0050000000000001,0
Sep-1953,95.8,37.3,9.033333333333333,0.43500000000000005,0
Oct-1953,81.6,31,7.354838709677418,1.509,0
Nov-1953,62.8,24.2,8.526666666666667,3.0050000000000003,0.056
Dec-1953,44.3,10.1,8.993548387096777,2.08,3.9750000000000005
Jan-1954,43.6,-11,7.5032258064516135,2.1310000000000002,13.932000000000002
Feb-1954,52.5,16.4,9.285714285714286,2.1430000000000002,0.305
Mar-1954,59.3,19,8.951612903225804,1.9250000000000003,1.742
Apr-1954,70.4,25.6,10.153333333333334,3.0180000000000007,0.084
May-1954,86.8,28.1,8.764516129032259,1.748,0
Jun-1954,83.5,36.7,8.903333333333334,2.297,0
Jul-1954,92.2,50.4,8.183870967741937,0.337,0
Aug-1954,91.1,42.7,7.638709677419355,1.7160000000000002,0
Sep-1954,86.7,37.6,7.84,1.066,0
Oct-1954,76.9,26.8,7.622580645161291,1.071,0
Nov-1954,63.3,25.4,7.353333333333334,2.04,0
Dec-1954,48.9,-4.5,7.548387096774194,1.008,5.771
Jan-1955,40.7,-5.8,5.91290322580645,0.216,7.661
Feb-1955,41.8,-0.5,8.171428571428573,0.6460000000000001,8.149000000000001
Mar-1955,46.3,-8.3,9.603225806451611,1.0739999999999998,9.194
Apr-1955,62.6,21,9.16,2.474,3.4219999999999997
May-1955,75.1,31.5,8.554838709677421,1.241,0.304
Jun-1955,92.6,40.3,8.843333333333335,1.0270000000000001,0
Jul-1955,97.6,40,8.454838709677418,1.195,0
Aug-1955,95.3,53.7,7.658064516129032,0,0
Sep-1955,95.8,35.5,7.909999999999999,2.478,0
Oct-1955,70.2,31,8.596774193548388,4.4879999999999995,0
Nov-1955,56.2,-9.4,8.373333333333333,2.087,12.562999999999999
Dec-1955,45.5,-3.4,8.129032258064516,2.467,12.209
Jan-1956,42.7,-3.5,7.22258064516129,1.762,12.165000000000001
Feb-1956,42.3,-12.6,8.437931034482757,0.935,12.181999999999999
Mar-1956,51.7,8.5,8.180645161290322,1.44,6.3740000000000006
Apr-1956,76.2,20.5,8.090000000000002,0.7070000000000002,0
May-1956,82.5,32.7,7.225806451612903,2.8240000000000003,0
Jun-1956,86,37.2,8.583333333333334,1.772,0
Jul-1956,95.9,47.5,7.47741935483871,0.131,0
Aug-1956,97.9,45.6,7.62258064516129,1.412,0
Sep-1956,88.2,40.3,7.896666666666665,0.551,0
Oct-1956,75.7,22,8.006451612903225,3.342,0.939
Nov-1956,59.4,18.9,6.7,0.99,1.05
Dec-1956,48.1,-2.3,8.603225806451613,2.4520000000000004,3.297
Jan-1957,40.8,-21.6,5.841935483870968,0.23199999999999998,15.027999999999999
Feb-1957,47.1,10.9,6.621428571428569,0.8600000000000001,10.468
Mar-1957,59.1,8.5,9.277419354838708,2.571,4.027
Apr-1957,77.2,29.2,8.680000000000001,2.054,0.166
May-1957,82.8,39.6,7.1161290322580655,3.35,0
Jun-1957,88.6,43,8.366666666666667,0.62,0
Jul-1957,92.7,47.2,8.758064516129032,0.10800000000000001,0
Aug-1957,90.7,54.5,8.477419354838709,0.048,0
Sep-1957,90.6,40.2,7.743333333333334,0.7979999999999999,0
Oct-1957,69.6,32.9,6.822580645161288,2.71,0
Nov-1957,49.9,8.6,7.506666666666669,1.318,3.143
Dec-1957,45,4.1,8.548387096774194,2.7980000000000005,6.734
Jan-1958,41.2,6.3,7.0032258064516135,2.641,5.688000000000001
Feb-1958,59.8,18.8,7.971428571428572,2.869999999999999,0.083
Mar-1958,58.6,21.6,7.36451612903226,1.4060000000000001,1.935
Apr-1958,68.2,27.9,8.95,3.9549999999999996,0.662
May-1958,86.8,38.4,7.31290322580645,0.614,0
Jun-1958,90.2,47.2,7.536666666666665,1.727,0
Jul-1958,96.4,48.3,8.038709677419355,0.21,0
Aug-1958,97.4,52.8,8.551612903225807,0.123,0
Sep-1958,92.8,35.4,9.173333333333336,1.038,0
Oct-1958,81.3,29,8.316129032258065,1.2650000000000001,0
Nov-1958,59.4,16.4,9.399999999999999,5.054999999999999,0.995
Dec-1958,51.2,22.2,7.229032258064516,3.2700000000000005,2.6239999999999997
Jan-1959,49.4,-5.9,7.890322580645161,3.837,8.807
Feb-1959,49.9,7.6,7.442857142857143,1.057,5.261
Mar-1959,57.9,21.2,9.635483870967741,2.5799999999999996,3.7510000000000003
Apr-1959,69.1,28.2,9.646666666666667,2.1050000000000004,0.608
May-1959,75.5,29.7,8.606451612903227,2.2010000000000005,0
Jun-1959,85.9,40.6,8.149999999999999,1.7899999999999998,0
Jul-1959,103.4,44.7,8.222580645161289,0.304,0
Aug-1959,92.3,49,9.070967741935481,0.811,0
Sep-1959,87.3,37.5,8.746666666666668,3.9010000000000002,0
Oct-1959,72.2,28,8.341935483870968,3.112,0
Nov-1959,60.8,0.6,8.336666666666666,2.116,2.481
Dec-1959,47.9,1,6.5870967741935464,1.2209999999999999,4.392
Jan-1960,42.2,-11.7,6.212903225806451,0.353,8.707
Feb-1960,44.2,-10.3,8.265517241379307,1.4200000000000004,5.243
Mar-1960,69.5,-0.6,8.296774193548387,2.3550000000000004,4.832999999999999
Apr-1960,72.4,29.5,9.146666666666667,2.0700000000000003,0.111
May-1960,81.5,30.9,9.074193548387097,3.1140000000000003,0
Jun-1960,85.6,41.8,8.663333333333332,0.885,0
Jul-1960,100.8,55.1,7.580645161290321,0.008,0
Aug-1960,91.9,41.1,8.561290322580644,1.72,0
Sep-1960,85.2,41.9,7.386666666666665,0.5770000000000001,0
Oct-1960,80.4,28.7,8.061290322580644,2.3329999999999997,0
Nov-1960,51.7,10.1,8.93,3.294,3.1439999999999997
Dec-1960,42.7,6.8,6.196774193548387,0.7520000000000001,3.4320000000000004
Jan-1961,46.8,-0.6,6.274193548387096,1.683,4.6370000000000005
Feb-1961,51.7,24.5,8.59285714285714,3.4840000000000004,7.473
Mar-1961,58.8,10.9,8.47741935483871,2.57,3.783
Apr-1961,70.2,28.6,10.770000000000001,2.287,0.332
May-1961,82,36.1,8.141935483870967,2.0580000000000003,0
Jun-1961,90.6,46.8,8.196666666666665,1.3619999999999999,0
Jul-1961,93.5,51.1,8.04516129032258,0.379,0
Aug-1961,106.9,57.1,8.796774193548387,0.349,0
Sep-1961,80.6,34.4,9.426666666666668,0.8130000000000001,0
Oct-1961,77.1,25.6,8.04516129032258,2.6440000000000006,0.829
Nov-1961,53.3,18.6,7.596666666666666,1.1800000000000002,14.606
Dec-1961,41,-10.1,9.135483870967741,1.5420000000000003,9.948
Jan-1962,44.9,-16.2,7.980645161290321,0.7749999999999999,5.096000000000001
Feb-1962,45.7,-2.5,7.660714285714285,0.911,1.219
Mar-1962,58.9,10.3,7.780645161290322,1.9829999999999999,7.8469999999999995
Apr-1962,77.6,28.7,10.223333333333333,1.5150000000000001,0
May-1962,67.5,36.4,8.425806451612907,2.619,0
Jun-1962,90.7,34.8,7.883333333333332,0.744,0
Jul-1962,95.8,47.5,8.04516129032258,0.071,0
Aug-1962,93.2,45.8,9.429032258064519,0.763,0
Sep-1962,87.7,38.7,7.593333333333334,1.0250000000000001,0
Oct-1962,81.3,31.1,7.3258064516129044,2.92,0
Nov-1962,60.3,22.1,7.506666666666665,3.09,3.1990000000000003
Dec-1962,47.2,10.8,6.470967741935485,1.9420000000000002,0.7760000000000001
Jan-1963,43.5,-9.2,7.041935483870967,0.8190000000000001,5.170000000000001
Feb-1963,54.2,21.2,7.432142857142859,2.233,5.018000000000001
Mar-1963,65.7,21.3,9.206451612903226,2.226,1.551
Apr-1963,72.7,24.7,9.283333333333333,2.584,1.161
May-1963,78.7,32.9,7.951612903225805,2.1660000000000004,0
Jun-1963,89.6,44.5,8.793333333333333,1.3100000000000003,0
Jul-1963,88.1,47,9.129032258064516,0.309,0
Aug-1963,93.7,51.7,7.448387096774193,0.048,0
Sep-1963,91.8,46.9,7.293333333333333,1.066,0
Oct-1963,86.6,30,7.6806451612903235,1.4180000000000001,0
Nov-1963,60.3,22.8,7.876666666666665,3.066,0.744
Dec-1963,43,5.8,6.683870967741935,1.2790000000000004,6.824999999999999
Jan-1964,43.5,0.4,8.612903225806456,1.5590000000000002,19.778
Feb-1964,40.7,9.6,8.775862068965518,0.533,4.505
Mar-1964,64.1,15.2,9.264516129032257,1.5080000000000002,5.885
Apr-1964,64.9,23.8,9.663333333333332,2.8770000000000007,2.235
May-1964,76.7,30.3,9.125806451612904,1.663,0.469
Jun-1964,84.1,43.1,7.716666666666669,2.872000000000001,0
Jul-1964,94.1,51.1,7.645161290322579,1.1139999999999999,0
Aug-1964,87.1,45.2,8.07741935483871,1.358,0
Sep-1964,82.4,36.1,7.549999999999998,1.8650000000000002,0
Oct-1964,77.3,30.3,7.367741935483871,0.7240000000000002,0
Nov-1964,60.1,20.7,6.739999999999998,3.11,6.157000000000001
Dec-1964,48.4,-28.7,8.470967741935485,4.128,22.704000000000004
Jan-1965,44.7,-0.6,8.561290322580644,2.444,15.45
Feb-1965,45.9,7.9,8.624999999999998,0.937,1.803
Mar-1965,63,10.8,8.251612903225807,0.7200000000000001,2.9589999999999996
Apr-1965,70.7,24.2,7.593333333333333,3.8160000000000007,2.3970000000000002
May-1965,79.3,31.7,9.341935483870973,1.058,0
Jun-1965,85.5,42,7.893333333333334,1.4740000000000002,0
Jul-1965,94.9,49,7.864516129032259,0.3490000000000001,0
Aug-1965,96.4,42.5,6.612903225806453,1.863,0
Sep-1965,79.7,33.2,7.833333333333332,0.41300000000000003,0
Oct-1965,81.4,33.7,7.8354838709677415,0.8220000000000001,0
Nov-1965,69,16.6,7.716666666666667,2.022,1.3800000000000001
Dec-1965,49.2,10.3,6.532258064516129,0.47100000000000003,6.215
Jan-1966,40,0.1,7.548387096774196,1.705,13.079
Feb-1966,42.2,10,7.135714285714287,0.6950000000000002,5.0809999999999995
Mar-1966,67.3,6.4,8.167741935483871,2.108,4.442
Apr-1966,69.9,25.9,9.07,0.6630000000000001,0
