month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,75.7,16.4,15.596774193548383,0.723,0.028
Feb-1950,78,24,14.37142857142857,0.6799999999999999,0.028
Mar-1950,86.4,21.8,18.109677419354842,0.155,1.931
Apr-1950,91.4,33.9,17.509999999999998,1.6670000000000003,0
May-1950,94.4,49,16.061290322580643,3.8819999999999997,0
Jun-1950,99.8,53.3,15.483333333333336,0.7460000000000001,0
Jul-1950,94.8,62.2,12.170967741935485,5.166999999999999,0
Aug-1950,98.4,60.4,11.454838709677418,1.619,0
Sep-1950,89.3,56.1,12.426666666666666,4.748,0
Oct-1950,88,47,12.16451612903226,0.23900000000000002,0
Nov-1950,82.4,22,15.026666666666669,0.056,0
Dec-1950,74.6,13.8,12.532258064516133,0.016,0.251
Jan-1951,71.4,8.8,15.474193548387095,0.388,1.8810000000000002
Feb-1951,81,3.4,16.017857142857142,0.473,0.9139999999999999
Mar-1951,83.4,23.7,16.993548387096777,1.1760000000000002,0
Apr-1951,89.5,34.7,17.753333333333334,0.8190000000000002,0
May-1951,95.6,47.2,15.258064516129034,8.790999999999999,0
Jun-1951,101,51.2,15.766666666666671,0.49000000000000005,0
Jul-1951,99.9,63.9,13.499999999999998,0.34700000000000003,0
Aug-1951,100.1,66.6,12.970967741935484,2.471,0
Sep-1951,98.4,48.6,15.04,0.247,0
Oct-1951,95.1,38,14.722580645161292,0.548,0
Nov-1951,73.3,22.9,14.030000000000001,0.271,0.8
Dec-1951,78,17.5,17.706451612903226,0.154,0.498
Jan-1952,77.8,18.5,14.848387096774195,0.9580000000000001,0.718
Feb-1952,74,22.6,16.31034482758621,0.282,1.8760000000000001
Mar-1952,80.1,22.2,19.048387096774192,0.6200000000000001,0.498
Apr-1952,88.4,30.8,15.263333333333334,2.432,0
May-1952,98.1,44.5,16.0258064516129,0.937,0
Jun-1952,101.2,62.2,15.906666666666668,0.407,0
Jul-1952,96.3,55.1,12.95483870967742,2.394,0
Aug-1952,101.1,69.5,11.793548387096774,0.275,0
Sep-1952,92.7,49.9,11.213333333333331,3.196,0
Oct-1952,90.3,38.1,13.048387096774194,0.004,0
Nov-1952,83.5,18.2,13.353333333333335,0.976,0.606
Dec-1952,67.8,20.1,13.625806451612902,0.194,0.166
Jan-1953,75.4,21.7,16.983870967741936,0.108,1.02
Feb-1953,73.3,19.8,15.51428571428571,0.296,1.818
Mar-1953,86.2,25.4,16.187096774193545,0.8119999999999999,0
Apr-1953,89.4,33.3,19.633333333333333,0.7330000000000001,0
May-1953,101,42.4,16.93870967741935,0.6300000000000001,0
Jun-1953,103.9,63.7,16.003333333333334,0.247,0
Jul-1953,100.5,62.2,13.038709677419353,1.352,0
Aug-1953,101.9,60.9,12.687096774193549,0.8390000000000001,0
Sep-1953,99.8,53.1,12.976666666666663,0.62,0
