month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,75.6,35.5,9.69677419354839,1.439,0
Feb-1950,75.1,33.2,10.214285714285717,1.1360000000000001,0
Mar-1950,78.6,31.8,11.296774193548387,4.024,0
Apr-1950,84.1,34.6,9.443333333333332,1.838,0
May-1950,91.3,60.1,7.983870967741935,3.096,0
Jun-1950,102.1,62.4,8.273333333333333,2.702000000000001,0
Jul-1950,94.4,67,7.838709677419355,3.8189999999999995,0
Aug-1950,94,64.6,7.251612903225808,1.996,0
Sep-1950,91.2,55.9,8.953333333333335,3.6950000000000003,0
Oct-1950,85,51.7,8.683870967741935,4.544,0
Nov-1950,81.2,14,8.97,0.9990000000000001,0.275
Dec-1950,68.4,24.2,8.358064516129032,4.46,0
Jan-1951,69.5,25.8,9.748387096774195,1.631,0
Feb-1951,74,17.9,8.59642857142857,1.9430000000000003,0
Mar-1951,79.6,31.3,10.296774193548389,4.444000000000001,0
Apr-1951,83.5,38.7,10.050000000000002,2.3300000000000005,0
May-1951,93.3,50.3,9.493548387096775,0.867,0
Jun-1951,97.5,65.4,7.136666666666667,3.2740000000000005,0
Jul-1951,98.9,64.5,6.251612903225807,5.116,0
Aug-1951,96.8,66.7,6.522580645161292,3.1630000000000007,0
Sep-1951,98.7,60.6,7.043333333333333,2.06,0
Oct-1951,94.2,47.7,8.751612903225805,1.256,0
Nov-1951,72.3,28.8,8.78,2.9240000000000004,0
Dec-1951,75.5,22.8,10.154838709677419,3.5970000000000004,0
Jan-1952,72.8,25.5,9.729032258064517,2.144,0
Feb-1952,70.6,33.6,10.465517241379313,5.433999999999999,0.441
Mar-1952,76.7,35.2,10.070967741935483,6.536,0
Apr-1952,82.5,37.5,8.976666666666668,2.448,0
May-1952,91.3,49.4,8.516129032258064,3.318,0
Jun-1952,104.2,62.9,6.54,1.7610000000000001,0
Jul-1952,105.1,66.8,7.500000000000002,1.066,0
Aug-1952,100.2,63,6.900000000000001,4.588,0
Sep-1952,89.8,57.6,8.396666666666667,2.786,0
Oct-1952,88,34.8,7.648387096774193,0.889,0
Nov-1952,81.7,34.5,8.546666666666669,2.833,0
Dec-1952,69.7,27.5,8.125806451612904,4.0009999999999994,0
Jan-1953,70.9,29.4,10.406451612903224,3.9490000000000003,0
Feb-1953,67.3,29.5,9.892857142857144,6.07,0
Mar-1953,78.8,37.8,9.680645161290323,3.157,0
Apr-1953,82.7,37.3,10.443333333333332,3.5060000000000002,0
May-1953,98.7,53,8.606451612903225,2.6430000000000002,0
Jun-1953,99.4,62.1,7.853333333333333,4.1899999999999995,0
Jul-1953,98.6,65.4,7.745161290322579,5.014999999999999,0
Aug-1953,98.6,62.3,7.699999999999998,1.5659999999999998,0
Sep-1953,94.5,58.9,9.143333333333334,8.32,0
Oct-1953,84.4,44.1,7.725806451612903,0.5860000000000001,0
Nov-1953,77.4,33.7,7.206666666666666,2.423,0
Dec-1953,69.9,21.7,9.803225806451612,6.481999999999999,0
Jan-1954,69.3,27.5,9.325806451612904,2.0340000000000003,0
Feb-1954,73.6,31.2,10.546428571428569,1.936,0
Mar-1954,80.9,29,10.200000000000001,4.073,0
Apr-1954,85.8,46.3,8.313333333333333,1.661,0
May-1954,91.5,48.1,8.116129032258065,1.885,0
Jun-1954,105.4,55.6,7.490000000000001,0.609,0
Jul-1954,101.6,69.5,7.40967741935484,3.3390000000000004,0
Aug-1954,103.5,70.4,7.2612903225806456,0.6350000000000001,0
Sep-1954,99.9,60.3,7.489999999999999,0.6900000000000001,0
Oct-1954,98.2,37.3,8.51935483870968,0.8820000000000001,0
Nov-1954,74,28.1,9.079999999999997,3.5149999999999997,0
Dec-1954,67.6,26.8,9.629032258064518,3.635,0
Jan-1955,71.8,26.8,9.035483870967743,2.6050000000000004,1.296
Feb-1955,72.6,22.6,9.882142857142856,2.644,0
Mar-1955,81.9,24.7,10.635483870967741,1.6199999999999999,0
Apr-1955,85.1,43.1,9.613333333333335,3.009,0
May-1955,95,55.4,8.283870967741935,4.684,0
Jun-1955,92.9,57.8,8.639999999999999,2.1710000000000003,0
Jul-1955,95.8,67.3,6.2290322580645165,6.599,0
Aug-1955,95.8,69.3,6.251612903225808,2.8230000000000004,0
Sep-1955,94.4,60.3,8.053333333333333,2.1750000000000003,0
Oct-1955,85.4,40.9,8.454838709677418,1.8540000000000003,0
Nov-1955,80.6,25.4,8.753333333333334,2.4850000000000003,0
Dec-1955,71.5,25.2,8.061290322580644,0.7830000000000001,0.221
Jan-1956,69,27.9,9.964516129032257,2.5709999999999997,0
Feb-1956,76,34.7,9.772413793103448,6.557999999999998,0
Mar-1956,78.6,29.4,10.01290322580645,4.594,0
Apr-1956,83.9,41.8,10.863333333333333,2.918,0
May-1956,95.2,52.3,7.622580645161291,2.5050000000000003,0
Jun-1956,97,52.6,7.176666666666666,2.0310000000000006,0
Jul-1956,98.5,64.8,7.174193548387096,4.086000000000001,0
Aug-1956,99.5,66.6,6.261290322580645,2.0500000000000003,0
Sep-1956,96.3,53.1,8.35,7.5729999999999995,0
Oct-1956,83.1,50.3,7.961290322580646,2.242,0
Nov-1956,77,29.3,9.013333333333337,0.598,0
Dec-1956,73.4,32.4,8.709677419354836,3.095,0
Jan-1957,75.2,24.7,9.274193548387094,1.5310000000000001,0.111
Feb-1957,78,36,9.307142857142859,1.9910000000000003,0
Mar-1957,74.4,32.4,9.867741935483872,4.632,0
Apr-1957,86.2,40.4,8.933333333333335,2.388,0
May-1957,88.2,49.9,7.429032258064516,5.123999999999999,0
Jun-1957,91.7,63.7,7.136666666666667,4.067,0
Jul-1957,97.1,66.4,7.251612903225808,3.6400000000000006,0
Aug-1957,98.4,62.9,7.661290322580644,1.892,0
Sep-1957,98.7,54.4,8.213333333333335,8.145,0
Oct-1957,76.3,36.8,8.148387096774194,2.6430000000000002,0
Nov-1957,77.2,32.6,9.766666666666667,5.663,0
Dec-1957,69.3,21,9.216129032258063,2.2259999999999995,0
Jan-1958,62.6,21.5,10.303225806451616,2.955,0
Feb-1958,69.7,10.8,11.014285714285716,2.324,0.387
Mar-1958,69.5,30.7,9.58064516129032,5.862999999999998,0
Apr-1958,86.1,40.5,10.793333333333331,5.351999999999999,0
May-1958,91.3,46.8,8.080645161290322,1.7710000000000001,0
Jun-1958,96.3,63.1,7.716666666666668,4.264,0
Jul-1958,94,65.1,6.625806451612903,5.101,0
Aug-1958,95.1,65.1,6.338709677419355,2.1980000000000004,0
Sep-1958,93.6,58.7,7.846666666666667,0.9820000000000002,0
Oct-1958,88.5,45,7.641935483870967,0.766,0
Nov-1958,82.7,32.9,8.436666666666664,0.466,0
Dec-1958,67.6,27.6,8.687096774193547,3.16,0.111
Jan-1959,71.2,21.2,8.941935483870965,2.8430000000000004,0
Feb-1959,73.4,26.8,9.00357142857143,4.7010000000000005,0
Mar-1959,76.2,30.8,10.59032258064516,7.221,0
Apr-1959,83.2,40.9,8.996666666666666,1.6980000000000002,0
May-1959,91.4,52.6,7.822580645161288,5.497999999999999,0
Jun-1959,99.4,65.2,7.2733333333333325,3.3000000000000007,0
Jul-1959,101.6,66.3,5.909677419354838,5.167999999999998,0
Aug-1959,97.8,70.2,5.96451612903226,3.1220000000000003,0
Sep-1959,91.1,59.1,7.8633333333333315,3.422,0
Oct-1959,90.2,45.4,9.374193548387098,6.859999999999999,0
Nov-1959,79.4,24.6,8.77,0.8130000000000001,0
Dec-1959,69.1,28.4,9.261290322580646,2.483,0
Jan-1960,72.5,22.8,9.474193548387095,4.895999999999999,0
Feb-1960,67,26.1,11.03793103448276,5.957,0
Mar-1960,75.5,22.2,10.496774193548388,3.669,0.413
Apr-1960,88.3,40.2,8.686666666666667,3.3670000000000004,0
May-1960,94.2,46.2,8.993548387096775,2.1990000000000003,0
Jun-1960,95.9,63.3,6.996666666666667,2.558,0
Jul-1960,97.1,69.6,6.641935483870967,3.998,0
Aug-1960,94,69.1,6.709677419354841,3.0220000000000002,0
Sep-1960,94.1,63.5,8.216666666666665,4.518,0
Oct-1960,85.7,46.9,6.387096774193548,1.697,0
Nov-1960,77,36,7.459999999999999,0.35800000000000004,0
Dec-1960,68.7,22.4,8.832258064516129,2.6479999999999997,0
Jan-1961,65.2,21,9.351612903225808,2.008,0.14
Feb-1961,73.7,28.4,10.114285714285716,4.462,0
Mar-1961,80.1,37.3,10.180645161290322,4.26,0
Apr-1961,82.3,39.4,11.94,5.052,0
May-1961,85.8,48.1,8.338709677419354,4.018,0
Jun-1961,91.9,58.1,7.6833333333333345,3.7590000000000003,0
Jul-1961,95.5,67.4,6.538709677419355,1.677,0
Aug-1961,96,65.2,7.05483870967742,3.607,0
Sep-1961,91.7,56.1,7.39,0.855,0
Oct-1961,85.2,45,8.341935483870968,0.016,0
Nov-1961,85.2,33.8,8.68,1.5310000000000001,0
Dec-1961,71.8,24.5,9.429032258064517,4.408,0
Jan-1962,70.6,21,9.503225806451614,3.979,0.167
Feb-1962,75.6,27.2,9.714285714285712,2.347,0
Mar-1962,77.8,29,10.93225806451613,6.278999999999998,0
Apr-1962,89.5,37.4,9.226666666666665,2.0039999999999996,0
May-1962,97.1,55.2,7.561290322580646,0.863,0
Jun-1962,93.3,64.7,6.926666666666667,4.790000000000001,0
Jul-1962,97.5,66,6.6903225806451605,1.838,0
Aug-1962,98.3,68.2,6.619354838709678,2.2320000000000007,0
Sep-1962,95.3,51.2,7.1899999999999995,3.037,0
Oct-1962,86.2,38.7,7.219354838709678,2.056,0
Nov-1962,72.8,35.5,9.719999999999997,4.5,0
Dec-1962,67.1,12.5,9.083870967741936,2.276,0
Jan-1963,67.8,10.5,9.203225806451613,6.050999999999999,0
Feb-1963,68.7,21.1,11.107142857142858,3.1570000000000005,0
Mar-1963,81.9,35.4,9.806451612903226,2.851,0
Apr-1963,86.8,45.5,10.196666666666667,2.116,0
May-1963,92.1,47.1,8.012903225806452,1.5379999999999998,0
Jun-1963,99.9,60.2,7.089999999999999,7.130000000000001,0
Jul-1963,93,63,6.903225806451613,3.2400000000000007,0
Aug-1963,96.4,68.5,5.66774193548387,1.1280000000000001,0
Sep-1963,93.5,54.7,8.576666666666666,4.324,0
Oct-1963,86.8,45.2,7.7774193548387105,0.032,0
Nov-1963,75.5,31.8,9.523333333333333,2.9910000000000005,0
Dec-1963,62.5,23,9.329032258064519,4.457,0.801
Jan-1964,66,18.6,9.75483870967742,6.331999999999999,0
Feb-1964,61,27.2,11.32758620689655,5.66,0
Mar-1964,78.5,30.1,11.470967741935485,4.947,0
Apr-1964,85.7,40.4,9.776666666666666,3.3220000000000005,0
May-1964,95.8,54.1,8.245161290322581,2.596,0
Jun-1964,99.2,60.3,6.8533333333333335,2.523,0
Jul-1964,89.3,65.3,7.596774193548388,9.679,0
Aug-1964,93.5,60.9,7.016129032258067,4.206,0
Sep-1964,93.8,57.5,9.106666666666662,3.708,0
Oct-1964,81.9,41.4,8.574193548387099,5.512999999999999,0
Nov-1964,78.7,29.2,8.610000000000001,0.9690000000000001,0
Dec-1964,72.4,26.6,9.009677419354839,3.9240000000000004,0
Jan-1965,69.7,22.5,9.558064516129033,1.816,0
Feb-1965,74.9,26,10.207142857142856,5.646,0
Mar-1965,76.2,28.5,10.37741935483871,6.65,0
Apr-1965,89.3,42,9.046666666666665,2.066,0
May-1965,92.6,51.7,6.809677419354839,0.55,0
Jun-1965,91.6,59.3,7.156666666666667,5.043999999999998,0
Jul-1965,92.4,68.1,6.412903225806451,4.511,0
Aug-1965,93.6,64.9,6.103225806451612,2.0530000000000004,0
Sep-1965,89.6,59.1,8.316666666666666,2.8230000000000004,0
Oct-1965,82.8,39.1,8.51290322580645,2.487,0
Nov-1965,74.9,32.8,7.450000000000001,1.661,0
Dec-1965,69.2,29.1,7.461290322580646,1.512,0
Jan-1966,71.2,4.7,10.170967741935486,5.841000000000001,0.056
Feb-1966,69.1,24.9,10.342857142857142,5.8790000000000004,0
Mar-1966,76.2,28.1,9.251612903225805,2.92,0
Apr-1966,84,40.2,10.366666666666669,1.301,0
May-1966,86.6,49.2,7.94516129032258,3.6639999999999997,0
Jun-1966,92.6,52.6,7.52,2.9970000000000003,0
Jul-1966,101.2,65.6,7.235483870967743,4.758999999999999,0
Aug-1966,94.4,65.1,5.990322580645162,2.823000000000001,0
Sep-1966,94.2,58.3,7.563333333333333,4.511,0
Oct-1966,82.4,46,7.683870967741936,1.77,0
Nov-1966,76.3,31.9,8.893333333333334,2.188,0
Dec-1966,75.8,26.1,8.406451612903227,4.1690000000000005,0
Jan-1967,71.5,27.6,7.941935483870967,3.3759999999999994,0
Feb-1967,70.4,20.6,9.725,3.7170000000000005,0
Mar-1967,83.2,33,9.403225806451612,1.1300000000000001,0
Apr-1967,87,46.5,9.833333333333334,0.671,0
May-1967,93.6,50.5,10.041935483870969,2.9070000000000005,0
Jun-1967,94.9,58.2,7.6099999999999985,2.321,0
Jul-1967,90.8,59.8,6.909677419354838,5.121999999999999,0
Aug-1967,92.5,60.9,6.316129032258064,3.1420000000000003,0
Sep-1967,89.4,43.6,7.4733333333333345,1.8,0
Oct-1967,87.6,42.1,7.929032258064518,1.9819999999999998,0
Nov-1967,76.2,33.4,8.76,1.7480000000000002,0
Dec-1967,74.7,28,9.27741935483871,4.712,0
Jan-1968,69.4,26.1,8.2,2.789,0.333
Feb-1968,61,24.4,9.5448275862069,1.002,3.1719999999999997
Mar-1968,82.1,27,9.799999999999999,2.008,0
Apr-1968,89.6,45.6,9.393333333333336,2.708,0
May-1968,88.8,50.4,8.474193548387097,4.247,0
Jun-1968,93.4,60.5,7.603333333333337,4.287,0
Jul-1968,95.7,68.3,6.219354838709677,4.681,0
Aug-1968,99.5,64.3,6.3419354838709685,1.6380000000000001,0
Sep-1968,90.5,59.8,6.863333333333333,1.3650000000000002,0
Oct-1968,85.2,40.4,8.570967741935483,1.374,0
Nov-1968,78.6,30.6,9.196666666666669,3.8280000000000007,0
Dec-1968,68.3,23.8,9.770967741935483,4.620000000000001,0
Jan-1969,68.9,22.1,8.261290322580646,1.4120000000000001,0
Feb-1969,72.9,29.2,9.982142857142856,3.344,0.028
Mar-1969,76.9,28.1,10.454838709677416,3.533,0
Apr-1969,84.9,42.7,9.563333333333333,2.1670000000000003,0
May-1969,91.9,48.5,8.580645161290322,3.0370000000000004,0
Jun-1969,98.8,59.9,7.066666666666667,1.8860000000000003,0
Jul-1969,100,69.1,6.7064516129032254,3.429,0
Aug-1969,90.8,62.6,7.7483870967741915,5.953999999999999,0
Sep-1969,88.6,58.7,7.243333333333334,3.654,0
Oct-1969,83.2,44.8,8.380645161290321,0.7340000000000001,0
Nov-1969,70.5,27.2,8.076666666666666,1.247,0
Dec-1969,70.8,28.7,10.151612903225805,4.601000000000001,0
Jan-1970,68.6,12.9,9.319354838709675,2.1449999999999996,0.111
Feb-1970,68,18.9,9.753571428571428,2.8160000000000003,0
Mar-1970,74.3,30.6,10.7,6.189,0
Apr-1970,90.5,41.4,9.549999999999999,1.098,0
May-1970,91.6,49,7.6483870967741945,2.629,0
Jun-1970,96,60.2,7.163333333333332,2.451,0
Jul-1970,99.4,65.3,7.0290322580645155,2.6750000000000007,0
Aug-1970,97,68.2,5.87741935483871,5.207999999999999,0
Sep-1970,94.4,52.8,6.7666666666666675,1.0750000000000002,0
Oct-1970,89.1,47.3,8.658064516129034,4.770999999999999,0
Nov-1970,74.4,22,8.123333333333331,0.728,0
