month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,44.2,5.3,5.554838709677419,3.913,50.84300000000001
Feb-1950,54.3,3.5,3.9785714285714286,3.571,3.5890000000000004
Mar-1950,62.3,9.7,5.36451612903226,5.772,4.569
Apr-1950,76.9,26.4,6.3066666666666675,2.056,0.885
May-1950,85.3,28.9,7.180645161290323,1.3700000000000003,0.41800000000000004
Jun-1950,88.5,37.7,6.516666666666666,2.8890000000000002,0
Jul-1950,93.6,48.2,8.338709677419354,0.044,0
Aug-1950,98.8,45.4,7.54516129032258,0.1,0
Sep-1950,94.7,37.7,6.47,0.637,0
Oct-1950,80.3,30.5,5.5032258064516135,12.738999999999999,0
Nov-1950,68.3,27.7,4.809999999999999,7.031999999999998,2.707
Dec-1950,61.6,25.2,4.380645161290321,3.791,2.489
Jan-1951,55,0.8,5.16774193548387,9.313999999999998,14.315999999999999
Feb-1951,52.7,12.5,4.610714285714285,4.437999999999999,3.5909999999999997
Mar-1951,66,7.1,5.861290322580644,1.8920000000000003,17.032
Apr-1951,79.1,29.1,6.716666666666666,1.5510000000000002,0
May-1951,81.2,34.7,6.725806451612902,3.9300000000000006,0
Jun-1951,93.3,39.2,8.13,0,0
Jul-1951,95.5,49.8,8.319354838709678,0.008,0
Aug-1951,91.9,43.9,7.509677419354839,0.226,0
Sep-1951,92.6,42.8,6.526666666666667,0.712,0
Oct-1951,80.4,28,4.432258064516129,6.7059999999999995,0
Nov-1951,65.4,26.4,5.09,7.2669999999999995,0
Dec-1951,47.6,7.5,4.812903225806451,9.253999999999998,16.509000000000004
Jan-1952,47.6,6.4,5.070967741935484,2.5820000000000003,29.487000000000002
Feb-1952,56.1,15.2,4.227586206896552,3.5800000000000005,9.689000000000002
Mar-1952,64.6,19.7,6.064516129032257,3.9710000000000005,8.367
Apr-1952,72.8,25.8,5.990000000000001,2.5580000000000003,0.028
May-1952,85,32.4,6.9161290322580635,1.1720000000000002,0
Jun-1952,84.9,31.7,6.630000000000001,3.332,0
Jul-1952,98.4,43.1,7.448387096774192,0,0
Aug-1952,96.1,44.5,7.048387096774195,0.028,0
Sep-1952,93.4,39.9,6.593333333333333,0.395,0
Oct-1952,90.5,37.5,4.809677419354839,0.216,0
Nov-1952,68.7,23.7,3.7833333333333323,2.2060000000000004,0
Dec-1952,51.6,11.6,4.870967741935484,7.808999999999998,11.232999999999997
Jan-1953,57.5,24.1,5.374193548387097,11.695,0.388
Feb-1953,58.4,11.4,5.553571428571428,4.586000000000001,4.668
Mar-1953,66.8,20.4,5.79032258064516,5.030999999999999,5.758
Apr-1953,72.8,27.3,5.983333333333334,2.687,0.8620000000000001
May-1953,77.8,26.8,6.232258064516128,5.885000000000001,0.221
Jun-1953,74,37.9,6.8533333333333335,2.6220000000000008,0
Jul-1953,94,42.2,7.45483870967742,0,0
Aug-1953,97.3,48.3,6.661290322580645,1.679,0
Sep-1953,95.6,44.4,5.85,1.33,0
Oct-1953,81.7,30.5,4.393548387096774,2.2880000000000003,0
Nov-1953,62.9,22.2,5.73,9.531000000000002,0.502
Dec-1953,55.4,23.6,4.151612903225807,6.968,4.9670000000000005
