month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,41.4,-23.6,11.483870967741936,0.128,14.406999999999998
Feb-1950,38.3,-14.1,10.875,0.02,5.439999999999999
Mar-1950,44.9,-11.8,12.103225806451611,2.612,12.803
Apr-1950,67.2,11.9,12.976666666666667,2.382,6.7669999999999995
May-1950,84.6,28.9,12.783870967741935,4.859,0
Jun-1950,90.9,45.9,13.309999999999999,3.052,0
Jul-1950,85.7,53.7,9.635483870967741,4.587999999999999,0
Aug-1950,92.2,47.7,9.948387096774194,2.7960000000000003,0
Sep-1950,82.4,43.8,9.563333333333333,3.007,0
Oct-1950,77.7,33.3,11.651612903225804,2.6639999999999997,0
Nov-1950,54.5,-3.6,13.083333333333332,1.036,5.059
Dec-1950,38.5,-16.6,10.380645161290323,0,13.036
Jan-1951,38.5,-28.8,9.548387096774192,0.004,4.364000000000001
Feb-1951,43.6,-21.6,10.121428571428572,0.89,9.211
Mar-1951,44.6,-6.6,11.832258064516129,0.22800000000000004,20.584999999999997
Apr-1951,75.3,16.9,12.070000000000002,2.781,6.071000000000001
May-1951,78.5,38.3,11.280645161290321,3.9450000000000003,0
Jun-1951,80.1,42.7,9.723333333333334,5.9529999999999985,0
Jul-1951,87,54,10.16774193548387,3.9490000000000003,0
Aug-1951,86.1,53.4,10.180645161290322,8.581,0
Sep-1951,82.9,35.8,12.07,7.095000000000001,0
Oct-1951,78.5,23,12.009677419354839,2.966,1.24
Nov-1951,51.9,-7.6,11.446666666666664,1.564,6.8950000000000005
Dec-1951,55,-14.9,10.664516129032261,1.017,8.922999999999998
Jan-1952,41.8,-21,10.561290322580644,0.49000000000000005,6.517999999999999
Feb-1952,40.4,-1.3,9.679310344827584,0.008,7.560000000000001
Mar-1952,51.2,-5.5,10.016129032258064,0.809,20.37
Apr-1952,83.9,20.4,10.226666666666665,1.2800000000000002,3.366
May-1952,86.5,38,11.135483870967741,3.6500000000000004,0.028
Jun-1952,89.2,47.4,11.610000000000005,7.969999999999999,0
Jul-1952,88.8,55.6,12.048387096774194,4.972999999999998,0
Aug-1952,87.9,53.6,9.890322580645162,4.978,0
Sep-1952,86.9,42.9,11.453333333333337,0.318,0
Oct-1952,67,23.7,12.154838709677419,0.156,0.056
Nov-1952,59.3,4.3,12.463333333333331,0.9770000000000001,10.394
Dec-1952,40.4,-7.2,9.635483870967741,0,3.9610000000000003
Jan-1953,39.2,-16.5,10.45483870967742,0.245,7.954999999999998
Feb-1953,38.2,-14.9,10.932142857142855,0.055999999999999994,14.18
Mar-1953,61.2,-1,12.283870967741937,1.7320000000000002,4.531000000000001
Apr-1953,62.3,19.3,12.669999999999998,3.8930000000000002,5.633
May-1953,86.5,30.5,11.616129032258065,5.014999999999999,0
Jun-1953,92,48,12.07,8.083,0
Jul-1953,87.9,54.1,9.416129032258068,6.0120000000000005,0
Aug-1953,92,56.4,10.3,2.8610000000000007,0
Sep-1953,92.2,40.4,11.716666666666669,0.8750000000000001,0
Oct-1953,87,30.8,10.829032258064519,0.179,0
Nov-1953,66.3,15.6,10.91,2.049,1.637
Dec-1953,43.1,-17.7,11.129032258064514,1.058,7.011999999999999
Jan-1954,33.8,-28,10.751612903225807,0,3.2720000000000002
Feb-1954,52.7,-18.3,11.410714285714286,0.598,3.616
Mar-1954,47.9,3.2,12.187096774193549,0.931,8.608999999999998
Apr-1954,75.6,0.5,13.180000000000001,6.706999999999999,0.663
May-1954,79.1,23.1,12.783870967741931,2.532,3.86
Jun-1954,88.4,44.7,11.853333333333335,6.731999999999998,0
Jul-1954,91,56.4,9.13225806451613,5.131,0
Aug-1954,87.2,53.5,9.019354838709678,5.819,0
Sep-1954,82.8,41.1,11.15,5.880999999999999,0
Oct-1954,66.7,26.1,10.770967741935483,2.5300000000000002,1.1600000000000001
Nov-1954,59.9,14,11.720000000000002,0.526,4.233
Dec-1954,36.6,1.2,9.57741935483871,0,4.201
Jan-1955,32.7,-23.3,9.645161290322578,0.004,4.379
Feb-1955,35.3,-15.2,10.375000000000002,0.246,9.223
Mar-1955,63.6,-13.5,12.27096774193548,0.274,4.5569999999999995
Apr-1955,74.4,26,13.15,1.953,0
May-1955,84.8,35.8,12.296774193548389,3.031,0
Jun-1955,91.7,48.8,10.609999999999998,3.801,0
Jul-1955,97.8,63,10.01290322580645,3.3040000000000003,0
Aug-1955,97.3,56.4,9.59032258064516,2.1500000000000004,0
Sep-1955,91.2,44,12.186666666666664,1.784,0
Oct-1955,75.8,31.7,12.029032258064516,2.415,3.337
Nov-1955,48.1,-4.7,12.523333333333333,0.34099999999999997,6.939
Dec-1955,36.5,-21.6,10.293548387096775,0.012,10.155999999999999
Jan-1956,35.2,-17.1,8.870967741935484,0.004,4.565
Feb-1956,37.1,-6.1,8.462068965517242,0.04,2.607
Mar-1956,45.6,-7.5,11.238709677419356,0.912,14.235
Apr-1956,62.5,23.7,12.039999999999997,1.0570000000000002,3.208
May-1956,80.5,31.2,13.012903225806452,3.9530000000000003,0
Jun-1956,91.6,43.8,11.01,4.78,0
Jul-1956,86.8,56.5,8.654838709677419,5.363999999999999,0
Aug-1956,87,51,10.061290322580643,5.532999999999999,0
Sep-1956,80.8,39.9,10.929999999999998,0.732,0
Oct-1956,81,37.5,12.887096774193544,1.576,0
Nov-1956,64.3,-1.9,13.126666666666667,1.337,8.333
Dec-1956,39.6,-12.5,10.783870967741937,0.044,2.5810000000000004
Jan-1957,36.5,-18.8,11.132258064516131,0.064,2.444
Feb-1957,43.3,-7.5,10.925,0.18600000000000003,5.466
Mar-1957,55.5,0,10.238709677419353,0.9019999999999999,5.607
Apr-1957,78.7,17.1,12.116666666666665,1.525,4.8260000000000005
May-1957,78.9,35.3,11.719354838709673,4.354999999999999,0
Jun-1957,84.1,46.7,11.429999999999998,4.643,0
Jul-1957,93,60.4,9.222580645161289,5.025,0
Aug-1957,89.5,53.5,9.296774193548387,2.9740000000000006,0
Sep-1957,85.7,40.9,10.899999999999999,2.6499999999999995,0
Oct-1957,72.3,28.5,9.845161290322585,1.8010000000000002,0
Nov-1957,52.2,5.6,11.963333333333333,0.9280000000000002,9.243
Dec-1957,45.9,-8.3,11.277419354838708,0.052,3.785
Jan-1958,42.2,-6.8,9.616129032258064,0.10800000000000001,2.8550000000000004
Feb-1958,57.6,-21.1,11.253571428571428,0.004,1.6360000000000001
Mar-1958,56.4,13.7,8.161290322580646,0.032,3.763
Apr-1958,77,21.4,12.303333333333333,3.106,3.664
May-1958,84.7,35.6,11.577419354838709,2.8070000000000004,0
Jun-1958,89.7,46.3,10.556666666666668,2.537,0
Jul-1958,86.7,53.7,9.29032258064516,3.318,0
Aug-1958,93.3,49.6,10.616129032258065,1.6510000000000002,0
Sep-1958,84.5,41.2,12.709999999999999,2.097,0
Oct-1958,74.7,36.8,10.825806451612905,1.896,0
Nov-1958,61,-5.9,13.56,1.7440000000000002,2.846
Dec-1958,41.5,-15.8,10.706451612903228,0.064,1.167
Jan-1959,42,-24.2,9.970967741935487,0.004,1.2530000000000001
Feb-1959,38.8,-18.6,11.246428571428572,0,5.856
Mar-1959,57.7,5,11.793548387096772,0.21999999999999997,3.621
Apr-1959,68.8,26.7,12.676666666666666,1.097,0.663
May-1959,88.6,35,12.748387096774193,8.192,0
Jun-1959,87.2,48.8,11.283333333333335,3.244,0
Jul-1959,91.5,52.2,10.841935483870966,1.008,0
Aug-1959,90.7,56.8,10.180645161290323,9.022000000000002,0
Sep-1959,88.5,41.2,12.096666666666664,4.04,0
Oct-1959,66.4,30.1,11.667741935483873,2.998,1.516
Nov-1959,51.5,-3.1,10.656666666666668,0.16,7.792999999999999
Dec-1959,45.9,-0.5,9.667741935483873,1.2990000000000002,5.328
Jan-1960,35.5,-18.4,9.974193548387095,0.052000000000000005,5.497
Feb-1960,37.1,-9,10.155172413793103,0.004,2.913
Mar-1960,62.4,-11.4,10.6,1.179,5.230999999999999
Apr-1960,78.3,20,13.45333333333333,3.2459999999999996,0.084
May-1960,77.8,34.5,11.645161290322578,7.107,0
Jun-1960,80.3,46,10.876666666666665,3.9270000000000005,0
Jul-1960,91.9,53.5,9.964516129032257,1.273,0
Aug-1960,88.7,55.7,10.12258064516129,6.27,0
Sep-1960,90.7,38.9,10.203333333333331,2.87,0
Oct-1960,77.9,26.7,10.593548387096776,1.568,0.112
Nov-1960,55,15.9,12.393333333333334,1.488,1.744
Dec-1960,52.1,-5.7,11.070967741935481,0.6,1.639
Jan-1961,39.9,-17.3,10.509677419354837,0.008,1.2530000000000001
Feb-1961,44.8,-3.9,9.846428571428573,0.431,7.563
Mar-1961,58.2,13.5,11.593548387096776,1.354,10.519000000000002
Apr-1961,63.8,19.6,11.613333333333333,2.087,6.8420000000000005
May-1961,83.4,30.8,11.345161290322583,5.083999999999999,0
Jun-1961,92.5,48.6,9.92,2.2230000000000003,0
Jul-1961,87.2,56.8,8.329032258064515,3.387000000000001,0
Aug-1961,88.6,57.8,9.545161290322582,3.0970000000000004,0
Sep-1961,88.9,37.2,11.969999999999999,4.806,0
Oct-1961,76.5,32.5,12.003225806451614,1.8940000000000003,0
Nov-1961,60.8,20.6,11.213333333333333,1.8720000000000003,3.617
Dec-1961,51.1,-18.3,10.706451612903223,0.064,9.987
Jan-1962,41.1,-24.4,10.812903225806455,0.044,5.393
Feb-1962,40.7,-18.7,10.19642857142857,0.11599999999999999,12.636000000000001
Mar-1962,50.2,-25,9.28709677419355,0.1,14.122999999999996
Apr-1962,79.5,16,11.97,2.228,6.093
May-1962,82.7,41,13.116129032258065,5.109,0
Jun-1962,86.3,46.3,9.693333333333333,2.7800000000000007,0
Jul-1962,86.9,54.4,9.619354838709674,4.066000000000001,0
Aug-1962,87.3,54.2,10.251612903225805,5.675999999999999,0
Sep-1962,78.5,40.6,11.006666666666666,4.016,0
Oct-1962,78.4,26.1,11.264516129032257,1.7,0
Nov-1962,55.6,22.9,11.66666666666667,0.547,1.216
Dec-1962,58.1,-15.6,12.26774193548387,0.12,2.7369999999999997
Jan-1963,40.1,-31.2,11.012903225806452,0.016,5.198999999999999
Feb-1963,39.6,-22.4,10.535714285714288,0.24100000000000002,3.5730000000000004
Mar-1963,70.1,2,12.064516129032258,0.49699999999999994,9.601
Apr-1963,74.9,26.3,12.646666666666667,2.565,1.793
May-1963,83,34.4,12.161290322580646,4.259,0
Jun-1963,93.5,49.3,10.543333333333333,4.341,0
Jul-1963,89.1,57.8,9.338709677419354,3.152,0
Aug-1963,88.2,53.8,9.425806451612905,2.6850000000000005,0
Sep-1963,82.7,43,10.639999999999997,3.314000000000001,0
Oct-1963,80.1,33.8,10.187096774193549,1.266,0
Nov-1963,56.8,19.5,11.403333333333334,0.8089999999999999,0.30800000000000005
Dec-1963,40.6,-20.5,9.825806451612904,0.04,6.241999999999999
Jan-1964,40.6,-13.8,11.732258064516131,0.008,3.519
Feb-1964,50.9,3.5,11.555172413793104,0,1.499
Mar-1964,50.8,0.3,12.44516129032258,0.22999999999999998,11.096
Apr-1964,78.3,22,13.95666666666667,2.957,6.46
May-1964,86.5,41,13.73225806451613,4.463,0
Jun-1964,90.6,42.1,11.566666666666665,3.461,0
Jul-1964,95.9,56.2,10.290322580645162,2.149,0
Aug-1964,92.8,48.3,11.777419354838708,4.862,0
Sep-1964,87,39.7,12.583333333333334,6.083999999999999,0
