month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,63.7,8.9,11.390322580645162,2.592,2.0730000000000004
Feb-1950,44.6,-6.5,11.3,1.6540000000000004,16.111
Mar-1950,61.1,-3,13.470967741935478,2.867,7.198
Apr-1950,69.1,25.3,10.76,2.929,4.133
May-1950,75.3,35,9.44516129032258,4.946,0
Jun-1950,86.8,46.3,9.823333333333332,2.6780000000000004,0
Jul-1950,87.1,55.1,8.490322580645163,3.5340000000000007,0
Aug-1950,83.8,53.3,8.5,3.2520000000000002,0
Sep-1950,80.2,39.5,8.776666666666667,2.168,0
Oct-1950,81.8,31.4,9.51290322580645,3.4990000000000006,0
Nov-1950,73.7,26.9,11.476666666666667,6.058,0.718
Dec-1950,56.2,-0.6,10.832258064516129,2.692,4.0569999999999995
Jan-1951,53.9,2.4,11.529032258064516,3.0280000000000005,9.158999999999999
Feb-1951,57,0.9,11.42857142857143,3.2389999999999994,3.9170000000000007
Mar-1951,57.4,20,12.148387096774195,3.9110000000000005,6.341
Apr-1951,71.6,32,11.413333333333334,3.2680000000000007,0
May-1951,83.4,38.7,10.16451612903226,3.8970000000000002,0
Jun-1951,82.2,47.8,9.043333333333333,2.6420000000000003,0
Jul-1951,86.4,57.6,9.106451612903225,3.5530000000000004,0
Aug-1951,85.8,52.3,7.974193548387098,2.6240000000000006,0
Sep-1951,81,39.4,9.289999999999997,2.2820000000000005,0
Oct-1951,77.8,36.6,9.92258064516129,4.724999999999999,0
Nov-1951,62.1,17.9,11.113333333333333,6.572999999999999,0.69
Dec-1951,56.7,1.4,12.012903225806452,4.098000000000001,5.658
Jan-1952,49.5,0.9,11.938709677419354,4.065,10.748000000000001
Feb-1952,48.7,9.9,12.26206896551724,1.637,11.112
Mar-1952,58,13.6,11.045161290322579,2.877,9.268
Apr-1952,73.8,29.1,10.530000000000001,6.154,0
May-1952,73,37,11.006451612903227,5.62,0
Jun-1952,95.4,53.6,9.706666666666667,3.1580000000000004,0
Jul-1952,91,54.9,8.780645161290321,4.856999999999998,0
Aug-1952,82.8,51.8,8.161290322580646,6.724999999999999,0
Sep-1952,85.8,46,8.56,3.0630000000000006,0
Oct-1952,72,29.9,10.735483870967743,0.646,0
Nov-1952,66.2,25.8,9.916666666666664,2.8880000000000003,0.331
Dec-1952,54,4.4,10.987096774193551,2.542,4.564
Jan-1953,51.3,17.1,11.296774193548385,3.8970000000000002,4.672000000000001
Feb-1953,56.9,10.2,11.989285714285714,2.735,5.325
Mar-1953,59.5,13.6,11.464516129032257,7.894999999999999,0.832
Apr-1953,67.5,31.6,11.816666666666666,6.221999999999999,2.785
May-1953,82.3,39,8.63225806451613,5.3069999999999995,0
Jun-1953,93.6,46.4,9.736666666666668,1.053,0
Jul-1953,95.2,54.9,9.474193548387099,3.99,0
Aug-1953,96.3,53.9,8.425806451612905,1.799,0
Sep-1953,98.8,40.7,10.113333333333333,2.686,0
Oct-1953,75.7,35.1,9.57741935483871,4.384,0
Nov-1953,64.9,27.4,9.759999999999996,4.003,6.452
Dec-1953,57.6,12.6,12.341935483870966,4.0200000000000005,0.084
Jan-1954,46.5,-6.3,11.377419354838706,0.887,14.232000000000001
Feb-1954,61.4,1.4,11.264285714285714,2.463,1.0260000000000002
Mar-1954,62.1,19.5,11.98387096774194,4.082999999999999,0.47
Apr-1954,74.2,18.8,11.32,4.4559999999999995,0.634
May-1954,75.1,38.7,9.85483870967742,5.837999999999999,0
Jun-1954,85.8,46.9,9.183333333333334,2.5130000000000003,0
Jul-1954,93.2,54,8.55483870967742,1.3,0
Aug-1954,87.4,52.6,10.09677419354839,7.697,0
Sep-1954,79.8,44.9,10.090000000000002,5.0169999999999995,0
Oct-1954,81.4,33,10.190322580645162,1.699,0
Nov-1954,61.9,26.5,10.616666666666667,6.943999999999998,0.083
Dec-1954,51.9,13.3,11.73225806451613,4.579000000000001,1.469
Jan-1955,43.7,7.5,11.76451612903226,0.29900000000000004,0.8630000000000001
Feb-1955,54,-2.8,10.27142857142857,2.905,3.7330000000000005
Mar-1955,60.6,12.6,12.496774193548388,3.4430000000000005,8.023
Apr-1955,73,29,11.299999999999999,3.983,5.2669999999999995
May-1955,80.4,36.9,9.509677419354839,2.3550000000000004,0
Jun-1955,83.4,48.5,8.636666666666667,2.96,0
Jul-1955,95,58.3,8.229032258064516,2.085,0
Aug-1955,95,51.1,9.548387096774192,10.544,0
Sep-1955,80.7,40.5,8.749999999999998,3.888,0
Oct-1955,75,31.7,11.370967741935486,12.576999999999998,0
Nov-1955,62.1,18.3,11.559999999999999,5.111,2.039
Dec-1955,48.3,-0.8,10.729032258064516,0.14,3.8100000000000005
Jan-1956,43,4.3,12.306451612903228,1.868,4.724
Feb-1956,49.7,6.8,11.241379310344831,2.7190000000000003,11.553999999999998
Mar-1956,52.4,5.8,12.183870967741937,1.419,27.238
Apr-1956,74.9,22,11.036666666666667,2.592,6.975
May-1956,83.8,32.8,11.380645161290323,2.7620000000000005,0
Jun-1956,90.8,47.9,9.396666666666665,2.259,0
Jul-1956,88.2,54,8.877419354838711,4.269,0
Aug-1956,88.3,53.8,8.758064516129032,1.6470000000000002,0
Sep-1956,82.1,38.8,9.386666666666665,3.6400000000000006,0
Oct-1956,77.2,33.7,9.151612903225805,1.923,0
Nov-1956,63.7,19,10.756666666666666,2.677,0.551
Dec-1956,58.4,7.7,10.85806451612903,3.838,6.54
Jan-1957,54.3,-13.5,11.016129032258062,0.867,11.578000000000001
Feb-1957,58.2,12.7,10.082142857142856,1.117,2.3169999999999997
Mar-1957,63.6,15.4,9.82258064516129,1.486,6.922000000000001
Apr-1957,79.2,28.6,10.896666666666668,2.8100000000000005,6.038999999999999
May-1957,81.2,35.1,9.893548387096773,1.83,0
Jun-1957,93.9,46,9.45,2.229,0
Jul-1957,95.4,54.7,9.277419354838711,1.835,0
Aug-1957,91.4,51.8,8.216129032258063,3.787,0
Sep-1957,87.3,39.4,9.319999999999999,2.0149999999999997,0
Oct-1957,72.4,31.5,10.100000000000001,2.834,0.056
Nov-1957,62,20.1,11.653333333333334,3.833,0.056
Dec-1957,56.4,13.3,12.119354838709677,6.687999999999999,6.561
Jan-1958,48,1.3,12.319354838709677,4.286,14.133
Feb-1958,42.3,-6.5,12.867857142857142,1.2389999999999999,15.581
Mar-1958,52.3,20.6,11.732258064516127,2.045,17.617
Apr-1958,71.4,26.8,11.376666666666665,5.042,3.363
May-1958,76,36.8,10.106451612903227,4.633,0
Jun-1958,84.5,45.8,9.756666666666664,3.2030000000000003,0
Jul-1958,89.5,56.4,8.358064516129033,4.747,0
Aug-1958,84.7,56.4,9.261290322580646,4.284999999999999,0
Sep-1958,82.1,43.9,9.283333333333337,4.155,0
Oct-1958,75.7,32.8,10.112903225806452,3.5390000000000006,0
Nov-1958,59.6,14.4,11.436666666666667,3.327,1.794
Dec-1958,46.8,2.6,11.370967741935484,0.7090000000000001,3.2060000000000004
Jan-1959,53,4.5,13.009677419354839,2.345,2.983
Feb-1959,47.4,1.8,11.49642857142857,2.46,3.535
Mar-1959,63.3,14.8,12.40967741935484,2.666000000000001,14.809999999999999
Apr-1959,72.3,30.2,10.266666666666664,3.7350000000000003,0.359
May-1959,86.1,40,9.809677419354838,1.7360000000000002,0
Jun-1959,91,48.5,9.316666666666666,4.803,0
Jul-1959,84.6,57.5,8.496774193548385,6.4289999999999985,0
Aug-1959,88.3,55.7,8.048387096774194,5.245,0
Sep-1959,84.6,41.3,8.446666666666667,1.6300000000000001,0
Oct-1959,81.7,31.5,10.1,5.559,0
Nov-1959,66.6,21.9,11.93,5.629,0.692
Dec-1959,53.7,5.6,11.087096774193546,4.0040000000000004,4.497
Jan-1960,48.7,12.7,11.71935483870968,2.258,7.236000000000001
Feb-1960,56.1,16.8,14.124137931034484,3.6490000000000005,7.750000000000001
Mar-1960,56.7,0,11.454838709677418,1.58,14.644
Apr-1960,78.6,28,10.67666666666667,3.044,0.524
May-1960,76.5,37.8,9.241935483870966,4.463000000000001,0
Jun-1960,86.4,49.4,9.49,2.011,0
Jul-1960,87.3,55.4,9.593548387096773,6.295,0
Aug-1960,85.1,52.9,8.558064516129033,4.312,0
Sep-1960,82.3,48,8.46,5.890999999999999,0
Oct-1960,75.2,32.8,10.209677419354836,2.7760000000000002,0.028
Nov-1960,60.8,25.6,10.48,3.371,0
Dec-1960,53.9,-1.7,10.780645161290321,1.445,13.926999999999998
Jan-1961,46.8,-6.9,11.464516129032255,0.747,14.31
Feb-1961,52.4,-9,10.514285714285716,2.282,13.921
Mar-1961,62.6,7.2,11.138709677419353,2.072,12.741000000000001
Apr-1961,72,29.7,12.08666666666667,4.488999999999999,4.468
May-1961,75.7,35.1,10.270967741935483,4.212,0
Jun-1961,87.1,47.6,9.690000000000003,3.848,0
Jul-1961,87.2,54.9,7.825806451612904,3.917,0
Aug-1961,85.3,53.7,8.519354838709676,4.486999999999999,0
Sep-1961,90,44.8,9.21,3.701,0
Oct-1961,74.4,34.5,9.780645161290321,3.1140000000000003,0
Nov-1961,67.2,26.5,11.51,2.395,4.826
Dec-1961,51.6,3.6,11.316129032258065,1.7189999999999999,10.478000000000002
Jan-1962,49.4,4.1,11.53225806451613,3.6760000000000006,1.826
Feb-1962,49.5,-6.3,10.492857142857142,1.694,24.848
Mar-1962,66.3,2.7,12.35483870967742,1.452,2.2729999999999997
Apr-1962,78.8,27,11.686666666666666,3.263,0
May-1962,90.9,38.4,9.722580645161294,0.8340000000000001,0
Jun-1962,88,51.5,9.229999999999997,2.488,0
Jul-1962,91.4,55.1,8.912903225806453,1.9170000000000003,0
Aug-1962,85.1,54.6,9.606451612903227,2.6400000000000006,0
Sep-1962,82,40.5,9.83,3.6969999999999996,0
Oct-1962,75.6,30.3,10.283870967741937,3.525,1.682
Nov-1962,56.7,26,11.03333333333333,3.558,2.0669999999999997
Dec-1962,58.2,-9,11.561290322580646,2.0869999999999997,8.115
Jan-1963,45.9,-1.5,9.996774193548385,1.7560000000000002,7.009
Feb-1963,42.7,-5.4,11.900000000000002,1.807,8.607000000000001
