month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,47.3,-8.6,10.345161290322581,4.611999999999999,26.241999999999997
Feb-1950,54.7,-2.1,9.93214285714286,9.443,3.626000000000001
Mar-1950,56.1,27.9,9.709677419354838,10.261999999999993,2.247
Apr-1950,69.5,32.2,9.07,5.285,0.196
May-1950,75.6,34.4,8.070967741935485,1.7200000000000002,0
Jun-1950,83.5,43,7.7733333333333325,1.5010000000000003,0
Jul-1950,88.5,48.9,7.6967741935483875,0.968,0
Aug-1950,86.9,49,7.300000000000001,1.7500000000000002,0
Sep-1950,85.8,40.2,6.96,1.802,0
Oct-1950,66.2,39.6,9.9,11.833,0
Nov-1950,65.4,27.2,9.953333333333335,10.033,4.006
Dec-1950,55.2,31.5,9.429032258064515,10.716,0.336
Jan-1951,49.6,18.3,10.980645161290324,8.883,11.264999999999999
Feb-1951,53,27.4,8.439285714285713,7.098999999999998,1.472
Mar-1951,62.2,19.9,9.55483870967742,3.46,12.457
Apr-1951,74.9,33.9,7.356666666666666,1.07,0
May-1951,78.3,35.5,8.045161290322582,2.5750000000000006,0
Jun-1951,93,45.2,7.746666666666668,0.4610000000000001,0
Jul-1951,93.9,50.7,7.699999999999999,0.25,0
Aug-1951,89.4,46.5,7.241935483870966,1.075,0
Sep-1951,85.2,47,7.623333333333336,3.588,0
Oct-1951,76.1,34.5,9.538709677419355,7.2330000000000005,0
Nov-1951,55,29.5,9.326666666666664,8.639,0
Dec-1951,48.8,22.7,9.290322580645164,6.082,5.367
Jan-1952,55,10.8,9.938709677419356,6.0680000000000005,12.789000000000001
Feb-1952,57.1,22.3,7.489655172413794,5.037999999999999,4.009
Mar-1952,60.9,28.5,9.470967741935485,4.902000000000001,1.7000000000000002
Apr-1952,70.3,30,7.783333333333332,3.418,0
May-1952,78.9,33.7,7.264516129032258,2.3200000000000003,0
Jun-1952,77.7,42.4,8.046666666666669,1.693,0
Jul-1952,93,47.8,7.82258064516129,0.235,0
Aug-1952,93.3,49.3,7.774193548387098,0.772,0
Sep-1952,86.7,45,7.256666666666667,0.635,0
Oct-1952,80.4,41.7,6.690322580645162,1.9010000000000002,0
Nov-1952,60.6,27.1,7.339999999999999,2.2880000000000003,0
Dec-1952,55.7,27.6,10.5,8.742999999999999,1.6940000000000004
Jan-1953,54.3,31.4,12.009677419354839,19.108,1.114
Feb-1953,50.2,28.6,8.471428571428572,7.017999999999997,2.632
Mar-1953,66.8,28,8.87741935483871,6.247000000000001,0.8320000000000001
Apr-1953,67.1,30,7.736666666666668,4.1899999999999995,0.28
May-1953,80.9,38.2,8.193548387096772,3.748,0
Jun-1953,73.8,45,7.673333333333332,2.1730000000000005,0
Jul-1953,88.7,47.4,6.4806451612903215,0.623,0
Aug-1953,90.9,51.3,7.316129032258064,1.991,0
Sep-1953,88.6,46.2,7.403333333333335,3.632,0
Oct-1953,74.6,36.2,7.025806451612903,5.257,0
Nov-1953,60,33.9,9.639999999999999,12.402000000000001,0
Dec-1953,52.9,30.6,10.04516129032258,11.158999999999997,0.8650000000000001
Jan-1954,50.2,6.3,10.796774193548384,11.132000000000001,20.889999999999997
Feb-1954,55.4,23.5,9.971428571428573,8.845999999999997,2.375
Mar-1954,57.7,27,8.590322580645163,4.545000000000001,0.387
Apr-1954,68.7,31.1,9.293333333333333,5.842999999999999,0.224
May-1954,77.2,33.1,7.264516129032258,2.2110000000000003,0
Jun-1954,76.8,43,7.656666666666666,3.4630000000000005,0
Jul-1954,80,46.1,6.467741935483871,1.4569999999999999,0
Aug-1954,80.4,48.9,6.738709677419356,1.4280000000000004,0
Sep-1954,76.8,44.9,6.526666666666668,2.4570000000000003,0
Oct-1954,71.6,34,7.741935483870969,4.878,0
Nov-1954,62.1,29,9.093333333333335,10.132999999999997,0
Dec-1954,50.7,26.1,9.82258064516129,7.8790000000000004,1.967
Jan-1955,50.7,25.5,7.529032258064517,3.7270000000000003,4.529
Feb-1955,49.8,26.6,9.378571428571428,5.221999999999999,6.272
Mar-1955,60.4,9.8,9.638709677419355,5.656999999999999,8.907
Apr-1955,68.9,30.1,9.043333333333333,5.641999999999998,1.45
May-1955,71.4,36.1,8.016129032258064,1.693,0
Jun-1955,89.7,43.5,7.886666666666668,1.754,0
Jul-1955,84.2,44.2,7.083870967741934,2.422,0
Aug-1955,87,47.9,6.55483870967742,0.15200000000000002,0
Sep-1955,91.8,44.4,7.450000000000001,2.064,0
Oct-1955,69.5,37.6,9.64516129032258,8.662999999999997,0.084
Nov-1955,60.9,16.5,10.136666666666665,9.971000000000002,5.572999999999999
Dec-1955,53.3,23.6,9.648387096774192,11.056999999999999,9.022
Jan-1956,54.3,16,9.874193548387096,11.515999999999998,4.489
Feb-1956,48.4,14.7,9.83448275862069,3.9990000000000006,7.9239999999999995
Mar-1956,64.6,20.1,9.916129032258063,10.152000000000001,7.932
Apr-1956,76.7,30.5,7.676666666666666,0.7940000000000002,0
May-1956,87.8,37,7.896774193548388,1.449,0
Jun-1956,76.8,43.8,7.866666666666665,3.983,0
Jul-1956,97.2,48.6,7.416129032258064,0.243,0
Aug-1956,89.6,51.6,6.758064516129033,0.774,0
Sep-1956,85,46.3,7.173333333333334,2.81,0
Oct-1956,70.5,32.9,9.661290322580644,9.254999999999999,0.056
Nov-1956,58.1,27.3,6.943333333333333,2.3,0.084
Dec-1956,51.6,22.9,10.070967741935483,8.478,2.409
Jan-1957,47.3,1.6,7.961290322580647,2.1020000000000003,9.948999999999998
Feb-1957,56.7,17.5,9.25357142857143,6.032,7.252
Mar-1957,59.6,30.6,9.33225806451613,9.609,0.922
Apr-1957,77.4,34.5,8.416666666666666,3.013,0.028
May-1957,80,41.7,7.438709677419354,2.075,0
Jun-1957,77.2,47.4,8,1.685,0
Jul-1957,83.7,49.7,8.03225806451613,0.812,0
Aug-1957,81.3,49.4,6.641935483870968,1.0070000000000001,0
Sep-1957,87.4,48.9,7.296666666666665,0.639,0
Oct-1957,70.6,37.2,7.554838709677421,5.598999999999998,0
Nov-1957,57,31.5,8.029999999999998,4.73,0
Dec-1957,57.9,29.2,11.422580645161291,10.251,1.112
Jan-1958,52,29.6,9.938709677419354,9.709000000000001,0
Feb-1958,63.5,32.2,8.199999999999998,8.727000000000002,0.028
Mar-1958,58,29.3,8.393548387096777,2.9539999999999997,1.19
Apr-1958,71.8,31.6,8.903333333333334,6.168999999999999,0
May-1958,87.6,38.7,7.4806451612903215,1.4569999999999999,0
Jun-1958,90.9,50,7.946666666666667,1.6930000000000003,0
Jul-1958,98.1,51.6,7.577419354838711,0.004,0
Aug-1958,93.3,52.1,7.4483870967741925,0.601,0
Sep-1958,89.1,42.3,8.433333333333334,2.011,0
Oct-1958,74.4,39.6,8.516129032258064,4.115,0
Nov-1958,57.9,24.3,10.366666666666665,12.716999999999997,0.471
Dec-1958,56.1,32.7,9.825806451612902,9.817999999999998,0
Jan-1959,50.9,18.6,9.77741935483871,10.216,3.5029999999999997
Feb-1959,53.5,21.5,8.635714285714286,4.644000000000001,4.889000000000001
Mar-1959,62.4,31.8,9.954838709677418,7.472000000000001,0.669
Apr-1959,69.6,33.2,8.793333333333333,5.179,0.084
May-1959,76.6,33.7,8.348387096774195,3.4690000000000003,0
Jun-1959,82.1,45.3,7.436666666666666,3.4140000000000006,0
Jul-1959,93.8,48.3,7.67741935483871,0.7770000000000001,0
Aug-1959,83.5,48.5,7.974193548387097,0.9169999999999999,0
Sep-1959,77.2,40.8,9.139999999999997,5.146,0
Oct-1959,67.4,37.1,8.051612903225807,5.470999999999999,0
Nov-1959,61.4,28.2,10.066666666666668,8.084,0
Dec-1959,54.1,26.2,8.809677419354838,7.991,0.196
