month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,67.4,-4,13.483870967741936,3.386,5.269
Feb-1950,47.5,-6.8,12.114285714285714,1.9860000000000002,8.779
Mar-1950,70.8,-0.6,14.3258064516129,1.961,4.808
Apr-1950,76.5,22.9,13.743333333333336,4.3020000000000005,0.441
May-1950,85.3,36.3,11.554838709677421,2.301,0
Jun-1950,90.5,48.2,12.103333333333335,4.380999999999999,0
Jul-1950,88,52.5,9.096774193548388,3.1660000000000004,0
Aug-1950,86.9,48.3,8.964516129032255,2.571,0
Sep-1950,81.4,42.6,9.430000000000001,3.777,0
Oct-1950,79.9,37.3,10.483870967741934,1.401,0
Nov-1950,78.4,7.1,13.106666666666671,1.566,2.733
Dec-1950,55.8,-9.2,10.793548387096775,0.887,6.036999999999999
Jan-1951,59.2,-12.4,11.983870967741934,0.9690000000000001,4.974
Feb-1951,59.9,-15.7,12.19285714285714,3.284,7.888999999999999
Mar-1951,66.6,5.1,13.922580645161293,2.068,12.546999999999999
Apr-1951,80.7,24.8,12.460000000000003,3.6670000000000003,1.82
May-1951,84,39.3,11.693548387096774,3.1680000000000006,0
Jun-1951,89.3,50.9,9.32,4.614,0
Jul-1951,90.1,54.5,9.21290322580645,4.363,0
Aug-1951,92.2,54.6,9.261290322580646,3.8400000000000003,0
Sep-1951,85.2,40.4,11.693333333333333,3.665,0
Oct-1951,83.6,33.3,12.096774193548383,3.0620000000000003,0
Nov-1951,59.4,8.1,13.273333333333335,2.567,7.638000000000001
Dec-1951,63.1,-13.3,13.29032258064516,0.41300000000000003,14.374999999999998
Jan-1952,59.9,-1,12.667741935483868,1.8719999999999999,4.113999999999999
Feb-1952,54.3,15.7,11.962068965517243,0.85,4.943
Mar-1952,62.3,1,13.419354838709676,3.2750000000000004,7.806
Apr-1952,82.6,28.8,11.26,4.0009999999999994,0.416
May-1952,85.1,40.1,11.02258064516129,4.646999999999999,0
Jun-1952,96.8,49.4,10.326666666666666,2.1140000000000003,0
Jul-1952,95.2,60.5,10.493548387096773,2.6570000000000005,0
Aug-1952,90.5,54.5,8.851612903225805,3.645,0
Sep-1952,90.6,44.7,9.67,1.773,0
Oct-1952,82.2,26,11.58064516129032,0.504,0
Nov-1952,72,15.9,12.573333333333329,2.3640000000000003,0.30800000000000005
Dec-1952,59.4,18.1,10.932258064516128,1.3990000000000002,4.941999999999999
Jan-1953,58.4,12.1,11.793548387096775,0.718,7.450999999999999
Feb-1953,54.8,6.6,13.900000000000002,1.3860000000000001,1.3800000000000001
Mar-1953,71.6,3.2,13.045161290322579,4.005,7.998
Apr-1953,75.7,27.5,14.263333333333332,3.9340000000000006,0.83
May-1953,87.2,40.5,12.070967741935483,5.803000000000001,0
Jun-1953,95.4,54.9,11.166666666666666,1.8930000000000002,0
Jul-1953,95.9,56.6,8.493548387096777,1.8050000000000004,0
Aug-1953,97.5,58,8.596774193548388,0.734,0
Sep-1953,97.6,43.9,12.043333333333335,1.5290000000000001,0
Oct-1953,89.6,36.4,9.78387096774194,1.1620000000000001,0
Nov-1953,71,20.9,12.18,0.925,1.714
Dec-1953,55.8,-0.1,13.867741935483876,2.107,4.138999999999999
Jan-1954,49.2,-1.8,12.206451612903225,0.865,2.1580000000000004
Feb-1954,68.3,13.4,13.55357142857143,1.891,2.758
Mar-1954,63.8,5,13.099999999999998,2.773,7.833
Apr-1954,80.7,10.4,13.073333333333334,4.624999999999999,0.028
May-1954,85.2,33.5,12.203225806451611,1.919,0
Jun-1954,96.9,47.8,10.45,1.8770000000000002,0
Jul-1954,101,57.7,9.138709677419355,2.5320000000000005,0
Aug-1954,92.7,56.8,8.838709677419354,3.056,0
Sep-1954,97.5,47,11.090000000000003,2.989,0
Oct-1954,86,25.6,11.451612903225808,3.7510000000000003,0
Nov-1954,66.4,23.5,11.236666666666663,1.785,2.795
Dec-1954,51.6,12.1,11.66451612903226,1.054,6.856
Jan-1955,53.2,-16.5,11.774193548387096,1.927,5.308999999999999
Feb-1955,53.6,-14.7,10.985714285714284,1.9360000000000002,4.032
Mar-1955,70.2,3.3,12.990322580645163,1.422,5.682
Apr-1955,77.6,32.3,12.653333333333338,3.2190000000000003,0
May-1955,85.3,44.8,12.393548387096773,4.719,0
Jun-1955,87.4,50,9.483333333333333,2.7020000000000004,0
Jul-1955,95.5,65,7.625806451612902,2.35,0
Aug-1955,94.5,59.6,8.89032258064516,3.593,0
Sep-1955,93.4,46.6,10.513333333333332,2.4080000000000004,0
Oct-1955,76.8,35.1,12.748387096774195,5.605,0.111
Nov-1955,69.7,10.4,13.413333333333332,0.782,2.6460000000000004
Dec-1955,53.6,4.2,11.27741935483871,0.21300000000000002,3.0080000000000005
Jan-1956,48.8,2.1,9.832258064516129,0.338,3.348
Feb-1956,54.1,9.4,10.334482758620691,0.845,8.828999999999999
Mar-1956,72.8,15.3,13.690322580645157,1.55,2.27
Apr-1956,79.2,29.5,14.376666666666667,3.7929999999999997,0.306
May-1956,86.9,38.8,14.022580645161288,3.3520000000000003,0
Jun-1956,90.1,44.6,9.066666666666666,2.21,0
Jul-1956,94.8,57.3,9.870967741935484,4.886000000000001,0
Aug-1956,91.8,51.6,10.261290322580646,2.7340000000000004,0
Sep-1956,93.7,42.8,10.813333333333334,0.762,0
Oct-1956,82,40.5,11.070967741935483,1.061,0
Nov-1956,71.6,16.9,13.92,2.1370000000000005,1.165
Dec-1956,59.6,6.1,10.838709677419352,0.7240000000000001,6.863999999999999
Jan-1957,57.9,-17.2,11.580645161290324,0.8400000000000001,9.668999999999999
Feb-1957,59.5,10.3,10.907142857142858,1.677,1.2730000000000001
Mar-1957,65,17.5,12.341935483870966,1.557,6.669
Apr-1957,79.4,22.3,12.54,5.186000000000001,1.9340000000000002
May-1957,80.5,35.3,12.590322580645163,5.706999999999999,0
Jun-1957,87.5,45.7,10.853333333333333,4.922,0
Jul-1957,89.9,59.9,9.461290322580647,4.2010000000000005,0
Aug-1957,90.9,54.1,8.30967741935484,1.3930000000000002,0
Sep-1957,88.3,43.1,9.536666666666667,1.241,0
Oct-1957,74.4,32,10.374193548387098,2.7600000000000002,0
Nov-1957,61.5,14.9,14.153333333333336,3.2550000000000003,0.196
Dec-1957,55.7,5.5,13.887096774193548,2.399,4.936
Jan-1958,40.8,-10.3,10.164516129032258,0.08,8.613999999999999
Feb-1958,60.7,-12.2,11.896428571428572,0.603,1.387
Mar-1958,55.9,22.9,10.716129032258063,0.29500000000000004,0.585
Apr-1958,77.2,33,11.933333333333332,4.121999999999999,0
May-1958,84.5,37.4,10.819354838709677,3.3500000000000005,0
Jun-1958,88.7,52.2,10.666666666666664,3.481,0
Jul-1958,85.9,58.9,8.893548387096773,6.629999999999998,0
Aug-1958,90.6,53,9.16774193548387,1.915,0
Sep-1958,86.1,44.6,11.20333333333333,2.523,0
Oct-1958,77.9,35.5,11.367741935483869,1.1410000000000002,0
Nov-1958,70.9,8.3,13.79,2.6109999999999998,1.4340000000000002
Dec-1958,49.6,-7,11.161290322580646,0.06,2.4110000000000005
