month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,66.7,1,14.0483870967742,0.008,0.694
Feb-1950,67.6,9.5,11.696428571428571,0.05600000000000001,0.72
Mar-1950,74.3,8.3,15.00967741935484,0.052000000000000005,0.971
Apr-1950,81.8,23.9,14.32333333333333,0.9110000000000001,1.298
May-1950,88.1,30.5,15.158064516129034,1.325,0.111
Jun-1950,98,43.6,14.806666666666667,1.064,0
Jul-1950,96.1,56.4,11.258064516129034,2.6400000000000006,0
Aug-1950,93.8,52.6,11.97741935483871,0.46199999999999997,0
Sep-1950,90.6,44.1,11.94,2.044,0
Oct-1950,87.3,37.2,12.170967741935485,0.004,0
Nov-1950,72.5,4.1,11.063333333333333,0.149,1.2730000000000001
Dec-1950,64.4,7.7,8.783870967741935,0.099,0.7470000000000001
Jan-1951,65,-4.2,11.074193548387097,0.012,3.9349999999999996
Feb-1951,69.4,-30.2,11.453571428571431,0.068,1.106
Mar-1951,69.4,11.9,14.009677419354837,0.252,3.6790000000000003
Apr-1951,79.8,20.1,15.020000000000001,1.0540000000000003,2.765
May-1951,96.1,34.9,13.429032258064517,1.572,0
Jun-1951,97,38.5,14.446666666666667,1.2550000000000001,0
Jul-1951,103.3,51.8,13.358064516129028,1.3619999999999999,0
Aug-1951,98.8,55.1,13.651612903225807,1.58,0
Sep-1951,94.5,36.9,14.180000000000001,0.4640000000000001,0
Oct-1951,85.9,27.3,11.229032258064517,0.9630000000000001,0.332
Nov-1951,61.5,-7.2,9.583333333333332,0.108,6.372
Dec-1951,58.9,-13,12.593548387096776,0.06,2.129
Jan-1952,57.3,10.9,12.061290322580646,0.024,0.636
Feb-1952,63.3,8.9,12.26551724137931,0.12,1.197
Mar-1952,66.4,-6.3,13.851612903225806,0.28200000000000003,5.633
Apr-1952,79.8,22,12.91,2.605,2.126
May-1952,87.1,36.7,12.448387096774194,2.025,0.028
Jun-1952,102,52.3,14.57,0.08399999999999999,0
Jul-1952,99.5,55,13.538709677419355,0.9210000000000002,0
Aug-1952,98.1,55.1,11.232258064516131,1.7650000000000001,0
Sep-1952,94.1,44.2,11.776666666666667,0.5310000000000001,0
Oct-1952,82.8,28.6,10.193548387096774,0.088,0.084
Nov-1952,72.6,-15,10.376666666666665,0.221,6.0200000000000005
Dec-1952,57.9,-6.8,9.89032258064516,0.088,2.2670000000000003
Jan-1953,61.9,13.6,12.080645161290326,0.044,0.8610000000000001
Feb-1953,64.8,4.9,12.914285714285715,0.016,1.437
Mar-1953,78.9,15.3,13.825806451612898,0.621,1.021
Apr-1953,82.5,17.8,14.423333333333337,0.774,2.87
May-1953,90.7,28.1,15.548387096774192,1.642,2.651
Jun-1953,100.3,49.2,15.433333333333332,0.6930000000000001,0
Jul-1953,100.9,58.7,13.406451612903224,0.7420000000000002,0
Aug-1953,97.3,54.9,13.025806451612905,1.334,0
Sep-1953,94,47.3,13.273333333333335,0.063,0
Oct-1953,85.6,30.2,11.361290322580649,0.248,0.056
Nov-1953,73.8,1.4,10.54,0.33499999999999996,3.2619999999999996
Dec-1953,54.1,1.8,11.40967741935484,0.04000000000000001,3.9550000000000005
Jan-1954,63.4,6.7,10.93870967741935,0,1.7969999999999997
Feb-1954,71.5,8.8,14.610714285714284,0.07200000000000001,1.135
Mar-1954,70.9,-0.3,15.267741935483873,0.415,1.603
Apr-1954,84.2,24.1,15.376666666666669,0.493,0
May-1954,92.1,23.1,12.774193548387096,0.921,3.891
Jun-1954,104.4,42.9,16.476666666666663,0.22300000000000003,0
Jul-1954,102.1,60.7,12.574193548387097,1.2770000000000001,0
Aug-1954,99.4,56,12.23225806451613,1.7459999999999998,0
Sep-1954,95.1,44.6,12.156666666666666,0.34,0
Oct-1954,88.6,27,11.358064516129033,1.248,0.084
Nov-1954,70.7,22.4,10.906666666666668,0.15600000000000003,0.581
Dec-1954,61.5,-4.4,11.206451612903226,0.008,2.3770000000000002
Jan-1955,53.2,4.3,9.59032258064516,0.028,1.0530000000000002
Feb-1955,56.2,-11.7,11.410714285714286,0.012,6.732
Mar-1955,74,8.6,16.45483870967742,0.056,2.0829999999999997
Apr-1955,82.4,25.5,17.970000000000006,0.23899999999999996,1.7690000000000003
May-1955,86.1,38.3,15.025806451612901,3.357,0
Jun-1955,96.4,42.8,14.586666666666668,0.6970000000000001,0
Jul-1955,99.6,57.1,14.009677419354837,0.8109999999999999,0
Aug-1955,96,50.8,10.658064516129029,3.186000000000001,0
Sep-1955,92.9,41.5,12.74333333333333,1.8,0
Oct-1955,84,28.9,11.145161290322582,0.27,0.111
Nov-1955,71.9,8.4,12.313333333333333,0.092,1.709
Dec-1955,66.4,3.6,11.72258064516129,0.004,0.9950000000000001
Jan-1956,64.2,-6.1,9.470967741935484,0.008,6.314
Feb-1956,55.9,-16.8,10.275862068965518,0.016,3.7830000000000004
Mar-1956,72.4,-6.4,12.574193548387093,0.028,8.854
Apr-1956,78.9,23.8,13.353333333333332,2.027,2.182
May-1956,88.4,34.3,14.145161290322582,1.8510000000000002,0
Jun-1956,96.5,53.2,14.816666666666666,0.309,0
Jul-1956,96.6,57.2,13.1258064516129,0.9019999999999999,0
Aug-1956,96.3,49.3,12.116129032258065,2.386,0
Sep-1956,94.4,46.7,12.633333333333333,0.055999999999999994,0
Oct-1956,85,32.5,12.709677419354833,0.197,0
Nov-1956,70.3,2,10.926666666666668,0.048,6.26
Dec-1956,54.5,2.4,10.22258064516129,0.076,2.515
Jan-1957,50.9,3,10.474193548387095,0.04400000000000001,2.3840000000000003
Feb-1957,67.7,8.9,10.639285714285716,0.192,0.9950000000000001
Mar-1957,70.2,18.3,15.503225806451612,0.399,2.435
Apr-1957,73.4,0.7,12.903333333333334,2.0060000000000002,19.383
May-1957,79,33.1,12.567741935483872,4.617,0.498
Jun-1957,99.7,43.5,12.453333333333335,1.4210000000000003,0
Jul-1957,102.1,59.9,10.816129032258063,1.734,0
Aug-1957,93.2,57.8,11.783870967741937,0.896,0
Sep-1957,88.7,43.2,12.313333333333336,0.4730000000000001,0
Oct-1957,85.6,28.4,10.574193548387097,1.8110000000000004,0
Nov-1957,60.8,-6.5,10.246666666666668,0.7500000000000002,5.683
Dec-1957,56.7,14.1,12.432258064516127,0.016,0.195
Jan-1958,56.1,8.1,9.883870967741936,0,2.4130000000000003
Feb-1958,64.4,9.4,10.057142857142859,0.18000000000000002,3.075
Mar-1958,63.4,10.7,11.706451612903226,0.6360000000000001,7.119999999999999
Apr-1958,76.7,22,15.690000000000003,1.203,6.5120000000000005
May-1958,90.6,38.6,11.625806451612902,2.5560000000000005,0
Jun-1958,96.5,49,14.243333333333336,1.6290000000000002,0
Jul-1958,95.7,53.8,12.706451612903228,2.4,0
Aug-1958,97,55.8,12.445161290322579,0.266,0
Sep-1958,94.7,43.5,14.069999999999999,0.9150000000000001,0
Oct-1958,83.9,25.7,10.461290322580645,0.56,0.194
Nov-1958,71.6,10.5,10.999999999999998,0.004,2.0940000000000003
Dec-1958,63.6,10.1,10.412903225806453,0.06,2.548
Jan-1959,55.5,-26,9.880645161290323,0.06,7.125
Feb-1959,58.9,-2.3,10.242857142857142,0.084,2.3230000000000004
Mar-1959,65.9,6,14.83225806451613,0.6759999999999999,7.941999999999998
Apr-1959,81.5,5.3,12.42,0.29600000000000004,7.921000000000001
May-1959,86.1,38.8,14.516129032258064,3.008,0
Jun-1959,95.5,47.9,12.720000000000002,0.8820000000000002,0
Jul-1959,97.1,55.6,13.129032258064516,0.7170000000000001,0
Aug-1959,96.5,55.7,12.180645161290323,2.265,0
Sep-1959,95,30.4,13.32,1.0670000000000002,9.947
Oct-1959,80,15.8,9.36774193548387,0.749,7.169999999999999
Nov-1959,64.8,10.3,11.850000000000001,0.032,0.9430000000000001
Dec-1959,60.8,15.8,9.764516129032259,0.14300000000000002,0.971
Jan-1960,56.5,-15.7,9.470967741935484,0.06,5.705
Feb-1960,51.8,-15,9.824137931034484,0.02,10.215999999999998
Mar-1960,72.4,-9.4,11.696774193548386,0.18,3.3970000000000002
Apr-1960,85.2,26.6,15.523333333333333,0.706,0.223
May-1960,90.2,32.2,13.883870967741938,0.9100000000000001,0
Jun-1960,101.6,49.5,14.283333333333331,1.0490000000000002,0
Jul-1960,100.6,55.6,12.687096774193547,1.75,0
Aug-1960,97.5,53.6,13.525806451612901,0.868,0
Sep-1960,95.4,44.1,11.250000000000004,1.963,0
Oct-1960,82.9,28.9,12.24516129032258,2.719,2.6780000000000004
Nov-1960,66.3,14.9,11.043333333333333,0.067,1.931
Dec-1960,59.9,-0.8,8.822580645161292,0.048,7.755000000000001
Jan-1961,56.8,-4.7,9.641935483870968,0,0.7769999999999999
Feb-1961,63.1,7.7,10.835714285714289,0.04400000000000001,6.492
Mar-1961,66.8,1.8,12.567741935483872,0.44700000000000006,6.381
Apr-1961,79.2,17.2,16.39333333333333,0.29200000000000004,3.397
May-1961,90.1,34.9,14.406451612903224,1.9600000000000002,0
Jun-1961,96.7,49.8,11.566666666666668,1.9780000000000002,0
Jul-1961,94.4,53,10.583870967741936,2.8550000000000004,0
Aug-1961,90.2,54.4,9.496774193548388,2.998,0
Sep-1961,87.5,36.1,13.133333333333336,0.736,0
Oct-1961,81.6,26.2,11.067741935483868,0.41300000000000003,5.044
Nov-1961,60.7,1.8,9.693333333333332,0.08,5.081
Dec-1961,56.7,-26.6,9.793548387096777,0,5.08
Jan-1962,59,-32.7,9.503225806451614,0.02,3.3790000000000004
Feb-1962,68.9,-9.9,12.092857142857143,0.044,2.9560000000000004
Mar-1962,73.5,-6.7,12.75806451612903,0.096,6.346
Apr-1962,85,13.1,12.733333333333333,0.8899999999999999,1.85
May-1962,93.2,24.9,15.864516129032259,0.5209999999999999,0
Jun-1962,95.4,43.6,13.966666666666665,1.5350000000000001,0
Jul-1962,95.9,56.1,12.832258064516129,2.2730000000000006,0
Aug-1962,99.7,53.7,13.306451612903224,0.42700000000000005,0
Sep-1962,90.7,40.4,12.013333333333334,0.928,0.028
Oct-1962,86,36.1,11.345161290322583,0.195,0
Nov-1962,69.8,1.4,9.110000000000001,0.18000000000000002,4.163
Dec-1962,61.3,-0.3,8.877419354838711,0.07200000000000001,1.3530000000000002
Jan-1963,59,-37.1,10.464516129032257,0.04,4.749999999999999
Feb-1963,69.4,-2.4,11.028571428571428,0.156,1.9420000000000002
Mar-1963,78.3,-0.3,13.667741935483871,0.10000000000000003,4.775
Apr-1963,82.6,31.9,17.38333333333333,0.004,0
May-1963,93,39.4,14.93548387096774,0.8170000000000002,0
Jun-1963,99.6,49.9,15.046666666666665,2.2470000000000003,0
Jul-1963,99.4,58.6,13.074193548387097,1.241,0
Aug-1963,98.7,55.4,11.264516129032257,2.8810000000000007,0
Sep-1963,91.4,46.7,10.636666666666665,1.387,0
Oct-1963,85.6,32.7,10.629032258064516,0.6759999999999999,0.911
Nov-1963,69.8,22.9,9.4,0.132,0.525
Dec-1963,57.2,3,8.735483870967743,0.004,4.306
Jan-1964,56.1,-9.2,12.7741935483871,0.008,1.9100000000000001
Feb-1964,55.6,-3.5,13.117241379310347,0,6.143
Mar-1964,70,-8.5,12.629032258064514,0.052000000000000005,4.449999999999999
Apr-1964,79.3,22.1,16.423333333333332,0.24800000000000003,1.189
May-1964,93.7,37.1,16.341935483870973,1.747,0
Jun-1964,95.5,39.6,14.803333333333336,0.323,0
Jul-1964,101.3,57.3,13.629032258064516,0.7660000000000001,0
Aug-1964,95.2,51.4,13.52258064516129,0.9269999999999999,0
Sep-1964,94,39.1,12.499999999999998,0.669,0
Oct-1964,87.2,33.2,10.48709677419355,0.036000000000000004,0
