month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,40.8,-30.4,13.23548387096774,0.43100000000000005,10.053
Feb-1950,38.4,-13.1,11.767857142857142,0.068,8.089
Mar-1950,51,-11.2,12.961290322580645,2.224,9.225
Apr-1950,63.9,18.9,14.066666666666668,2.5640000000000005,5.796999999999999
May-1950,82.1,27.9,13.225806451612906,5.345,0
Jun-1950,88.5,43.7,13.796666666666665,4.189,0
Jul-1950,82.4,50.4,9.980645161290324,4.906999999999999,0
Aug-1950,86.5,43.8,10.438709677419356,2.3080000000000003,0
Sep-1950,77.7,36.8,9.950000000000001,2.952,0
Oct-1950,78.2,32.1,12.129032258064518,0.875,0
Nov-1950,58.8,-2.1,13.74,0.806,4.83
Dec-1950,36.9,-19.6,11.535483870967742,0.092,13.645999999999999
Jan-1951,37.8,-31.1,11.21935483870968,0.02,6.3790000000000004
Feb-1951,42.1,-19.2,11.546428571428573,1.2630000000000001,6.2379999999999995
Mar-1951,45.5,-7.7,13.470967741935485,1.247,24.054000000000002
Apr-1951,76.1,13.1,12.030000000000001,4.253,3.7589999999999995
May-1951,79,33.7,11.59677419354839,4.464,0
Jun-1951,78.3,41,10.283333333333335,5.902999999999999,0
Jul-1951,85,48.7,10.406451612903224,4.6,0
Aug-1951,87.7,50.7,10.54193548387097,6.171999999999998,0
Sep-1951,82.5,34.5,12.743333333333334,3.7850000000000006,0
Oct-1951,79,23,12.667741935483873,2.656,0.084
Nov-1951,54.5,-4.3,12.713333333333336,0.869,6.377
Dec-1951,57,-17.1,12.18709677419355,0.51,8.372
Jan-1952,41.1,-22.7,12.512903225806454,0.45899999999999996,12.251000000000001
Feb-1952,40.1,-8.7,10.910344827586208,0,7.176
Mar-1952,52.5,-4.1,11.312903225806453,0.822,20.656000000000002
Apr-1952,82,15.8,11.15,0.9160000000000001,12.408
May-1952,83.1,34.4,11.158064516129032,4.454000000000001,0.221
Jun-1952,87.7,43.5,12.123333333333333,6.250999999999999,0
Jul-1952,89,49.7,12.709677419354838,2.55,0
Aug-1952,86,50.4,10.261290322580642,7.7139999999999995,0
Sep-1952,84.2,40.8,11.426666666666668,0.545,0
Oct-1952,68.4,22.9,12.425806451612905,0.04,0.084
Nov-1952,63.2,-0.3,13.243333333333332,0.675,10.369
Dec-1952,40.9,-2.2,10.770967741935486,0.004,9.143
Jan-1953,36.2,-15.1,11.270967741935484,0.6970000000000001,3.7380000000000004
Feb-1953,35.8,-14.2,12.549999999999997,0.38,9.992
Mar-1953,62.7,0.2,13.296774193548389,1.9869999999999999,6.79
Apr-1953,64.5,20,13.833333333333336,3.7110000000000003,4.9959999999999996
May-1953,84.7,28.6,12.48387096774194,3.606,0
Jun-1953,91.3,46.4,12.699999999999996,4.923,0
Jul-1953,85.4,52.1,9.719354838709679,7.5310000000000015,0
Aug-1953,90,52.1,10.216129032258062,1.7710000000000001,0
Sep-1953,90.5,37.4,12.426666666666664,0.7869999999999999,0
Oct-1953,85.2,29.4,11.138709677419355,0.168,0
Nov-1953,69.3,16.7,11.736666666666666,1.488,1.5600000000000003
Dec-1953,47.7,-15.6,12.51290322580645,0.656,6.931999999999999
Jan-1954,35.4,-29,12.067741935483872,0.016,4.98
Feb-1954,52.3,-4.7,12.6,0.34500000000000003,1.7760000000000002
Mar-1954,48.1,2,13.106451612903227,1.774,11.093
Apr-1954,74.9,9.6,13.699999999999998,6.746,0.251
May-1954,77.6,27.2,13.109677419354838,5.787000000000001,0.858
Jun-1954,87.5,41.2,12.47333333333333,6.928000000000001,0
Jul-1954,88.8,55.4,8.906451612903227,4.478,0
Aug-1954,84.2,49.7,9.467741935483875,5.298,0
Sep-1954,82.2,39.1,12.25,4.914000000000001,0
