month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,79.4,41.9,8.651612903225807,0.48700000000000004,0
Feb-1950,80.1,35.8,9.796428571428569,0.9080000000000001,0
Mar-1950,80.7,34.4,10.900000000000002,3.8609999999999998,0
Apr-1950,85.4,36.5,9.58666666666667,1.7710000000000001,0
May-1950,94.6,60.7,8.319354838709678,3.297000000000001,0
Jun-1950,103.7,64.7,8.05,2.5490000000000004,0
Jul-1950,93.9,66.6,7.3838709677419345,7.719999999999997,0
Aug-1950,94.2,64.7,7.138709677419352,5.112000000000002,0
Sep-1950,89,58.8,8.543333333333331,9.358999999999998,0
Oct-1950,84.2,55.1,8.567741935483872,4.501999999999998,0
Nov-1950,81.8,20,8.776666666666666,1.138,0.248
Dec-1950,71.5,26.4,8.751612903225807,2.545,0
Jan-1951,72.5,28.2,9.300000000000002,0.946,0
Feb-1951,78.4,23.2,8.539285714285715,1.2110000000000003,0
Mar-1951,83.2,35.1,10.435483870967738,3.1029999999999998,0
Apr-1951,84.4,41.8,10.22,1.764,0
May-1951,94,52.6,9.793548387096775,1.403,0
Jun-1951,100.6,63.4,7.426666666666667,3.7090000000000005,0
Jul-1951,99.9,66.1,7.216129032258064,7.126,0
Aug-1951,95.5,66.2,6.5677419354838715,5.990999999999998,0
Sep-1951,93.6,62.8,6.493333333333335,7.845,0
Oct-1951,91.9,47.6,9.264516129032256,2.9010000000000002,0
Nov-1951,80,29.7,8.776666666666667,2.3630000000000004,0
Dec-1951,76.7,28.2,9.54516129032258,2.6639999999999997,0
Jan-1952,76.9,26.3,9.696774193548388,0.9240000000000002,0
Feb-1952,73.3,31.5,10.279310344827586,6.279999999999999,0.111
Mar-1952,81.6,36,10.245161290322585,3.818000000000001,0
Apr-1952,82.9,41.3,9.313333333333334,2.616,0
May-1952,92.1,51.7,8.412903225806451,3.7760000000000002,0
Jun-1952,103,63,7.093333333333334,2.9290000000000007,0
Jul-1952,103.4,69.4,7.464516129032259,3.284000000000001,0
Aug-1952,95.7,64.6,7.67741935483871,6.013999999999999,0
Sep-1952,91.8,59.4,8.790000000000001,5.495999999999999,0
Oct-1952,86,36.8,8.003225806451612,2.2390000000000003,0
Nov-1952,79.1,37.2,8.393333333333333,1.8649999999999998,0
Dec-1952,73.3,27.4,7.829032258064516,3.266,0
Jan-1953,71.6,31.3,10.200000000000001,3.522,0
Feb-1953,76.9,34.6,10.51785714285714,4.396,0
Mar-1953,80.2,40.1,10.219354838709673,6.669999999999999,0
Apr-1953,83.2,39.6,10.456666666666667,4.283,0
May-1953,99.7,56.6,8.609677419354838,1.19,0
Jun-1953,100.8,62.3,8.35,4.319999999999999,0
Jul-1953,98,67,7.783870967741936,6.930999999999999,0
Aug-1953,96.6,65,7.716129032258066,5.953999999999999,0
Sep-1953,89.1,60.3,8.903333333333334,5.699000000000001,0
Oct-1953,82.5,46.3,8.27741935483871,1.6970000000000003,0
Nov-1953,76.9,34.5,7.806666666666669,1.2320000000000002,0
Dec-1953,74.8,21.9,9.332258064516127,5.084999999999999,0
