month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,69.9,17.4,10.841935483870966,0.7140000000000001,0.47
Feb-1950,70.7,27.5,8.321428571428573,0.407,0
Mar-1950,81.3,30.5,14.877419354838706,0.44099999999999995,0.111
Apr-1950,86.5,40.3,13.640000000000002,0.052,0
May-1950,90.4,40.7,13.158064516129034,0.04,0
Jun-1950,100,58.1,12.610000000000003,0.18300000000000002,0
Jul-1950,96.9,62.1,9.116129032258062,3.1020000000000003,0
Aug-1950,99.2,60.9,7.983870967741934,0.42400000000000004,0
Sep-1950,98.2,52.1,11.526666666666667,0.5240000000000001,0
Oct-1950,90.1,51.2,7.519354838709677,0.254,0
Nov-1950,78.7,23.3,8.603333333333332,0.012,0
Dec-1950,72.3,23.7,8.25483870967742,0.02,0
Jan-1951,70.7,21.3,10.687096774193549,0.499,0.994
Feb-1951,75.9,18.6,11.857142857142856,0.124,0.083
Mar-1951,73.6,22.6,12.438709677419357,1.252,0.139
Apr-1951,83.2,36.4,14.100000000000003,0.8720000000000001,2.454
May-1951,99.9,32.1,13.009677419354835,0.044,0
Jun-1951,102.2,54,12.886666666666668,0,0
Jul-1951,100.3,66,9.903225806451612,1.94,0
Aug-1951,97.4,60.5,9.135483870967745,2.136,0
Sep-1951,94.7,55.9,8.969999999999999,0.20500000000000002,0
Oct-1951,87.8,44.3,11.267741935483869,0.891,0
Nov-1951,72.4,24.1,10.089999999999998,0.42900000000000005,0
Dec-1951,70.1,15.5,11.22258064516129,0.8230000000000001,2.536
Jan-1952,67,19.8,9.851612903225808,1.6170000000000002,0
Feb-1952,66.8,21.8,12.37241379310345,0.036000000000000004,0
Mar-1952,71.6,23.1,13.829032258064515,1.2040000000000002,2.5669999999999997
Apr-1952,81.7,35,12.103333333333332,0.896,0
May-1952,90.8,45.5,12.354838709677416,0.11100000000000002,0
Jun-1952,99.9,50.6,11.76,0.008,0
Jul-1952,97.9,63.5,9.63225806451613,0.5690000000000001,0
Aug-1952,96.9,64.5,8.603225806451611,1.637,0
Sep-1952,96.1,54,9.383333333333333,0.111,0
Oct-1952,87.5,41.9,7.419354838709676,0,0
Nov-1952,79.3,23.1,10.969999999999997,1.112,0.083
Dec-1952,62.5,21.9,9.412903225806453,0.5730000000000001,0.028
Jan-1953,69.2,24.2,8.938709677419356,0.052000000000000005,0
Feb-1953,71,23.3,11.250000000000002,0.908,1.324
Mar-1953,81.1,19.7,11.616129032258064,0.392,1.104
Apr-1953,84.7,38.9,15.386666666666668,0.16300000000000003,0
May-1953,91.8,36.5,14.60967741935484,0.055999999999999994,0
Jun-1953,101.4,54.4,12.010000000000002,0.17,0
Jul-1953,99.7,63.6,9.025806451612903,2.8290000000000006,0
Aug-1953,97.1,61.1,8.103225806451613,0.42800000000000005,0
Sep-1953,94.1,57.1,9.100000000000001,0,0
Oct-1953,87.8,38.6,11.125806451612902,0.07200000000000001,0
Nov-1953,76.4,25.1,9.016666666666667,0.10400000000000001,0
Dec-1953,68.4,14.4,9.735483870967743,0.016,0
Jan-1954,71.5,22.6,8.69032258064516,0.838,0.084
Feb-1954,74.6,25.7,10.435714285714285,0.352,0.028
Mar-1954,76.8,24.2,13.719354838709675,0.893,0
