month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,64.6,16.6,10.883870967741938,5.053,1.134
Feb-1950,44.6,-6.2,10.642857142857142,2.306,11.851999999999999
Mar-1950,63,-5.6,12.05483870967742,1.986,18.366999999999997
Apr-1950,74.1,22.2,10.413333333333332,3.774,0.279
May-1950,78.5,34.6,7.8354838709677415,5.1579999999999995,0
Jun-1950,85.9,42.2,8.329999999999998,3.7079999999999997,0
Jul-1950,83.8,50.7,7.94516129032258,4.784999999999999,0
Aug-1950,84,48.3,6.561290322580643,2.4850000000000003,0
Sep-1950,78.2,37.5,7.346666666666668,3.663,0
Oct-1950,78.1,29.1,8.458064516129031,4.367999999999999,0
Nov-1950,74.2,8.4,11.373333333333333,6.720000000000001,5.469
Dec-1950,51.4,-15.4,9.254838709677419,1.8820000000000001,17.269
Jan-1951,59.3,-0.4,9.867741935483872,2.379,11.669
Feb-1951,56.6,-18.1,10.07142857142857,2.2770000000000006,7.858999999999999
Mar-1951,57.7,19.7,11.212903225806452,4.213000000000001,7.949
Apr-1951,75,26.8,10.566666666666668,3.9220000000000006,1.1600000000000001
May-1951,79.7,37.2,9.077419354838709,2.814,0
Jun-1951,86.3,47,8.616666666666664,7.129999999999999,0
Jul-1951,85.3,51,7.041935483870967,5.398999999999998,0
Aug-1951,90.7,46.7,6.6161290322580655,1.3450000000000002,0
Sep-1951,81.4,36.3,8.8,3.362,0
Oct-1951,86.2,32.7,8.33548387096774,1.4980000000000002,0
Nov-1951,59.9,8.9,10.586666666666666,3.6670000000000003,4.642999999999999
Dec-1951,59.5,-12.1,11.30967741935484,3.2030000000000007,13.713000000000001
Jan-1952,58.4,-6,10.719354838709679,3.008,8.116999999999999
Feb-1952,50.9,-8.2,10.279310344827586,1.4800000000000002,8.527999999999999
Mar-1952,62.4,4.1,10.587096774193546,3.63,13.684000000000001
Apr-1952,79.6,28.5,10.253333333333332,5.321,0.084
May-1952,75.6,34.1,10.061290322580644,6.5139999999999985,0
Jun-1952,90.9,45,8.883333333333333,2.0429999999999997,0
Jul-1952,92,50.3,7.6000000000000005,2.098,0
Aug-1952,87.4,44.7,7.31290322580645,2.636,0
Sep-1952,89.8,40.8,7.276666666666667,4.743999999999999,0
Oct-1952,75.2,26.9,9.59677419354839,1.1960000000000002,0.47100000000000003
Nov-1952,67.6,18.9,9.646666666666667,5.622000000000001,0.553
Dec-1952,52.6,10.9,9.145161290322578,2.475,9.709999999999999
Jan-1953,51.7,13.6,9.954838709677421,2.9069999999999996,5.253000000000001
Feb-1953,54.6,3.3,11.335714285714285,1.516,6.678999999999999
Mar-1953,59.3,8.3,11.33225806451613,3.8970000000000002,5.273999999999999
Apr-1953,73,24.5,11.48333333333333,3.8669999999999995,1.7970000000000002
May-1953,81.4,38.5,8.238709677419354,6.869000000000001,0
Jun-1953,89.2,41.8,7.7733333333333325,1.808,0
Jul-1953,91.7,49.4,6.890322580645163,2.488,0
Aug-1953,94.2,47.9,7.183870967741935,2.045,0
Sep-1953,96.8,38.6,8.636666666666667,2.365,0
Oct-1953,79.5,30.3,7.267741935483868,1.645,0
Nov-1953,66.5,13.7,8.396666666666667,1.157,9.816
Dec-1953,52.7,-3.7,11.148387096774194,1.6180000000000003,5.216
Jan-1954,51.9,-10.9,10.290322580645164,1.251,8.287999999999998
Feb-1954,64.5,7.2,11.082142857142856,2.0890000000000004,2.486
Mar-1954,65,10.5,11.880645161290321,4.448,4.977
Apr-1954,77.2,18.9,10.199999999999998,3.864,0.028
May-1954,80.5,33.2,8.82258064516129,2.8240000000000003,0
Jun-1954,88,42.6,8.75,2.2610000000000006,0
Jul-1954,92,48.9,7.932258064516129,1.763,0
Aug-1954,86.3,49.6,8.558064516129031,3.641,0
Sep-1954,90.5,39.2,8.96,2.793,0
Oct-1954,81.4,28.9,9.658064516129034,5.1149999999999975,0.028
Nov-1954,58.8,24.3,9.283333333333333,1.2160000000000002,9.431999999999999
Dec-1954,48.5,-9.5,10.016129032258064,2.3040000000000003,7.2379999999999995
Jan-1955,43.4,-6.2,10.822580645161292,0.388,4.014
Feb-1955,54.8,-11.8,8.771428571428574,2.1470000000000002,7.833999999999999
Mar-1955,61.1,14.2,12.816129032258063,4.643999999999999,6.127999999999999
Apr-1955,72.2,27.7,10.486666666666668,3.5030000000000006,0
May-1955,81.2,36.5,9.622580645161289,1.4050000000000002,0
Jun-1955,82.9,47,8.223333333333334,2.846,0
Jul-1955,95,57.3,6.819354838709677,1.76,0
Aug-1955,94.7,51.3,8.561290322580646,8.220999999999998,0
Sep-1955,81.8,41.1,7.6066666666666665,2.253,0
Oct-1955,77.5,31.5,8.738709677419354,7.258999999999999,0
Nov-1955,64.9,11,10.893333333333333,1.4580000000000002,4.555
Dec-1955,52.4,0.9,9.809677419354841,0.34,4.588
Jan-1956,43,-6.1,10.33548387096774,1.035,5.632999999999999
Feb-1956,52.3,3.2,10.972413793103449,3.4490000000000003,14.949999999999998
Mar-1956,62.9,-3,10.922580645161288,2.153,17.764
Apr-1956,77.5,6.1,10.986666666666668,3.909,5.0169999999999995
May-1956,80.2,31.6,10.525806451612903,3.7760000000000007,0
Jun-1956,87,44.7,7.626666666666667,2.4200000000000004,0
Jul-1956,87.7,49.6,8.019354838709678,4.9529999999999985,0
Aug-1956,84.9,46.9,7.503225806451613,3.929000000000001,0
Sep-1956,83.9,32.7,8.303333333333333,2.2650000000000006,0
Oct-1956,73.1,30.8,7.977419354838708,3.66,0
Nov-1956,67.6,17.3,9.759999999999996,2.148,4.356
Dec-1956,59.2,8.2,9.59677419354839,3.4970000000000003,7.9510000000000005
Jan-1957,53,-13.3,9.90645161290323,1.236,9.171
Feb-1957,59.3,10.8,9.057142857142853,1.5110000000000001,7.1770000000000005
Mar-1957,65.5,6.5,9.25483870967742,1.2550000000000001,10.453000000000001
Apr-1957,81.8,25.1,10.033333333333335,5.120999999999999,8.545
May-1957,79.2,30.6,9.403225806451614,2.632,0.056
Jun-1957,91.7,41,8.886666666666667,3.6880000000000006,0
