month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,76.1,34.5,10.616129032258065,4.121,0
Feb-1950,74.1,32.7,9.489285714285716,3.7419999999999995,0
Mar-1950,79.6,32.7,10.654838709677417,5.355999999999999,0
Apr-1950,81,36.4,9.32,2.4420000000000006,0
May-1950,88.7,61.2,6.967741935483872,4.213,0
Jun-1950,97.4,57.4,7.410000000000002,3.281,0
Jul-1950,94.5,65.1,6.587096774193548,6.380999999999999,0
Aug-1950,94.6,64.8,6.612903225806453,3.313,0
Sep-1950,90,57.9,6.916666666666666,4.429,0
Oct-1950,84.6,51.5,7.161290322580645,3.3349999999999995,0
Nov-1950,80.8,16.1,9.043333333333335,1.636,0.166
Dec-1950,71.3,25.6,8.022580645161291,4.513999999999999,0.138
Jan-1951,71.6,25,10.380645161290325,6.936000000000001,0
Feb-1951,75.7,13.3,9.075,3.5450000000000004,0.056
Mar-1951,78,32.1,10.583870967741934,10.631,0
Apr-1951,84.4,40.1,9.683333333333334,4.438999999999998,0
May-1951,98.8,51.5,7.758064516129031,0.726,0
Jun-1951,99.2,66.4,7.090000000000001,3.5560000000000005,0
Jul-1951,99.3,70.6,6.2774193548387105,1.6730000000000005,0
Aug-1951,103.8,70.7,7.24516129032258,0.629,0
Sep-1951,103.1,55.6,7.496666666666667,3.306,0
Oct-1951,93.1,47.8,7.467741935483871,1.9100000000000004,0
Nov-1951,73.1,27.4,8.933333333333334,3.074,0
Dec-1951,76.4,23.2,10.99032258064516,6.333999999999999,0
Jan-1952,74.7,28,9.706451612903221,3.505,0
Feb-1952,75.9,34.4,9.368965517241381,4.664999999999999,0
Mar-1952,79.9,34.1,9.90322580645161,6.287,0
Apr-1952,84.2,38.5,9.120000000000001,4.1579999999999995,0
May-1952,91.4,49.4,7.677419354838711,3.4520000000000004,0
Jun-1952,104.5,62.5,6.3,0.15100000000000002,0
Jul-1952,105.3,66.6,7.1387096774193575,1.457,0
Aug-1952,99.1,63.2,6.293548387096773,3.702,0
Sep-1952,92.2,58.1,7.060000000000002,2.7,0
Oct-1952,87.8,37.5,7.6,0.413,0
Nov-1952,79.3,32,8.62,2.641,0
Dec-1952,68.9,27.4,7.958064516129032,3.7529999999999997,0
Jan-1953,70.2,30.2,10.506451612903223,4.148,0
Feb-1953,69,30.6,8.953571428571427,8.412999999999998,0
