month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,70.3,26.4,10.393548387096772,2.218,0
Feb-1950,66.3,21.7,9.185714285714285,2.0050000000000003,0
Mar-1950,76.4,22.4,10.554838709677421,4.091,0.304
Apr-1950,84,28.5,9.770000000000001,1.347,0
May-1950,89.8,47.3,7.45483870967742,5.180000000000001,0
Jun-1950,94.8,52.5,7.573333333333334,3.115,0
Jul-1950,89.4,62.2,7.738709677419357,5.103000000000001,0
Aug-1950,87.6,56.8,6.525806451612904,3.5799999999999996,0
Sep-1950,87.9,42.8,7.690000000000001,3.065000000000001,0
Oct-1950,81.1,42,8.048387096774192,3.2969999999999997,0
Nov-1950,79.1,12.3,8.969999999999999,1.3250000000000002,3.146
Dec-1950,60.4,18,8.745161290322581,3.339,2.4850000000000003
Jan-1951,63.2,19.2,9.94516129032258,2.561,0.112
Feb-1951,70.3,17,8.817857142857143,1.949,0.7749999999999999
Mar-1951,72.3,26.4,9.02258064516129,4.956,0.167
Apr-1951,81.7,32.4,9.953333333333335,3.653,0
May-1951,85.7,44.7,8.758064516129032,1.338,0
Jun-1951,96.8,57.8,7.383333333333335,4.500999999999999,0
Jul-1951,94.9,56.8,6.161290322580644,4.146999999999999,0
Aug-1951,94.5,60.5,6.493548387096775,2.7630000000000003,0
Sep-1951,91.2,44.4,7.276666666666667,2.669,0
Oct-1951,91.5,42.1,8.806451612903228,1.129,0
Nov-1951,67.6,20.9,9.140000000000002,3.8280000000000003,0
Dec-1951,68.7,14.8,9.409677419354841,5.0889999999999995,1.7369999999999999
Jan-1952,69.6,18.5,9.361290322580647,4.933,0.635
Feb-1952,63.3,26.8,9.427586206896551,2.705,2.371
Mar-1952,73.3,26.3,10.429032258064517,5.117,0.361
Apr-1952,82.2,32.8,9.6,3.9310000000000005,0
May-1952,84.9,43.7,8.719354838709673,4.117999999999999,0
Jun-1952,100.2,56.1,6.9366666666666665,3.269,0
Jul-1952,103.1,58.6,6.909677419354839,2.1470000000000002,0
Aug-1952,90.5,51.6,7.574193548387098,11.501,0
Sep-1952,88,50.6,7.2666666666666675,1.1360000000000001,0
Oct-1952,85,29.2,7.935483870967743,0.668,0
Nov-1952,75.3,27.3,7.953333333333333,2.939,0.111
Dec-1952,63.4,22.5,7.312903225806452,2.326,0.386
Jan-1953,62.2,25.7,10.696774193548386,4.256,0.084
Feb-1953,66.6,23.7,9.385714285714286,5.207,0
Mar-1953,71.6,27.8,9.738709677419356,4.0569999999999995,0.028
Apr-1953,78.7,33,10.713333333333335,2.966,0
May-1953,93.5,50.3,8.980645161290322,1.6480000000000001,0
Jun-1953,94.6,54.5,7.086666666666665,2.7410000000000005,0
Jul-1953,98.9,59.2,7.303225806451615,2.005,0
Aug-1953,99,59.3,6.532258064516128,3.976,0
Sep-1953,94.3,49.5,7.659999999999998,4.297,0
Oct-1953,84.2,41,7.448387096774194,0.702,0
Nov-1953,76.2,26.4,7.3933333333333335,2.2670000000000003,0.084
Dec-1953,62.5,17.4,9.116129032258065,5.030999999999999,0
Jan-1954,68.3,17.3,9.338709677419356,6.310999999999999,3.392
Feb-1954,68.8,23.3,9.960714285714285,2.984,0
Mar-1954,76.2,24.7,9.493548387096775,2.944,0
Apr-1954,82.2,35.9,8.716666666666667,2.2720000000000002,0
May-1954,83.1,40.1,8.480645161290322,4.126,0
Jun-1954,100.6,47.2,7.153333333333333,1.5979999999999999,0
Jul-1954,101,63.4,7.567741935483871,1.797,0
Aug-1954,100.4,60,7.5354838709677425,1.9769999999999999,0
Sep-1954,100.8,54.5,7.673333333333333,0.176,0
Oct-1954,94.5,32,8.59032258064516,4.378,0
Nov-1954,67.7,26.7,8.32,3.2350000000000003,0
Dec-1954,63.1,20.7,9.316129032258065,4.09,1.103
Jan-1955,67.7,11.4,8.861290322580645,0.9690000000000001,6.759
Feb-1955,67.8,12.8,9.2,4.506,0.471
Mar-1955,76,21.6,10.470967741935485,2.621,0.165
Apr-1955,83.1,35.2,9.950000000000001,4.185999999999999,0
May-1955,86.9,46.7,8.225806451612904,3.2310000000000003,0
Jun-1955,89.2,50.5,7.626666666666667,2.5900000000000003,0
Jul-1955,96.7,65.9,6.4967741935483865,3.5940000000000003,0
Aug-1955,95.2,61.8,7.896774193548389,4.856,0
Sep-1955,92.1,51.3,7.613333333333332,3.724,0
Oct-1955,80,38.6,7.8999999999999995,1.694,0
Nov-1955,75.9,22.6,8.783333333333331,2.1799999999999997,0
Dec-1955,67.6,18.1,7.583870967741936,0.486,0.14
Jan-1956,57.3,22.9,9.283870967741931,1.21,1.52
Feb-1956,65.8,24.1,10.351724137931036,4.389,0.386
Mar-1956,74.7,25,10.703225806451616,3.3590000000000004,0.056
Apr-1956,81.4,29.8,11.75333333333333,3.8099999999999996,0
May-1956,89.7,40.1,9.13225806451613,1.493,0
Jun-1956,94.3,46.1,6.743333333333334,2.5999999999999996,0
Jul-1956,95.4,58.6,7.332258064516131,4.616999999999999,0
Aug-1956,97.1,56.7,7.387096774193548,3.016,0
Sep-1956,93.8,46.7,8.53,6.357,0
Oct-1956,81.3,39.1,9.287096774193552,4.184,0
Nov-1956,71.4,23.2,8.476666666666667,2.2880000000000003,0.35900000000000004
Dec-1956,69.9,27.5,9.11290322580645,3.934,0
Jan-1957,69.7,18.3,9.025806451612905,3.088,1.466
Feb-1957,68.8,24.8,9.085714285714285,4.561,0.221
Mar-1957,69,26.1,8.616129032258064,2.7980000000000005,0.028
Apr-1957,85.1,34,9.026666666666667,4.201999999999999,0
May-1957,86.4,42.6,7.548387096774195,3.0820000000000003,0
Jun-1957,91.1,56.4,7.13,3.9240000000000004,0
Jul-1957,95.5,61,6.554838709677419,1.665,0
Aug-1957,96.7,56.8,7.564516129032257,2.936,0
Sep-1957,95,47.6,8.236666666666668,6.614999999999999,0
Oct-1957,73.9,31.8,7.974193548387096,2.6450000000000005,0
Nov-1957,72,24,9.013333333333334,5.087999999999999,0
Dec-1957,62.1,11.1,9.422580645161291,2.522,0.056
Jan-1958,56.8,17.4,9.419354838709676,3.705,1.106
Feb-1958,65.1,0.7,10.703571428571431,3.366,4.712999999999999
Mar-1958,62.9,26.1,8.983870967741936,4.155000000000001,0
Apr-1958,85,32.9,10.386666666666665,5.055,0
May-1958,84.7,45.1,7.9225806451612915,6.346,0
Jun-1958,94.6,57,7.91,1.848,0
Jul-1958,93.1,63.3,7.951612903225807,4.507,0
Aug-1958,93,57.3,6.35483870967742,4.890000000000001,0
Sep-1958,91.7,50.3,7.190000000000001,1.048,0
Oct-1958,83.4,37.6,8.16451612903226,2.7960000000000007,0
Nov-1958,79,25.7,8.476666666666665,1.5270000000000001,0
Dec-1958,61.9,14.9,8.251612903225809,3.1950000000000003,3.4760000000000004
Jan-1959,63.5,14.8,9.974193548387099,2.6580000000000004,1.793
Feb-1959,65.8,20.4,9.107142857142858,2.233,0
Mar-1959,75.2,25,10.325806451612904,4.421000000000001,1.571
Apr-1959,81.6,34.6,10.210000000000003,6.010999999999998,0.028
May-1959,87.5,44.6,7.516129032258066,2.717,0
Jun-1959,98.4,54.1,6.783333333333331,2.033,0
Jul-1959,97.3,60.3,6.767741935483871,7.658,0
Aug-1959,94.9,62.9,6.174193548387098,5.585,0
Sep-1959,86.7,48.5,7.296666666666668,5.405,0
Oct-1959,84.5,37.2,7.9967741935483865,6.622999999999999,0
Nov-1959,75.6,23.9,8.793333333333335,2.136,0
Dec-1959,61.4,23.1,8.396774193548389,4.756,0.028
