month,maxTemp,minTemp,avgWind,rain,snow
Jan-1950,62.7,24.8,9.74516129032258,6.1259999999999994,2.867
Feb-1950,69.1,25.3,6.825,3.4400000000000004,0
Mar-1950,76,30.3,8.838709677419356,2.603,0
Apr-1950,84.7,38.2,9.19,1.5310000000000001,0
May-1950,102,38.3,9.36774193548387,0.722,0
Jun-1950,109.3,47.2,8.903333333333336,0.155,0
Jul-1950,109.6,58.3,9.851612903225806,0,0
Aug-1950,110.1,54.5,7.567741935483872,0.004,0
Sep-1950,109.7,45.7,7.859999999999999,0.47800000000000004,0
Oct-1950,92.6,45.2,8.938709677419357,3.978,0
Nov-1950,78.1,41.3,9.253333333333334,5.200999999999999,0
Dec-1950,68.1,34.8,6.751612903225806,6.907999999999999,0
Jan-1951,61.7,28.6,9.061290322580644,5.527999999999999,0
Feb-1951,68.1,29.3,7.839285714285714,3.9830000000000005,0
Mar-1951,74.1,25.7,10.548387096774192,1.6140000000000003,0
Apr-1951,88.2,38.1,9.116666666666667,0.9810000000000001,0
May-1951,99.8,44.5,9.419354838709678,1.816,0
Jun-1951,101.9,53.2,9.949999999999998,0,0
Jul-1951,104.3,52,8.629032258064516,0.024,0
Aug-1951,102.8,56.5,8.245161290322581,0.004,0
Sep-1951,102.4,52.9,7.660000000000002,0.156,0
Oct-1951,86.9,42.9,8.141935483870968,2.157,0
Nov-1951,76.4,34.5,8.853333333333332,4.730999999999999,0
Dec-1951,62.5,27.4,9.096774193548386,6.565999999999999,0
Jan-1952,60.1,25.5,9.938709677419354,7.162,0.083
Feb-1952,67.9,30.9,7.758620689655173,3.7039999999999997,0
Mar-1952,76.4,28.3,10.038709677419357,4.954000000000001,0.083
Apr-1952,80.8,39.7,9.129999999999999,1.585,0
May-1952,93.7,43,8.580645161290322,1.24,0
Jun-1952,97.8,46.5,9.47,1.267,0
Jul-1952,107.3,57.4,8.625806451612904,0.1,0
Aug-1952,99.9,56,7.870967741935482,0,0
Sep-1952,105,52,7.153333333333333,0.07600000000000001,0
Oct-1952,98.2,48.4,5.480645161290322,0,0
Nov-1952,79.2,30.9,7.846666666666666,2.71,0
Dec-1952,61.3,30.9,9.348387096774196,11.371999999999998,0
Jan-1953,68.1,31.2,8.748387096774193,6.140999999999999,0
Feb-1953,66.5,31.9,10.082142857142856,0.534,0
Mar-1953,73.8,30.2,9.319354838709677,2.819,0
Apr-1953,85.6,33.7,8.653333333333334,1.7720000000000002,0.028
May-1953,82.6,40.7,9.670967741935485,2.5120000000000005,0
Jun-1953,96.8,48.2,8.916666666666668,0.542,0
Jul-1953,104.8,57.4,7.1806451612903235,0,0
Aug-1953,102.1,55.6,8.264516129032257,0.068,0
Sep-1953,107.6,54.7,7.61,0.004,0
Oct-1953,93.6,44.4,8.358064516129032,0.748,0
Nov-1953,73.2,33.2,8.913333333333332,2.5519999999999996,0
Dec-1953,66.4,32.3,8.74193548387097,0.5760000000000001,0
Jan-1954,62.8,30.9,9.780645161290321,5.3629999999999995,0
Feb-1954,71.4,32.2,7.567857142857143,2.584,0
Mar-1954,70.7,29.9,8.616129032258065,2.9230000000000005,0
Apr-1954,84.4,36.7,8.92,2.6570000000000005,0
May-1954,93.4,43.7,8.203225806451615,0.315,0
Jun-1954,102.9,47.1,8.853333333333333,0.7849999999999999,0
Jul-1954,106,60.3,8.4,0.004,0
Aug-1954,95.5,54.3,8.677419354838714,0.068,0
Sep-1954,96,51,7.62,0,0
Oct-1954,90.9,42.7,8.183870967741935,0.126,0
Nov-1954,75.3,32,7.3133333333333335,3.3720000000000003,0
Dec-1954,61.5,28.6,7.619354838709677,4.719999999999999,0
Jan-1955,59.5,27.1,8.348387096774193,2.806,0.221
Feb-1955,66.7,27.8,8.610714285714286,1.616,0
Mar-1955,79,29.3,9.406451612903224,0.287,0
Apr-1955,76.6,31.8,9.016666666666667,3.344,0
May-1955,96,43,9.719354838709679,0.322,0
Jun-1955,102.5,51.6,9.87,0.02,0
Jul-1955,105.1,57.4,7.987096774193549,0.012,0
Aug-1955,105.8,55.8,7.106451612903227,0,0
Sep-1955,107.4,51.4,7.656666666666667,0.477,0
Oct-1955,87.9,48.4,8.258064516129032,0.548,0
Nov-1955,85.8,34.9,8.763333333333332,2.796,0
Dec-1955,61.7,30,10.20967741935484,8.395,0
Jan-1956,60.5,27.1,8.56774193548387,7.067999999999999,0
Feb-1956,62.3,26.9,9.786206896551725,3.9240000000000004,0
Mar-1956,72.1,25.9,8.954838709677421,0.243,0
Apr-1956,82.1,35.8,8.663333333333334,2.591,0
May-1956,91.2,42.5,9.174193548387096,1.0410000000000001,0
Jun-1956,108.2,51.4,8.78,0.032,0
Jul-1956,103.9,54.1,8.345161290322583,0,0
Aug-1956,100.2,56.7,7.67741935483871,0,0
Sep-1956,95.3,54.7,6.936666666666667,0.203,0
Oct-1956,94.2,37,8.78709677419355,2.5490000000000004,0
Nov-1956,74.5,33.9,7.179999999999998,0.17200000000000001,0
Dec-1956,66.1,26.2,7.177419354838708,0.42200000000000004,0
Jan-1957,60.5,25.1,8.706451612903225,2.1199999999999997,0.028
Feb-1957,73.2,26.4,8.107142857142858,2.4930000000000003,0
Mar-1957,74,32.3,8.967741935483874,3.6069999999999998,0
Apr-1957,86.4,40.5,10.009999999999998,2.084,0
May-1957,91.6,43.8,9.25483870967742,3.0370000000000004,0
Jun-1957,106.3,53.8,9.316666666666666,0,0
